id,issuer_id,recipient_id,ucs_transfer_amount,distribution_id,status,observations,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,origin_platform_id,recipient_platform_id
59,1398,1398,14,36834,PROCESSED,SOLICITAÇÃO DO RENATO PARA QUE FIQUE TODO O SALDO EM DISPONIVEL DENTRO DA PLATAFORMA AKSES,933,2023-04-06 08:44:46.491707,933,2023-04-06 08:44:50.734336,,,3,4
672,3,406,67073,39161,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18899",933,2023-07-06 18:16:58.757273,933,2024-11-25 08:59:03.269204,,,4,4
65,1401,1593,38602,36893,PROCESSED,"Solicitação Pâmela, transferir créditos codemar de perfil cliente, para Governo, dia 09/05/2023",933,2023-05-09 09:37:23.11748,933,2023-05-09 09:37:29.129561,,,4,3
1483,3,174,1112,38337,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18514",933,2023-07-06 20:10:50.586576,933,2024-11-25 08:56:27.35973,,,4,4
603,1548,1548,10000,37072,PROCESSED,Movimentacao para venda ,933,2023-07-06 17:16:01.762012,933,2023-07-06 17:17:56.289593,,,4,3
72,1495,1276,3790697,36978,PROCESSED,Ajuste referente a distribuição prevista em contrato,933,2023-05-29 17:53:44.395738,933,2023-05-29 17:54:47.090089,,,4,4
604,1227,1227,60000,37073,PROCESSED,Solicitação pelo cliente através de e-mail para Elizia. dia 29/06/2023,933,2023-07-06 17:17:37.280442,0,2023-07-06 17:17:56.286686,,,4,3
77,613,613,14,37000,PROCESSED,"Transferencia de plataformas solicitada por Pamela Pádua, no dia 02/06/2023",933,2023-06-02 15:22:24.888603,933,2023-06-02 15:22:33.638587,,,3,4
82,1627,1627,10000,37019,PROCESSED,"Solicitação de transferência por Rodrigo L. Anami, com liberação da Alessandra e Luzia, no dia 13/06/2023, em conversa pelo meet",933,2023-06-14 09:44:53.352584,933,2023-06-14 09:44:57.706418,,,4,3
759,3,404,8518,39114,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 10311",933,2023-07-06 18:29:16.0384,0,2024-11-25 08:59:02.693568,,,4,4
1474,3,166,16612,38328,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 10099",933,2023-07-06 20:09:36.104044,933,2024-11-25 08:56:27.359972,,,4,4
1475,3,166,17710,38327,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18637",933,2023-07-06 20:09:44.302666,933,2024-11-25 08:56:27.359953,,,4,4
1476,3,166,2476,38326,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27474",933,2023-07-06 20:09:52.46333,933,2024-11-25 08:56:27.359927,,,4,4
1477,3,170,9342,38325,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 10060",933,2023-07-06 20:10:00.809049,933,2024-11-25 08:56:27.35991,,,4,4
1478,3,170,9959,38322,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18598",933,2023-07-06 20:10:08.958464,933,2024-11-25 08:56:27.359891,,,4,4
1479,3,170,1392,38334,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27435",933,2023-07-06 20:10:17.147156,933,2024-11-25 08:56:27.35986,,,4,4
1480,3,172,3580,38332,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 10128",933,2023-07-06 20:10:25.722597,933,2024-11-25 08:56:27.359841,,,4,4
1481,3,172,3816,38331,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 18666",933,2023-07-06 20:10:33.869275,933,2024-11-25 08:56:27.359818,,,4,4
1482,3,172,534,38338,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27503",933,2023-07-06 20:10:42.022278,933,2024-11-25 08:56:27.359748,,,4,4
1484,3,174,1186,38336,PROCESSED,"Devolução de empréstimos, referentes a adiantamento de politicas públicas, realizado nas datas de 09/11/2017, 17/05/2018 e 26/07/2018. Autorizado por Luzia Umbelino na data de 30/06/2023. Referênte a movimentação de número - 27351",933,2023-07-06 20:10:58.792011,933,2024-11-25 08:56:27.359711,,,4,4
