id,code,name,private,association_id,owner_id,country_id,uf,url
1,07601101001,Fazenda Gramado,t,400,10,31,,
2,07601101002,Fazenda São Bento e Floresta,t,400,12,31,,
3,07601101003,Fazenda Ilha da Fantasia,t,400,178,31,,
4,07601101004,Fazenda Paraíso,t,400,178,31,,
5,07601101005,Fazenda Rancharia,t,400,178,31,,
6,07601101006,Fazenda Nossa Senhora do Carmo S/A,t,400,24,31,,
7,07601101007,Fazenda Primavera,t,400,30,31,,
8,07601101008,Fazenda Marcelo,t,400,40,31,,
9,07601101009,Fazenda Donin,t,400,100,31,,
10,07601101010,Fazenda Berté,t,400,54,31,,
11,07601101011,Fazenda Santa Lúcia,t,400,58,31,,
12,07601101012,Fazenda Perdida,t,400,66,31,,
13,07601101013,Fazenda São Roque,t,400,68,31,,
14,07601101014,Fazenda Barrinha,t,400,70,31,,
15,07601101015,Fazenda Nossa Senhora Salete,t,400,72,31,,
16,07601101016,Fazenda Charrua,t,400,74,31,,
17,07601101017,Fazenda Rancho Imperial,t,400,80,31,,
18,07601101018,Fazenda Reata,t,400,86,31,,
19,07601101019,Fazenda Bacuri,t,400,86,31,,
20,07601101020,Fazenda Maria Bonita,t,400,86,31,,
21,07601101021,Fazenda Rancharia,t,400,86,31,,
22,07601101022,Fazenda Terra Nova,t,400,86,31,,
23,07601101023,Fazenda Ipê,t,400,92,31,,
24,07601101024,Fazenda Curicaca Agropecuária S/A,t,400,106,31,,
25,07601101025,Fazenda Morada do Boi,t,400,108,31,,
26,07601101026,Fazenda California do Xingu,t,400,112,31,,
27,07601101027,Fazenda Tenente Portela,t,400,122,31,,
28,07601101028,Fazenda Araújo,t,400,136,31,,
29,07601101029,Fazenda São Miguel,t,400,138,31,,
30,07601101030,Sítio Paineira,t,400,150,31,,
31,07601101031,Fazenda Ouro Fino,t,400,152,31,,
32,07601101032,Fazenda Macaraju,t,400,156,31,,
33,07601101033,Fazenda II Irmãos,t,400,160,31,,
34,07601101034,Fazenda São Carlos,t,400,162,31,,
35,07601101035,Fazenda Santa Terezinha,t,400,168,31,,
36,07601101036,Fazenda Nossa Senhora Aparecida,t,400,174,31,,
37,07601101037,Fazenda Boa Esperança,t,400,180,31,,
38,07601101038,Fazenda Rancharia II,t,400,182,31,,
39,07601101039,Fazenda Paraíso II,t,400,182,31,,
40,07601101040,Fazenda Boa Esperança,t,400,182,31,,
41,07601101041,Fazenda Santiago II,t,400,200,31,,
42,07601101042,Fazenda Santo Antonio,t,400,208,31,,
43,07601101043,Fazenda Paranotapa,t,400,228,31,,
44,07601101044,Fazenda Fim Da Picada,t,400,230,31,,
45,07601101045,Fazenda Nossa Senhora de Fátima,t,400,236,31,,
46,07601101046,Fazenda Vale do Sonho,t,400,240,31,,
47,07601101047,Fazenda Adrya,t,400,240,31,,
48,07601101048,Fazenda Zappani,t,400,256,31,,
49,07601101049,Fazenda Santa Paula,t,400,268,31,,
50,07601101050,Fazenda Maria Bonita II,t,400,278,31,,
51,07601101051,Fazenda Arara Azul II,t,400,286,31,,
52,07601101052,Fazenda Selva Morena,t,400,298,31,,
53,07601101053,Fazenda Santo Antonio de Pádua,t,400,300,31,,
54,07601101054,Fazenda Nova Santa Maria,t,400,302,31,,
55,07601101055,Fazenda Esperança,t,400,304,31,,
56,07601101056,Fazenda Santa Terezinha,t,400,304,31,,
57,07601101057,Fazenda Maraca,t,400,306,31,,
58,07601101058,Fazenda São Pedro,t,400,320,31,,
59,07601101059,Fazenda Igor,t,400,326,31,,
60,07601101060,Fazenda Santa Marina,t,400,334,31,,
61,07601101061,Fazenda Monte Aprazivel,t,400,346,31,,
62,07601101062,Fazenda Vila Boa,t,400,350,31,,
63,07601101063,Fazenda Arara Azul I,t,400,356,31,,
64,07601101065,Fazenda Alianca II,t,400,358,31,,
65,07602101001,Fazenda Monte Cristo,t,402,8,31,,
66,07602101002,Sítio Beira Rio,t,402,18,31,,
67,07602101003,Fazenda Casa Branca,t,402,34,31,,
68,07602101004,Fazenda Valente da Colíder,t,402,34,31,,
70,07602101006,Fazenda Santo Antônio,t,402,50,31,,
71,07602101007,Fazenda Maria Rosa,t,402,52,31,,
72,07602101008,Fazenda Nova Tapaiúna,t,402,52,31,,
73,07602101009,Sítio Bela Vista,t,402,56,31,,
74,07602101010,Fazenda Formosa,t,402,60,31,,
75,07602101011,Fazenda Tupã II,t,402,84,31,,
76,07602101012,Fazenda Dona Ângela,t,402,88,31,,
77,07602101013,Fazenda São Gabriel,t,402,90,31,,
78,07602101014,Fazenda A.B.T. - I,t,402,94,31,,
79,07602101015,Fazenda A.B.T. - II,t,402,94,31,,
80,07602101016,Sítio Santa Maria,t,402,110,31,,
81,07602101017,Fazenda Bonanza,t,402,118,31,,
82,07602101018,Fazenda Aliança,t,402,126,31,,
83,07602101019,Fazenda São Francisco,t,402,140,31,,
84,07602101020,Fazenda Bela Vista,t,402,142,31,,
85,07602101021,Fazenda São Judas Tadeu II,t,402,142,31,,
86,07602101022,Sítio Arizona,t,402,148,31,,
87,07602101023,Sítio Nossa Senhora das Graças,t,402,392,31,,
88,07602101024,Fazenda São Gabriel,t,402,184,31,,
89,07602101025,Sítio Arizona 4385,t,402,186,31,,
90,07602101026,Sítio Arizona 6478,t,402,186,31,,
91,07602101027,Fazenda Formosa,t,402,190,31,,
92,07602101028,Estância SS,t,402,192,31,,
93,07602101029,Sítio Santo Antônio,t,402,196,31,,
94,07602101030,Fazenda São Judas,t,402,202,31,,
95,07602101031,Fazenda Realeza,t,402,214,31,,
96,07602101032,Fazenda Iporama II,t,402,216,31,,
97,07602101033,Estância Mãe,t,402,218,31,,
98,07602101034,Sítio Floresta,t,402,222,31,,
99,07602101035,Fazenda Terra Santa,t,402,224,31,,
100,07602101036,Sítio Canaã,t,402,234,31,,
101,07602101037,Fazenda São Simão,t,402,248,31,,
102,07602101038,Fazenda São Simão,t,402,252,31,,
103,07602101039,Estância Três Irmãos,t,402,266,31,,
104,07602101040,Fazenda Calado,t,402,282,31,,
105,07602101041,Fazenda Castanheira,t,402,284,31,,
106,07602101042,Fazenda Pizzolo,t,402,288,31,,
107,07602101043,Fazenda Flor da Mata,t,402,290,31,,
108,07602101044,Fazenda Itaporanga II,t,402,292,31,,
109,07602101045,Sitio Bom Retiro,t,402,294,31,,
110,07602101046,Sítio Rei da Prata,t,402,296,31,,
111,07602101047,Sítio Beira Rio,t,402,308,31,,
112,07602101048,Fazenda Sontag,t,402,310,31,,
113,07602101049,Sítio Três Irmãos,t,402,312,31,,
114,07602101050,Fazenda São Pedro,t,402,318,31,,
115,07602101051,Fazenda Iporama III,t,402,322,31,,
116,07602101052,Fazenda São Judas Tadeu,t,402,332,31,,
117,07602101053,Fazenda São Judas Tadeu II,t,402,332,31,,
118,07602101054,Fazenda Flor da Mata,t,402,336,31,,
119,07602101055,Fazenda Bela Vista,t,402,342,31,,
120,07602101056,Fazenda Itaporanga,t,402,348,31,,
121,07602101057,Sítio Bela Vista,t,402,368,31,,
122,07602101058,Sítio Pedregal,t,402,372,31,,
123,07602101059,Estância Estrela Cadente 767,t,402,372,31,,
124,07602101060,Estância Estrela Cadente 765,t,402,372,31,,
125,07602101061,Fazenda São Paulo,t,402,384,31,,
