id,role_user_id,user_id,status,processing_message,reason,description,active,block,area_id,amount,created_by,created_date,last_modified_by,last_modified_date
1,,296,FINISHED,,OTHERS,Falecimento sócio Carlos Malva,t,t,,,933,2022-09-20 14:09:38.872413,933,2022-09-20 14:09:38.872413
3,54,,FINISHED,,OTHERS,Vendeu a propriedade - Tem CPR,t,t,10,,933,2022-09-21 11:31:39.259511,933,2022-09-21 11:31:39.259511
4,74,,FINISHED,,BREACH_OF_CONTRACT,Desmate - confirmado,t,t,16,,933,2022-09-21 11:33:10.466393,933,2022-09-21 11:33:10.466393
5,122,,FINISHED,,CONTRACT_CANCELLATION,Não está no Programa / Sem CPR,t,t,27,,933,2022-09-21 11:35:10.624376,933,2022-09-21 11:35:10.624376
6,162,,FINISHED,,CONTRACT_CANCELLATION,Não está no Programa / Sem CPR,t,t,34,,933,2022-09-21 11:36:33.690263,933,2022-09-21 11:36:33.690263
7,230,,FINISHED,,CONTRACT_CANCELLATION,Não está no Programa / Sem CPR,t,t,44,,933,2022-09-21 11:38:13.454875,933,2022-09-21 11:38:13.454875
8,240,,FINISHED,,OTHERS,Vendeu a propriedade / Tem CPR,t,t,47,,933,2022-09-21 11:40:13.483374,933,2022-09-21 11:40:13.483374
9,268,,FINISHED,,OTHERS,Vendeu a propriedade / Tem CPR,t,t,49,,933,2022-09-21 11:41:18.953071,933,2022-09-21 11:41:18.953071
10,260,,FINISHED,,BREACH_OF_CONTRACT,Desmate - confirmado / Tem CPR,t,t,216,,933,2022-09-21 11:42:22.135791,933,2022-09-21 11:42:22.135791
11,258,,FINISHED,,OTHERS,Desmate - confirmado,t,t,217,,933,2022-09-21 11:43:10.908698,933,2022-09-21 11:43:10.908698
12,168,,FINISHED,,CONTRACT_CANCELLATION,Não está no programa / Sem CPR,t,t,35,,933,2022-09-21 11:44:28.029815,933,2022-09-21 11:44:28.029815
13,318,,FINISHED,,BREACH_OF_CONTRACT,Confirmar desmate,t,t,114,,933,2022-09-21 11:49:11.338068,933,2022-09-21 11:49:11.338068
14,52,,FINISHED,,BREACH_OF_CONTRACT,Desmate - confirmado / Tem CPR,t,t,71,,933,2022-09-21 11:50:18.242799,933,2022-09-21 11:50:18.242799
15,84,,FINISHED,,BREACH_OF_CONTRACT,Desmate - confirmado / Tem CPR,t,t,75,,933,2022-09-21 11:51:15.784005,933,2022-09-21 11:51:15.784005
16,126,,FINISHED,,BREACH_OF_CONTRACT,Desmate confirmado / Tem CPR,t,t,82,,933,2022-09-21 11:52:05.475682,933,2022-09-21 11:52:05.475682
17,60,,FINISHED,,BREACH_OF_CONTRACT,Desmate - confirmado / Tem CPR,t,t,74,,933,2022-09-21 11:52:59.208095,933,2022-09-21 11:52:59.208095
18,56,,FINISHED,,BREACH_OF_CONTRACT,Desmate - confirmado / Tem CPR,t,t,73,,933,2022-09-21 11:54:07.530466,933,2022-09-21 11:54:07.530466
19,196,,FINISHED,,BREACH_OF_CONTRACT,Desmate - confirmado / Tem CPR,t,t,93,,933,2022-09-21 11:54:47.120254,933,2022-09-21 11:54:47.120254
20,246,,FINISHED,,CONTRACT_CANCELLATION,Solicitado saída do Programa,t,t,170,,905,2022-10-26 14:17:20.97475,905,2022-10-26 14:17:20.97475
27,4,,FINISHED,,OTHERS,66.460 - UCSs ficam alienadas fiduciariamente a TERRA e a MONETAR,t,t,,,933,2022-11-08 14:49:23.701911,933,2022-11-08 14:49:23.701911
23,4,,FINISHED,,OTHERS,66.460 UCSs com gravame em razão da promessa de entrega do Produto pelo Emitente ao \nCredor formalizada pela presente CPR.,f,f,,,933,2022-11-08 14:37:52.706294,933,2022-11-08 14:44:05.303587
71,,250,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:45:39.635264,933,2024-06-18 00:30:16.596457
70,,249,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:45:29.739518,933,2024-06-18 00:30:21.79369
58,,237,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:43:29.609654,933,2024-06-18 00:31:30.570243
57,,236,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:43:19.772894,933,2024-06-18 00:31:34.805223
56,,235,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:43:10.355251,933,2024-06-18 00:31:38.804887
55,,234,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:43:00.882199,933,2024-06-18 00:31:43.204009
54,,233,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:42:48.061222,933,2024-06-18 00:31:48.116224
53,,232,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:42:35.82619,933,2024-06-18 00:31:52.59825
52,,231,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:42:22.017468,933,2024-06-18 00:31:57.228711
51,,230,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:42:11.685246,933,2024-06-18 00:32:01.584702
50,,229,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:42:01.843617,933,2024-06-18 00:32:05.319252
49,,228,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:41:51.510702,933,2024-06-18 00:32:09.416154
48,,227,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:41:41.451971,933,2024-06-18 00:32:13.820531
47,,226,FINISHED,,OTHERS,SOLICITAÇÃO LUZIA DIA 09/11/2022,f,f,,,933,2022-11-09 17:41:31.542511,933,2024-06-18 00:32:18.034158
