id,certificate_template_id,role,type,compensation_template,conscious_template,created_by,created_date,last_modified_by,last_modified_date,platform_id
430,10,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,t,2161,2025-02-23 14:55:29.046047,2161,2025-02-23 14:55:29.046047,3
431,10,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,f,t,2161,2025-02-23 14:55:29.046845,2161,2025-02-23 14:55:29.046845,3
432,10,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,t,2161,2025-02-23 14:55:29.047293,2161,2025-02-23 14:55:29.047293,3
433,10,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,f,2161,2025-02-23 14:55:29.047927,2161,2025-02-23 14:55:29.047927,3
434,10,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,f,2161,2025-02-23 14:55:29.048402,2161,2025-02-23 14:55:29.048402,3
435,10,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,2161,2025-02-23 14:55:29.048983,2161,2025-02-23 14:55:29.048983,3
237,19,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,933,2024-01-09 17:57:38.61073,933,2024-01-09 17:57:38.61073,3
238,19,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,933,2024-01-09 17:57:38.613371,933,2024-01-09 17:57:38.613371,4
403,13,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,t,t,933,2024-12-18 14:26:39.444063,933,2024-12-18 14:26:39.444063,3
405,21,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,2161,2025-02-01 00:35:57.568517,2161,2025-02-01 00:35:57.568517,3
257,14,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,851,2024-06-04 09:20:06.269156,851,2024-06-04 09:20:06.269156,4
274,8,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,t,933,2024-06-05 16:04:16.736981,933,2024-06-05 16:04:16.736981,3
275,8,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,t,933,2024-06-05 16:04:16.737763,933,2024-06-05 16:04:16.737763,3
276,8,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,f,933,2024-06-05 16:04:16.73826,933,2024-06-05 16:04:16.73826,3
277,8,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,t,933,2024-06-05 16:04:16.738724,933,2024-06-05 16:04:16.738724,3
278,8,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,t,933,2024-06-05 16:04:16.739199,933,2024-06-05 16:04:16.739199,3
279,8,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,f,933,2024-06-05 16:04:16.739837,933,2024-06-05 16:04:16.739837,3
280,8,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,f,933,2024-06-05 16:04:16.740384,933,2024-06-05 16:04:16.740384,3
397,11,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,933,2024-08-29 16:44:25.114588,933,2024-08-29 16:44:25.114588,3
398,11,CUSTOMER,TESOURO_VERDE_CERTIFICATE_ORDER,t,f,933,2024-08-29 16:44:25.115423,933,2024-08-29 16:44:25.115423,3
399,11,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,933,2024-08-29 16:44:25.117347,933,2024-08-29 16:44:25.117347,3
422,1,GENERAL_DISTRIBUTOR,AKSES_DISTRIBUTOR_GENERAL_ORDER,f,f,2161,2025-02-23 02:28:56.825741,2161,2025-02-23 02:28:56.825741,4
423,1,,AKSES_CLIENT_CERTIFICATE_ORDER,f,f,2161,2025-02-23 02:28:56.826646,2161,2025-02-23 02:28:56.826646,4
424,1,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,2161,2025-02-23 02:28:56.827553,2161,2025-02-23 02:28:56.827553,3
425,1,,AKSES_LIVING_CARBON_CERTIFICATE_ORDER,f,f,2161,2025-02-23 02:28:56.828012,2161,2025-02-23 02:28:56.828012,4
426,1,,AKSES_LIVING_CARBON_CERTIFICATE_ORDER,f,f,2161,2025-02-23 02:28:56.828453,2161,2025-02-23 02:28:56.828453,3
427,1,,AKSES_CERTIFICATE_PRODUCER,f,f,2161,2025-02-23 02:28:56.828894,2161,2025-02-23 02:28:56.828894,4
428,1,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,2161,2025-02-23 02:28:56.829327,2161,2025-02-23 02:28:56.829327,3
429,1,,AKSES_DISTRIBUTOR_CREDENTIALED_ORDER,f,f,2161,2025-02-23 02:28:56.829727,2161,2025-02-23 02:28:56.829727,4
