id,correios_code,fnde_code,ibge_code,inss_code,siafi_code,name,state_id
5567,,220779,2207793,16224,1104,Pau Darco do Piauí,18
5572,,270375,2703759,2102,562,Jequia da Praia,2
5543,,521015,5210158,8326,1074,Ipiranga de Goiás,8
5551,,510325,5103254,10193,1080,Colniza,11
5552,,510336,5103361,10194,1082,Conquista D`Oeste,11
5556,,510617,5106174,10196,1086,Nova Nazaré,11
5557,,510619,5106190,10197,1088,Nova Santa Helena,11
5559,,510757,5107578,10199,1092,Rondolândia,11
5560,,510774,5107743,10200,1094,Santa Cruz do Xingu,11
5561,,510776,5107768,10201,1096,Santa Rita do Trivelato,11
5562,,510779,5107792,10202,1098,Santo Antônio do Leste,11
3082,,431697,4316972,19499,1168,Santa Margarida do Sul,21
3166,,432146,4321469,19502,1174,Tio Hugo,21
3213,,432377,4323770,19503,1176,Westfália,21
5564,,150475,1504752,,1190,Mojui dos Campos,14
5565,,220095,2200954,,1188,Aroeiras do Itaim,18
5570,,422001,4220000,,1192,Balneário Rincão,25
5571,,421265,4212650,,1194,Pescaria Brava,25
5549,,500390,5003900,,1178,Figueirão,12
5550,,530012,5006275,,1196,Paraíso das Águas,12
5554,,510452,5104526,,1184,Ipiranga do Norte,11
5555,,510454,5104542,,1186,Itanhangá,11
693,79642,280240,2802403,22025,3149,Gararu,26
1337,24287,310020,3100203,11002,4003,Abaeté,13
2553,63959,240010,2400109,18001,1601,Acari,20
5406,18732,170240,1702406,28011,9247,Arraias,27
5530,,,,,,Quintinos,13
847,2658,290020,2900207,4002,3303,Abaré,5
3641,86541,353770,3537701,21378,6855,Piacatu,24
53,107581,211670,2100832,9141,112,Apicum-Açú,10
101,107727,210355,2103554,9161,152,Concição do Lago-Açú,10
122,22985,210470,2104701,9046,791,Graça Aranha,10
125,23035,210510,2105104,9050,799,Icatú,10
131,107891,211510,2105450,9173,176,Jatobá,10
179,23582,210850,2108504,9084,867,Pindaré Mirim,10
654,63827,330690,3306156,17076,2917,Varre-Sai,19
