id,created_by,created_date,last_modified_by,last_modified_date,type,measurement_unit,value,crs
1,,2021-10-10 15:08:12.309574,,,NUMBER_OF_PEOPLE,UNITY,0.59016928767123300,t
2,,2021-10-10 15:08:12.309574,,,ELECTRICITY,KWH,0.00007500000000000,t
3,,2021-10-10 15:08:12.309574,,,WATER,CUBIT_METER,0.00105200000000000,t
4,,2021-10-10 15:08:12.309574,,,ETHANOL,LITER,0.00145740000000000,t
5,,2021-10-10 15:08:12.309574,,,GASOLINE,LITER,0.00202763000000000,t
6,,2021-10-10 15:08:12.309574,,,DIESEL,LITER,0.00260328000000000,t
7,,2021-10-10 15:08:12.309574,,,GNV,CUBIT_METER,0.00200250016480000,t
8,,2021-10-10 15:08:12.309574,,,JET_FUEL,LITER,0.00251694000000000,t
9,,2021-10-10 15:08:12.309574,,,WASTE_PRODUCTION,TON,0.00690400000000000,t
10,,2021-10-10 15:08:12.309574,,,TOTAL_AREA_OCCUPIED,SQUARE_METER,0.00301000000000000,t
11,,2021-10-10 15:08:12.309574,,,FIREWOOD_UNITY,TON,1.82263660000000000,t
12,,2021-10-10 15:08:12.309574,,,PRODUCTIVE_HECTARE,HA,0.02088915500000000,f
14,1756,2023-09-14 09:14:32.501029,1756,2023-09-14 09:14:32.501029,ELECTRICITY,KWH,0.00004260000000000,t
15,1756,2023-09-14 09:14:32.502483,1756,2023-09-14 09:14:32.502483,WATER,CUBIT_METER,0.00110000000000000,t
16,1756,2023-09-14 09:14:32.503755,1756,2023-09-14 09:14:32.503755,ETHANOL,LITER,0.00150000000000000,t
17,1756,2023-09-14 09:14:32.50494,1756,2023-09-14 09:14:32.50494,GASOLINE,LITER,0.00220000000000000,t
18,1756,2023-09-14 09:14:32.506178,1756,2023-09-14 09:14:32.506178,DIESEL,LITER,0.00260000000000000,t
19,1756,2023-09-14 09:14:32.507028,1756,2023-09-14 09:14:32.507028,GNV,CUBIT_METER,0.00200000000000000,t
20,1756,2023-09-14 09:14:32.507745,1756,2023-09-14 09:14:32.507745,JET_FUEL,LITER,0.00250000000000000,t
21,1756,2023-09-14 09:14:32.508423,1756,2023-09-14 09:14:32.508423,WASTE_PRODUCTION,TON,0.00690000000000000,t
22,1756,2023-09-14 09:14:32.509104,1756,2023-09-14 09:14:32.509104,TOTAL_AREA_OCCUPIED,SQUARE_METER,0.00800000000000000,t
23,1756,2023-09-14 09:14:32.509716,1756,2023-09-14 09:14:32.509716,FIREWOOD_UNITY,VOID,0.00150000000000000,t
25,1756,2024-03-18 08:26:37.637248,1756,2024-03-18 08:26:37.637248,ELECTRICITY,KWH,0.03850000000000000,t
26,1756,2024-03-18 08:26:37.638489,1756,2024-03-18 08:26:37.638489,WASTE_PRODUCTION,TON,0.00100000000000000,t
27,1756,2024-03-18 08:26:37.63914,1756,2024-03-18 08:26:37.63914,PRODUCTIVE_HECTARE,HA,0.00000000000000000,t
28,933,2024-03-18 08:29:53.456837,933,2024-03-18 08:29:53.456837,NUMBER_OF_PEOPLE,UNITY,0.59020000000000000,t
29,933,2024-03-18 08:29:53.457869,933,2024-03-18 08:29:53.457869,ELECTRICITY,KWH,0.00004260000000000,t
30,933,2024-03-18 08:29:53.458458,933,2024-03-18 08:29:53.458458,WASTE_PRODUCTION,TON,0.00690000000000000,t
31,933,2024-03-18 08:29:53.459011,933,2024-03-18 08:29:53.459011,TOTAL_AREA_OCCUPIED,SQUARE_METER,8.10000000000000000,t
32,933,2024-03-18 08:29:53.459607,933,2024-03-18 08:29:53.459607,PRODUCTIVE_HECTARE,HA,0.02088915500000000,t
34,1756,2024-03-18 08:32:38.668589,1756,2024-03-18 08:32:38.668589,ELECTRICITY,KWH,0.03850000000000000,t
35,1756,2024-03-18 08:32:38.669193,1756,2024-03-18 08:32:38.669193,WASTE_PRODUCTION,TON,0.00100000000000000,t
36,1756,2024-03-18 08:32:38.669767,1756,2024-03-18 08:32:38.669767,TOTAL_AREA_OCCUPIED,SQUARE_METER,0.00800000000000000,t
37,1756,2024-03-18 08:32:38.670339,1756,2024-03-18 08:32:38.670339,PRODUCTIVE_HECTARE,HA,0.00000000000000000,t
38,1756,2024-03-18 09:07:39.854579,1756,2024-03-18 09:07:39.854579,ELECTRICITY,KWH,0.00003850000000000,t
33,1756,2024-03-18 08:32:38.667711,1756,2024-03-18 08:32:38.667711,NUMBER_OF_PEOPLE,UNITY,0.51270000000000000,t
24,1756,2024-03-18 08:26:37.635342,1756,2024-03-18 08:26:37.635342,NUMBER_OF_PEOPLE,UNITY,0.51270000000000000,t
13,1756,2023-09-14 09:14:32.499659,1756,2023-09-14 09:14:32.499659,NUMBER_OF_PEOPLE,UNITY,0.59020000000000000,t
