id,available_balance,reserved_balance,blocked_balance,retired_balance,user_id,updated_on,platform_id
20814,100000,0,0,0,1504,2023-03-27 08:48:19.726457,4
21120,10000,0,0,0,1586,2023-05-19 08:55:57.80832,4
20642,400,0,0,0,1363,2023-03-28 14:55:09.654703,4
21110,5000,0,0,0,1596,2023-05-15 17:14:57.812856,4
18203,0,0,0,2250,853,2023-09-01 10:49:53.084077,4
21729,0,0,0,0,1674,2023-08-01 09:58:05.331711,4
23499,0,0,0,19,2148,2024-10-28 14:05:17.989796,3
23094,7,0,0,0,2029,2024-05-01 18:10:55.946446,4
22610,0,0,0,0,1512,2024-11-14 12:34:28.04509,3
21773,1397,0,0,0,1691,2023-12-11 14:22:16.644095,2
21626,207,0,0,0,1173,2023-07-12 19:17:55.235777,3
21827,35,0,0,0,1706,2023-08-16 15:56:13.099948,4
21408,0,0,0,26,1616,2023-05-26 17:09:42.803824,4
24989,0,0,0,162,2220,2025-01-07 17:58:28.496591,3
19915,0,0,0,2,1338,2022-12-14 15:08:15.37554,4
23020,0,0,0,1,1978,2024-02-27 14:48:35.627818,3
20462,1,0,66460,0,4,2025-04-29 14:11:18.48548,4
20186,0,0,0,1,1357,2022-10-11 10:13:50.571784,3
20713,0,0,0,1,1460,2023-02-24 08:50:11.103057,3
20664,0,0,0,18,1415,2023-01-12 08:51:44.933755,3
18213,0,0,0,0,537,2022-09-06 18:17:58.325057,4
18214,0,0,0,1,732,2022-09-06 18:17:58.325057,3
20492,164960,0,0,0,1366,2022-12-14 15:08:15.37554,4
20702,1914,0,0,0,1422,2023-02-13 08:29:15.23407,4
20611,0,0,18,0,520,2023-03-16 16:22:18.85331,4
20494,164960,0,0,0,1365,2022-12-14 15:08:15.37554,4
20496,685,0,0,0,1364,2022-12-14 15:08:15.37554,4
20613,0,0,18,0,522,2023-03-16 16:16:15.131061,4
20426,0,0,0,22,1369,2023-05-23 10:34:42.802428,4
21659,281867,0,0,0,1065,2023-07-20 13:07:20.341376,4
20530,0,0,0,10,1317,2022-12-07 16:57:24.488032,4
20648,0,0,0,1,1413,2023-01-04 14:47:24.917917,3
20467,3407314,0,0,0,81,2023-08-17 11:32:23.086766,4
18247,0,0,0,0,98,2022-09-06 18:17:58.325057,1
21459,0,0,0,51,1608,2023-08-11 15:48:33.08727,4
20803,55505,0,0,0,1481,2023-08-21 15:20:23.074596,4
20801,15454,0,0,0,1480,2023-08-21 15:20:23.074596,4
22058,0,0,0,0,1585,2024-04-04 18:47:55.557137,1
21661,1,0,0,0,1283,2023-07-07 11:55:10.338887,4
21829,0,0,0,34,1705,2023-08-16 15:56:13.099948,4
21112,80000,0,0,0,1555,2023-05-16 15:25:52.802453,4
21019,0,0,0,4,728,2023-05-19 09:16:22.809051,4
22061,9451585,0,0,0,1566,2024-04-04 17:56:05.382166,1
21495,0,0,0,0,1627,2023-06-14 09:44:57.800229,4
18338,0,0,0,71,747,2023-11-09 10:37:23.536703,3
21634,13741,0,0,0,1629,2023-06-23 14:25:22.799511,4
18235,35,0,0,0,534,2023-08-24 13:56:23.086822,4
19959,0,0,0,4,1140,2022-09-27 17:01:03.069256,3
20705,0,0,26536,0,1318,2023-02-16 14:13:43.494885,4
20763,0,0,0,6,1442,2023-03-16 12:02:24.875817,4
20537,1027437,0,0,0,1397,2023-08-25 11:40:23.106196,2
20460,0,0,0,1,1354,2022-11-08 08:53:04.375578,3
21412,0,0,0,0,1495,2023-06-22 10:51:24.327241,1
18386,0,0,2976,0,527,2023-03-16 16:21:55.355694,2
20805,0,0,0,6,1468,2023-03-20 14:59:09.919275,3
18277,0,0,0,0,224,2022-09-06 18:17:58.325057,1
20769,0,0,0,6,1440,2023-03-16 12:02:29.870008,4
20775,0,0,0,7,1438,2023-03-16 12:02:39.861723,4
20782,0,0,0,6,1436,2023-03-16 12:02:49.861848,4
18297,0,0,0,0,551,2022-09-06 18:17:58.325057,4
18305,0,0,0,0,533,2022-09-06 18:17:58.325057,2
21560,169999,0,0,0,1227,2025-07-21 17:55:51.892531,3
21721,0,0,0,1,1662,2023-07-24 08:04:25.336327,4
21575,0,0,0,0,1542,2023-08-10 12:23:38.124251,4
18224,0,0,0,300,1233,2023-08-25 12:05:08.087838,4
20724,205578,0,0,0,1473,2023-08-15 10:24:46.243214,2
20817,9979,0,0,0,1505,2023-08-15 10:24:46.243214,2
22542,10,0,0,0,1855,2023-10-16 10:18:41.792874,4
20697,59979,0,0,0,1425,2023-08-15 10:24:46.243214,2
18269,1947,0,0,0,244,2024-11-25 10:14:53.436195,4
18598,0,0,0,25,753,2023-11-20 10:05:27.683183,3
24968,5000,0,0,0,2198,2024-12-09 16:30:38.462746,4
18958,0,0,0,17,901,2023-11-09 10:51:08.51922,3
23361,2165,0,0,0,2114,2024-09-09 09:53:10.844367,2
22451,0,0,0,1,1821,2023-09-27 15:20:51.838416,3
24964,3200,0,0,0,2203,2025-07-11 15:18:09.519356,4
23173,0,0,0,2,2042,2025-05-16 13:04:53.5469,3
23090,0,0,0,1,2003,2024-04-10 17:28:05.645943,3
20605,0,0,0,0,1401,2024-10-09 14:25:00.836787,4
20842,15,0,0,0,1172,2025-07-21 17:56:50.544512,3
21388,199,0,0,0,1553,2025-07-21 17:55:59.651325,3
18513,0,0,0,67,793,2025-06-23 15:04:04.760855,3
21630,191,0,0,0,1221,2025-07-21 17:56:11.584082,3
21386,9999,0,0,0,1589,2025-07-21 17:56:21.30037,3
23312,66970,0,0,0,1320,2025-07-21 17:56:31.833363,3
20731,59978,0,0,0,1479,2023-08-15 10:24:46.243214,2
21883,129352,0,0,0,1624,2025-07-17 11:08:14.527169,4
20757,116,0,0,0,1487,2024-04-04 14:56:25.551378,2
20950,4,0,0,0,1534,2023-08-15 10:24:46.243214,2
22612,0,0,0,1,1878,2023-10-25 10:53:41.791251,3
21410,0,0,0,0,1623,2023-05-30 11:12:27.117985,1
19758,0,0,0,0,398,2023-11-09 10:59:53.465242,3
22077,0,0,0,0,1584,2024-04-04 18:42:15.556717,1
24966,2800,0,0,0,2204,2025-07-11 15:18:24.526681,4
19359,81266,0,7,0,76,2024-11-25 08:57:08.44205,4
21497,0,0,0,93,1626,2023-06-05 16:17:32.807264,4
20502,39970,0,0,0,1356,2022-12-14 15:08:15.37554,4
20573,0,0,0,0,1398,2023-04-06 08:41:41.012841,2
21114,80000,0,0,0,1554,2023-05-16 15:26:02.810988,4
20678,0,0,1,0,669,2025-04-29 14:11:18.48548,4
20787,0,0,0,8,1434,2023-03-16 12:02:54.859855,4
18318,0,0,0,0,214,2022-09-06 18:17:58.325057,1
23023,0,0,0,114,1985,2024-04-22 08:06:07.25723,3
20498,39970,0,0,0,1370,2022-12-14 15:08:15.37554,4
20878,0,6,0,0,1208,2024-12-13 12:38:23.544408,3
20794,0,0,0,8,1430,2023-03-16 12:03:04.848926,4
18276,49968,0,0,0,1228,2022-12-14 15:08:15.37554,4
20948,20,0,0,0,1533,2024-04-04 14:56:15.554271,2
20609,0,0,5,0,346,2023-03-16 16:33:51.326479,4
