id,available_balance,retired_balance,blocked_balance,harvest_year,harvest_id,user_id,updated_on,platform_id
20813,100000,0,0,2010,175,1504,2023-03-27 08:48:19.804148,4
2,0,0,0,2010,115,460,2022-09-06 18:17:58.325057,4
3,0,2,0,2010,72,853,2022-09-06 18:17:58.325057,4
20815,0,1,0,2010,141,1142,2023-03-27 14:03:19.979542,3
81,0,0,0,2010,23,723,2022-09-06 18:17:58.325057,2
8514,0,0,14,2010,141,271,2023-09-01 09:16:26.81742,3
82,0,13,0,2010,130,506,2022-09-06 18:17:58.325057,4
86,0,0,0,2010,135,470,2022-09-06 18:17:58.325057,2
89,0,0,0,2010,99,633,2022-09-06 18:17:58.325057,2
20816,9979,0,0,2010,128,1505,2023-08-15 10:24:48.074404,2
163,0,0,0,2010,31,533,2022-09-06 18:17:58.325057,2
164,0,0,3,2010,88,820,2023-03-16 16:20:58.518003,3
165,0,1,0,2010,110,699,2022-09-06 18:17:58.325057,3
20641,400,0,0,2010,177,1363,2023-03-28 14:55:09.672647,4
241,0,1,0,2010,136,747,2022-09-06 18:17:58.325057,3
243,0,0,0,2010,185,470,2022-09-06 18:17:58.325057,2
244,0,0,0,2010,188,428,2022-09-06 18:17:58.325057,3
246,187,0,0,2010,168,448,2022-09-06 18:17:58.325057,2
20818,0,1,0,2010,97,1197,2023-03-29 10:54:54.883052,3
20820,0,1,0,2010,191,1197,2023-03-29 10:54:54.912967,3
20821,0,1,0,2010,200,1197,2023-03-29 10:54:54.923646,3
20822,0,1,0,2010,161,1197,2023-03-29 10:54:54.932501,3
20824,0,1,0,2010,69,1197,2023-03-29 10:54:54.95935,3
20825,0,1,0,2010,158,1197,2023-03-29 10:54:54.983168,3
16400,0,0,0,2010,177,861,2023-04-03 16:17:38.403899,3
403,0,0,0,2010,90,502,2024-06-18 01:38:26.089774,2
5344,251,0,0,2010,191,406,2024-12-11 10:45:23.805345,3
20826,158302,0,0,2010,128,1525,2023-04-03 09:31:23.783391,2
20830,310844,0,0,2010,131,1525,2023-04-03 09:31:23.796331,2
9367,0,0,0,2010,132,3,2023-04-03 09:31:23.798039,2
20831,401190,0,0,2010,132,1525,2023-04-03 09:31:23.8004,2
23583,1436,0,0,2010,195,72,2024-11-25 08:56:38.480497,4
401,0,4,0,2010,42,853,2022-09-06 18:17:58.325057,4
402,0,17,0,2010,1,756,2022-09-06 18:17:58.325057,3
405,0,0,0,2010,137,454,2022-09-06 18:17:58.325057,4
406,0,0,0,2010,5,505,2022-09-06 18:17:58.325057,4
20843,17,0,0,2010,114,834,2023-04-03 15:58:42.540074,3
20844,17,0,0,2010,3,836,2023-04-03 15:58:42.5529,3
20570,0,0,0,2010,114,850,2023-04-03 15:58:42.631869,2
20889,16,0,0,2010,2,448,2023-04-03 15:58:42.847268,3
483,0,0,4,2010,222,828,2023-03-16 16:20:20.770224,2
20572,0,0,0,2010,114,1398,2023-04-06 08:41:41.072371,2
20851,0,0,0,2010,114,850,2023-04-13 09:15:44.665964,3
8013,17455,0,0,2010,6,1109,2023-06-12 16:53:03.925802,2
17551,2845,0,0,2010,21,1172,2023-08-24 11:37:15.616824,2
8766,0,0,0,2010,1,426,2024-06-18 01:28:40.837029,2
14271,0,1,0,2010,175,625,2024-03-28 15:27:50.640132,4
20828,0,0,0,2010,129,1525,2024-01-08 11:25:54.12285,2
13988,0,0,0,2010,62,424,2024-06-18 01:28:26.032157,2
321,0,0,0,2010,120,464,2024-06-18 01:33:21.192945,2
7500,4,0,0,2010,158,116,2024-05-29 13:39:16.063101,3
10510,32,0,0,2010,200,505,2024-10-07 15:50:37.532383,3
23585,153,0,0,2010,195,76,2024-11-25 08:56:58.460476,4
20819,0,2,0,2010,79,1197,2024-05-23 17:52:36.294192,3
17923,1440,0,0,2010,2,446,2024-06-19 19:10:02.372509,2
20832,0,0,0,2010,133,1525,2024-04-11 09:34:25.575817,2
20833,0,0,0,2010,134,1525,2024-04-11 09:34:25.592662,2
20829,54474,0,0,2010,130,1525,2024-04-11 09:34:25.601379,2
15575,0,7,0,2010,1,1197,2024-05-23 17:52:36.322431,3
20823,0,2,0,2010,157,1197,2024-05-23 17:52:36.354087,3
1,3,0,0,2010,204,172,2024-06-06 16:14:41.108401,3
23584,470,0,0,2010,195,74,2024-11-25 08:56:53.469251,4
242,0,0,0,2010,106,492,2024-06-18 01:37:01.180507,2
20834,18,0,0,2010,2,446,2024-06-19 19:10:02.374175,3
85,0,0,0,2010,9,486,2024-06-18 01:36:10.868184,2
323,0,0,0,2010,62,484,2024-06-18 01:35:56.034565,2
4,0,0,0,2010,17,474,2024-06-18 01:34:35.882733,2
327,0,0,0,2010,107,472,2024-06-18 01:34:21.157251,2
12450,0,0,0,2010,226,494,2024-06-18 01:37:21.525415,2
162,0,0,0,2010,207,502,2024-06-18 01:38:26.459967,2
328,0,0,0,2010,171,454,2024-06-18 01:31:56.379533,2
404,0,0,0,2010,9,440,2024-06-18 01:30:35.861248,2
325,0,0,0,2010,71,432,2024-06-18 01:29:31.065429,2
87,0,0,0,2010,109,428,2024-06-18 01:29:01.17605,2
481,0,0,0,2010,221,444,2024-06-18 01:31:11.554519,2
2320,0,0,0,2010,231,494,2024-06-18 01:37:21.53563,2
933,49906,0,0,2010,21,1204,2024-06-19 19:10:02.397846,2
23586,940,0,0,2010,196,76,2024-11-25 08:56:58.465506,4
9523,1216,0,0,2010,3,836,2023-08-25 11:40:23.432358,2
436,7921,0,0,2010,21,1157,2023-08-15 10:24:47.845441,2
11175,266558,0,0,2010,6,922,2023-08-25 11:40:23.441096,2
15807,745,0,0,2010,21,1154,2023-08-15 10:24:47.862889,2
5225,8773,0,0,2010,1,900,2023-08-25 11:40:23.449833,2
12865,483,0,0,2010,6,920,2023-08-25 11:40:23.458714,2
5983,20253,0,0,2010,21,937,2023-08-25 11:40:23.476006,2
3213,1169,0,0,2010,21,1181,2023-08-25 11:40:23.484519,2
5442,31063,0,0,2010,7,1090,2023-08-25 11:40:23.501055,2
12413,349,0,0,2010,21,1177,2023-08-25 11:40:23.534867,2
20543,13,0,0,2010,88,1397,2023-08-25 11:40:23.545509,2
9034,99919,0,0,2010,21,1208,2023-08-25 11:40:23.555365,2
20703,12309,0,0,2010,114,834,2023-08-03 12:22:41.53442,2
10863,174908,0,0,2010,21,1210,2023-08-25 11:40:23.565041,2
8274,113,0,0,2010,97,835,2023-08-15 10:24:47.681758,2
17135,121,0,0,2010,33,1301,2023-08-15 10:24:47.95851,2
20726,1838,0,0,2010,116,1473,2023-08-15 10:24:47.972489,2
9944,3567,0,0,2010,2,448,2023-08-15 10:24:47.986873,2
15120,1756,0,0,2010,21,1151,2023-08-15 10:24:48.00128,2
13977,124896,0,0,2010,6,921,2023-08-15 10:24:47.710186,2
4067,71662,0,0,2010,75,1334,2023-08-15 10:24:48.01683,2
17437,174910,0,0,2010,21,1206,2023-08-25 11:40:23.57404,2
847,230781,0,0,2010,61,1310,2023-08-15 10:24:48.045487,2
482,11,0,0,2010,21,1208,2023-08-25 12:05:08.389661,4
20696,59979,0,0,2010,114,1425,2023-08-15 10:24:48.089334,2
20734,71,0,0,2010,122,1479,2023-08-15 10:24:48.104043,2
20754,0,0,0,2010,128,1489,2023-04-03 15:58:42.950628,2
20756,0,0,0,2010,128,1487,2023-04-03 15:58:42.960548,2
15313,31,0,0,2010,177,580,2024-07-18 10:29:31.455396,3
20914,13,0,0,2010,129,1525,2023-08-04 11:19:00.819352,3
23587,6878,0,0,2010,197,76,2024-11-25 08:56:58.470833,4
11868,0,0,0,2010,1,494,2024-06-18 01:52:40.83862,4
562,0,1,0,2010,110,957,2022-09-06 18:17:58.325057,3
563,0,0,0,2010,147,724,2022-09-06 18:17:58.325057,2
20916,0,2,0,2010,233,887,2023-04-03 16:17:38.233059,3
641,0,0,0,2010,100,402,2022-09-06 18:17:58.325057,4
20917,0,1,0,2010,80,887,2023-04-03 16:17:38.253935,3
6937,0,33,0,2010,149,887,2023-04-03 16:17:38.278082,3
644,0,0,0,2010,210,416,2022-09-06 18:17:58.325057,4
4381,0,34,0,2010,191,887,2023-04-03 16:17:38.320336,3
646,10,0,0,2010,159,242,2022-09-06 18:17:58.325057,3
20919,0,1,0,2010,160,887,2023-04-03 16:17:38.351352,3
20920,0,1,0,2010,133,887,2023-04-03 16:17:38.414146,3
20921,0,2,0,2010,129,887,2023-04-03 16:17:38.432158,3
11997,0,0,0,2010,4,494,2024-06-18 01:37:20.852637,2
20922,0,1,0,2010,162,887,2023-04-03 16:17:38.441683,3
16350,0,0,0,2010,36,1302,2024-07-10 14:59:35.910841,2
20924,0,1,0,2010,201,887,2023-04-03 16:17:38.471921,3
20925,0,1,0,2010,202,887,2023-04-03 16:17:38.501082,3
647,0,0,958,2010,21,522,2023-03-16 16:16:15.13356,2
20926,0,1,0,2010,85,887,2023-04-03 16:17:38.530441,3
20927,0,2,0,2010,122,887,2023-04-03 16:17:38.54977,3
16492,0,2,0,2010,30,887,2023-04-03 16:17:38.55922,3
17797,0,2,0,2010,164,887,2023-04-03 16:17:38.588745,3
23588,26502,0,0,2010,198,76,2024-11-25 08:56:58.474689,4
643,0,0,0,2010,51,440,2024-06-18 01:30:35.987565,2
20923,0,8,0,2010,128,887,2023-04-03 16:17:38.607316,3
561,0,0,0,2010,205,444,2024-06-18 01:31:11.503211,2
15479,0,2,0,2010,174,887,2023-04-03 16:17:38.616777,3
20760,0,0,0,2010,128,1501,2023-09-26 14:27:46.975975,2
4206,32,0,0,2010,233,534,2024-10-07 15:50:37.558506,3
6742,4,0,0,2010,160,124,2024-06-06 16:11:41.328718,3
17873,4,0,0,2010,161,128,2024-06-06 16:11:41.363102,3
12200,31,0,0,2010,177,596,2024-08-02 11:33:21.131968,3
13657,251,0,0,2010,149,404,2024-10-31 16:15:13.366784,3
12164,0,0,0,2010,74,424,2024-06-18 01:28:26.069586,2
15932,0,0,0,2010,77,424,2024-06-18 01:28:26.080987,2
24256,6693,0,0,2010,217,404,2024-11-25 09:11:25.636105,4
14962,31,0,0,2010,177,582,2024-07-18 10:29:31.511054,3
23589,3284,0,0,2010,199,76,2024-11-25 08:57:03.50177,4
9504,4,0,0,2010,200,120,2024-06-20 15:57:16.086305,3
24334,54551,0,0,2010,209,404,2024-11-25 09:14:48.880828,4
13195,0,0,0,2010,16,494,2024-06-18 01:37:20.893511,2
8338,0,0,0,2010,31,494,2024-06-18 01:37:20.926158,2
16963,0,0,0,2010,38,494,2024-06-18 01:37:20.942928,2
11136,31,0,0,2010,176,589,2024-07-18 10:29:31.598509,3
7408,31,0,0,2010,177,593,2024-07-18 10:29:31.673845,3
20929,0,2,0,2010,56,887,2023-04-03 16:17:38.636561,3
648,0,1,0,2010,1,1251,2022-09-06 18:17:58.325057,3
20928,0,4,0,2010,114,887,2023-04-03 16:17:38.665208,3
13279,0,2,0,2010,204,887,2023-04-03 16:17:38.674901,3
724,0,0,0,2010,1,474,2024-06-18 02:03:50.819371,3
1820,0,6,0,2010,176,887,2023-04-03 16:17:38.714362,3
23590,38041,0,0,2010,200,76,2024-11-25 08:57:03.505873,4
20931,0,2,0,2010,65,887,2023-04-03 16:17:38.723527,3
3779,0,2,0,2010,205,887,2023-04-03 16:17:38.733309,3
20898,0,0,0,2010,114,1398,2023-04-06 08:44:54.681116,3
18058,4,0,0,2010,177,647,2024-11-13 17:42:03.883744,3
20932,0,2,0,2010,75,887,2023-04-03 16:17:38.752523,3
5160,0,2,0,2010,37,887,2023-04-03 16:17:38.760943,3
23591,1672,0,0,2010,201,76,2024-11-25 08:57:08.468503,4
20875,6,0,0,2010,88,1397,2024-10-15 17:00:46.266717,3
4940,0,3,0,2010,87,887,2023-04-03 16:17:38.786591,3
6994,3,0,0,2010,97,222,2024-06-18 17:56:51.207679,3
20873,6,0,0,2010,21,1177,2024-10-15 17:00:46.333106,3
20934,0,2,0,2010,116,887,2023-04-03 16:17:38.803165,3
23592,3580,0,0,2010,204,76,2024-11-25 08:57:08.472545,4
9734,0,2,0,2010,33,887,2023-04-03 16:17:38.827457,3
11464,0,2,0,2010,206,887,2023-04-03 16:17:38.836206,3
13117,30,0,0,2010,177,674,2024-10-21 17:48:23.458636,3
