id,created_by,created_date,last_modified_by,last_modified_date,amount,error_description,status,type,harvest_year,harvest_id,distribution_origin_id,private_ucs_amount,public_ucs_amount
1,1,2011-07-02 00:00:00,,,162851,,FINISHED,PARTITION_HARVEST,2010,1,,162851,0
2,1,2011-07-02 00:00:00,,,1120539,,FINISHED,PARTITION_HARVEST,2010,2,,1120539,0
3,1,2011-07-02 00:00:00,,,666544,,FINISHED,PARTITION_HARVEST,2010,3,,666544,0
4,1,2011-07-02 00:00:00,,,156691,,FINISHED,PARTITION_HARVEST,2010,4,,156691,0
5,1,2011-07-02 00:00:00,,,256240,,FINISHED,PARTITION_HARVEST,2010,5,,256240,0
6,1,2011-07-02 00:00:00,,,12242712,,FINISHED,PARTITION_HARVEST,2010,6,,12242712,0
7,1,2011-07-02 00:00:00,,,11451210,,FINISHED,PARTITION_HARVEST,2010,7,,11451210,0
8,1,2011-07-02 00:00:00,,,194230,,FINISHED,PARTITION_HARVEST,2010,8,,194230,0
9,1,2011-07-02 00:00:00,,,44140,,FINISHED,PARTITION_HARVEST,2010,9,,44140,0
10,1,2011-07-02 00:00:00,,,277710,,FINISHED,PARTITION_HARVEST,2010,10,,277710,0
11,1,2011-07-02 00:00:00,,,170063,,FINISHED,PARTITION_HARVEST,2010,11,,170063,0
12,1,2011-07-02 00:00:00,,,66360,,FINISHED,PARTITION_HARVEST,2010,12,,66360,0
13,1,2011-07-02 00:00:00,,,11875,,FINISHED,PARTITION_HARVEST,2010,13,,11875,0
14,1,2011-07-02 00:00:00,,,22418,,FINISHED,PARTITION_HARVEST,2010,14,,22418,0
15,1,2011-07-02 00:00:00,,,41872,,FINISHED,PARTITION_HARVEST,2010,15,,41872,0
16,1,2011-07-02 00:00:00,,,13676,,FINISHED,PARTITION_HARVEST,2010,16,,13676,0
17,1,2011-07-02 00:00:00,,,2060140,,FINISHED,PARTITION_HARVEST,2010,17,,2060140,0
18,1,2011-07-02 00:00:00,,,1221692,,FINISHED,PARTITION_HARVEST,2010,18,,1221692,0
19,1,2011-07-02 00:00:00,,,3040704,,FINISHED,PARTITION_HARVEST,2010,19,,3040704,0
20,1,2011-07-02 00:00:00,,,2600497,,FINISHED,PARTITION_HARVEST,2010,20,,2600497,0
21,1,2011-07-02 00:00:00,,,5389747,,FINISHED,PARTITION_HARVEST,2010,21,,5389747,0
22,1,2011-07-02 00:00:00,,,3883493,,FINISHED,PARTITION_HARVEST,2010,22,,3883493,0
23,1,2011-07-02 00:00:00,,,2515727,,FINISHED,PARTITION_HARVEST,2010,23,,2515727,0
24,1,2011-07-02 00:00:00,,,1124549,,FINISHED,PARTITION_HARVEST,2010,24,,1124549,0
25,1,2011-07-02 00:00:00,,,3597281,,FINISHED,PARTITION_HARVEST,2010,25,,3597281,0
26,1,2011-07-02 00:00:00,,,1979039,,FINISHED,PARTITION_HARVEST,2010,26,,1979039,0
27,1,2011-07-02 00:00:00,,,53853,,FINISHED,PARTITION_HARVEST,2010,27,,53853,0
28,1,2011-07-02 00:00:00,,,160765,,FINISHED,PARTITION_HARVEST,2010,28,,160765,0
29,1,2011-07-02 00:00:00,,,3554,,FINISHED,PARTITION_HARVEST,2010,29,,3554,0
30,1,2011-07-02 00:00:00,,,84736,,FINISHED,PARTITION_HARVEST,2010,30,,84736,0
31,1,2011-07-02 00:00:00,,,1424305,,FINISHED,PARTITION_HARVEST,2010,31,,1424305,0
32,1,2011-07-02 00:00:00,,,150471,,FINISHED,PARTITION_HARVEST,2010,32,,150471,0
33,1,2011-07-02 00:00:00,,,48985,,FINISHED,PARTITION_HARVEST,2010,33,,48985,0
34,1,2011-07-02 00:00:00,,,99310,,FINISHED,PARTITION_HARVEST,2010,34,,99310,0
35,1,2011-07-02 00:00:00,,,80382,,FINISHED,PARTITION_HARVEST,2010,35,,80382,0
36,1,2011-07-02 00:00:00,,,71855,,FINISHED,PARTITION_HARVEST,2010,36,,71855,0
37,1,2011-07-02 00:00:00,,,451067,,FINISHED,PARTITION_HARVEST,2010,37,,451067,0
38,1,2011-07-02 00:00:00,,,2550387,,FINISHED,PARTITION_HARVEST,2010,38,,2550387,0
39,1,2011-07-02 00:00:00,,,3316086,,FINISHED,PARTITION_HARVEST,2010,39,,3316086,0
40,1,2011-07-02 00:00:00,,,1050169,,FINISHED,PARTITION_HARVEST,2010,40,,1050169,0
41,1,2011-07-02 00:00:00,,,1132730,,FINISHED,PARTITION_HARVEST,2010,41,,1132730,0
42,1,2011-07-02 00:00:00,,,84359,,FINISHED,PARTITION_HARVEST,2010,42,,84359,0
43,1,2011-07-02 00:00:00,,,73280,,FINISHED,PARTITION_HARVEST,2010,43,,73280,0
44,1,2011-07-02 00:00:00,,,92098,,FINISHED,PARTITION_HARVEST,2010,44,,92098,0
45,1,2011-07-02 00:00:00,,,106551,,FINISHED,PARTITION_HARVEST,2010,45,,106551,0
46,1,2011-07-02 00:00:00,,,118924,,FINISHED,PARTITION_HARVEST,2010,46,,118924,0
47,1,2011-07-02 00:00:00,,,300107,,FINISHED,PARTITION_HARVEST,2010,47,,300107,0
48,1,2011-07-02 00:00:00,,,144968,,FINISHED,PARTITION_HARVEST,2010,48,,144968,0
49,1,2011-07-02 00:00:00,,,1406915,,FINISHED,PARTITION_HARVEST,2010,49,,1406915,0
50,1,2011-07-02 00:00:00,,,286877,,FINISHED,PARTITION_HARVEST,2010,50,,286877,0
51,1,2011-07-02 00:00:00,,,671912,,FINISHED,PARTITION_HARVEST,2010,51,,671912,0
52,1,2011-07-02 00:00:00,,,1210669,,FINISHED,PARTITION_HARVEST,2010,52,,1210669,0
53,1,2011-07-02 00:00:00,,,1741120,,FINISHED,PARTITION_HARVEST,2010,53,,1741120,0
54,1,2011-07-02 00:00:00,,,1555629,,FINISHED,PARTITION_HARVEST,2010,54,,1555629,0
55,1,2011-07-02 00:00:00,,,1377831,,FINISHED,PARTITION_HARVEST,2010,55,,1377831,0
56,1,2011-07-02 00:00:00,,,275218,,FINISHED,PARTITION_HARVEST,2010,56,,275218,0
57,1,2011-07-02 00:00:00,,,2099424,,FINISHED,PARTITION_HARVEST,2010,57,,2099424,0
58,1,2011-07-02 00:00:00,,,111702,,FINISHED,PARTITION_HARVEST,2010,58,,111702,0
59,1,2011-07-02 00:00:00,,,2326071,,FINISHED,PARTITION_HARVEST,2010,59,,2326071,0
60,1,2011-07-02 00:00:00,,,980051,,FINISHED,PARTITION_HARVEST,2010,60,,980051,0
61,1,2011-07-02 00:00:00,,,7372366,,FINISHED,PARTITION_HARVEST,2010,61,,7372366,0
