id,description,type,status
44,CAVALINHOS,SUPPLY_PLATFORMS,ACTIVE
46,Marcio Mota,SUPPLY_PLATFORMS,ACTIVE
50,CODEMAR,SUPPLY_PLATFORMS,ACTIVE
51,Amapá,SUPPLY_PLATFORMS,ACTIVE
53,TesteUCSCodemar,SUPPLY_PLATFORMS,ACTIVE
54,#676 OCB/ES ANUÁRIO 2024,SUPPLY_PLATFORMS,ACTIVE
57,FILA ESPECIAL - PEDIDO DE COMPRA 27 MESOSFERA,SUPPLY_PLATFORMS,ACTIVE
31,TODOS_AKSES,SUPPLY_PLATFORMS,INACTIVE
32,Fila TESOURO VERDE,SUPPLY_PLATFORMS,ACTIVE
58,TODOS_AKSES (1),SUPPLY_PLATFORMS,INACTIVE
47,BMTCA,SUPPLY_PLATFORMS,INACTIVE
45,IMEI,SUPPLY_PLATFORMS,INACTIVE
59,ASCOPLAN - BMTCA,SUPPLY_PLATFORMS,ACTIVE
