id,percentage,type_role,distribution_configuration_id,parent_id,user_id
3984,100.00,CREDENTIALED_DISTRIBUTOR,44,,1678
4031,100.00,CREDENTIALED_DISTRIBUTOR,53,,
4032,50.00,CREDENTIALED_DISTRIBUTOR,53,4031,1908
4033,50.00,CREDENTIALED_DISTRIBUTOR,53,4031,1738
3985,100.00,IMEI,45,,3
4007,50.00,CUSTOMER,47,,6
4008,50.00,CREDENTIALED_DISTRIBUTOR,47,,1103
4049,100.00,CUSTOMER,59,,
4050,50.00,CUSTOMER,59,4049,708
4051,50.00,CUSTOMER,59,4049,6
4002,100.00,GOV,51,,398
4009,100.00,CREDENTIALED_DISTRIBUTOR,54,,1631
4039,20.00,PRODUCER,31,,
4040,20.00,ASSOCIATION,31,,
4041,20.00,IMEI,31,,
4042,20.00,PARTNER,31,,
4043,20.00,CUSTOMER,31,,
4044,20.00,PRODUCER,58,,
4045,20.00,ASSOCIATION,58,,
4046,20.00,IMEI,58,,
4047,20.00,PARTNER,58,,
4048,20.00,CUSTOMER,58,,
3996,100.00,CUSTOMER,46,,572
4010,50.00,GOV,50,,1593
4011,50.00,CUSTOMER,50,,
4018,50.00,CUSTOMER,57,,1401
4019,50.00,USER_AKSES,57,,5
3939,100.00,PARTNER,32,,
