id,method,path,microservice,created_by,created_date,last_modified_by,last_modified_date
7203,GET,/v1/benefits-generated,client,,,,
7204,POST,/v1/certificate-order-simulator,client,,,,
7205,GET,/v1/bill-to-pay/export/csv,report,,,,
7206,GET,/v1/users/export/csv,report,,,,
7207,GET,/v1/transactions/export/csv,report,,,,
7208,GET,/v1/jasper/financial/akses/supplier-payments/xls,report,,,,
7209,GET,/v1/jasper/financial/akses/supplier-payments/csv,report,,,,
7210,GET,/v1/jasper/financial/akses/supplier-payments,report,,,,
7211,GET,/v1/jasper/financial/supplier-payments/xls,report,,,,
7212,GET,/v1/jasper/financial/supplier-payments/csv,report,,,,
7213,GET,/v1/jasper/financial/supplier-payments,report,,,,
7214,GET,/v1/jasper/financial/government-sales/xls,report,,,,
7215,GET,/v1/jasper/financial/government-sales/csv,report,,,,
7216,GET,/v1/jasper/financial/government-sales,report,,,,
7217,GET,/v1/jasper/financial/individual-sales/xls,report,,,,
7218,GET,/v1/jasper/financial/individual-sales/csv,report,,,,
7219,GET,/v1/jasper/financial/individual-sales,report,,,,
7220,GET,/v1/jasper/financial/participants/csv,report,,,,
7221,GET,/v1/jasper/financial/participants,report,,,,
7222,GET,/v1/jasper/financial/general-sales/xls,report,,,,
7223,GET,/v1/jasper/financial/general-sales/csv,report,,,,
7224,GET,/v1/jasper/financial/general-sales,report,,,,
7225,GET,/v1/jasper/permissions/roles/{role}/csv,report,,,,
7226,GET,/v1/jasper/permissions/roles/{role},report,,,,
7227,GET,/v1/jasper/permissions/user/{userId:\\d+}/csv,report,,,,
7228,GET,/v1/jasper/permissions/user/{userId:\\d+},report,,,,
7229,GET,/v1/akses/burned-token-order/certificates/{certificateId},report,,,,
7230,GET,/v1/akses/government-sales,report,,,,
7231,GET,/v1/akses/government-sales/xls,report,,,,
7232,GET,/v1/akses/government-sales/csv,report,,,,
7233,GET,/v1/akses/living-carbon/certificates/{certificateId},report,,,,
7234,GET,/v1/akses/producer/certificates/{certificateId},report,,,,
7235,GET,/v1/akses/client/certificates/{certificateId},report,,,,
7236,GET,/v1/akses/credentialed-distributor/certificates/{certificateId},report,,,,
7237,GET,/v1/akses/financial-distributor/certificates/{certificateId},report,,,,
7238,GET,/v1/akses/general-distributor/certificates/{certificateId},report,,,,
7239,GET,/v1/tesouro-verde/certificates/{certificateId},report,,,,
7240,GET,/v1/jasper/akses/negotiation-invoice/distributor/assignment-of-rights/{orderId:\\d+}/{userId:\\d+}/pdf,report,,,,
7241,GET,/v1/jasper/akses/negotiation-invoice/distributor/zip,report,,,,
7242,GET,/v1/jasper/akses/negotiation-invoice/distributor/pdf,report,,,,
7243,GET,/v1/jasper/akses/negotiation-invoice/living-carbon/assignment-of-rights/{orderId:\\d+}/{userId:\\d+}/pdf,report,,,,
7244,GET,/v1/jasper/akses/negotiation-invoice/living-carbon/zip,report,,,,
7245,GET,/v1/jasper/akses/negotiation-invoice/living-carbon/pdf,report,,,,
7246,GET,/v1/jasper/akses/negotiation-invoice/client/assignment-of-rights/{orderId:\\d+}/{userId:\\d+}/pdf,report,,,,
7247,GET,/v1/jasper/akses/negotiation-invoice/client/zip,report,,,,
7248,GET,/v1/jasper/akses/negotiation-invoice/client/pdf,report,,,,
7249,GET,/v1/jasper/akses/negotiation-invoice/purchase/assignment-of-rights/{orderId:\\d+}/{userId:\\d+}/pdf,report,,,,
7250,GET,/v1/jasper/akses/negotiation-invoice/purchase/zip,report,,,,
7251,GET,/v1/jasper/akses/negotiation-invoice/purchase/pdf,report,,,,
7252,GET,/v1/jasper/assignment-of-rights/{orderId:\\d+}/{userId:\\d+}/pdf,report,,,,
7253,GET,/v1/jasper/negotiation-invoice/zip,report,,,,
7254,GET,/v1/jasper/negotiation-invoice/pdf,report,,,,
7255,GET,/v1/jasper/harvest/{harvestId:\\d+}/summary,report,,,,
7256,GET,/v1/jasper/certificate-template/{certificateTemplateId:\\d+}/preview,report,,,,
7257,GET,/v1/stock-availability/certificates/{certificateId},report,,,,
7258,GET,/v1/users/document,user,,,,
7259,PUT,/v1/users/document,user,,,,
7260,GET,/v1/users/me,user,,,,
7261,PUT,/v1/users/me,user,,,,
7262,GET,/v1/users/avatar/myself,user,,,,
7263,GET,/v1/users/{id:\\d+},user,,,,
7264,PUT,/v1/users/{id:\\d+},user,,,,
7265,GET,/v1/users/{id:\\d+}/avatar,user,,,,
7266,PATCH,/v1/users/{id:\\d+}/avatar,user,,,,
7267,PATCH,/v1/users/{id:\\d+}/change-status,user,,,,
7268,PATCH,/v1/users/{id:\\d+}/send-confirmation-email,user,,,,
7269,PUT,/v1/p/users,user,,,,
7270,PATCH,/v1/p/users/confirm-account,user,,,,
7271,GET,/v1/p/users/document-available,user,,,,
7272,GET,/v1/p/users/email-available,user,,,,
7273,GET,/v1/p/locations/ceps/{cep},user,,,,
7274,GET,/v1/p/locations/states/{uf}/cities,user,,,,
7275,GET,/v1/p/locations/states,user,,,,
7276,GET,/v1/p/locations/countries,user,,,,
7277,GET,/v1/p/banks,user,,,,
7278,PATCH,/v1/sessions/me/change-temp-password,authn,,,,
7279,GET,/v1/sessions/profile/login-as,authn,,,,
7280,GET,/v1/p/new-password/{key},authn,,,,
7281,GET,/v1/p/request-new-password,authn,,,,
7282,POST,/v1/p/login-accounts,authn,,,,
7283,POST,/v1/p/login,authn,,,,
7284,PUT,/v1/certificate-orders,tesouroverde,,,,
7285,GET,/v1/certificate-orders/{orderId:\\d+},tesouroverde,,,,
7286,GET,/v1/certificate-orders/{orderId:\\d+}/file/{fileId}/download,tesouroverde,,,,
