id,endpoint_id,permission_id,created_by,created_date,last_modified_by,last_modified_date
8031,7205,300,,,,
8032,7206,195,,,,
8033,7207,88,,,,
8034,7208,147,,,,
8035,7209,147,,,,
8036,7210,147,,,,
8037,7211,147,,,,
8038,7212,147,,,,
8039,7213,147,,,,
8040,7214,146,,,,
8041,7215,146,,,,
8042,7216,146,,,,
8043,7217,145,,,,
8044,7218,145,,,,
8045,7219,145,,,,
8046,7220,371,,,,
8047,7221,371,,,,
8048,7222,294,,,,
8049,7223,294,,,,
8050,7224,294,,,,
8051,7225,187,,,,
8052,7226,187,,,,
8053,7227,187,,,,
8054,7228,187,,,,
8055,7229,357,,,,
8056,7230,186,,,,
8057,7231,186,,,,
8058,7232,186,,,,
8059,7233,169,,,,
8060,7233,286,,,,
8061,7234,169,,,,
8062,7234,73,,,,
8063,7235,169,,,,
8064,7235,16,,,,
8065,7236,169,,,,
8066,7236,35,,,,
8067,7237,169,,,,
8068,7237,22,,,,
8069,7238,169,,,,
8070,7238,28,,,,
8071,7239,166,,,,
8072,7239,57,,,,
8073,7240,36,,,,
8074,7240,23,,,,
8075,7240,29,,,,
8076,7241,36,,,,
8077,7241,23,,,,
8078,7241,29,,,,
8079,7242,36,,,,
8080,7242,23,,,,
8081,7242,29,,,,
8082,7243,346,,,,
8083,7244,346,,,,
8084,7245,346,,,,
8085,7246,17,,,,
8086,7247,17,,,,
8087,7248,17,,,,
8088,7249,5,,,,
8089,7250,5,,,,
8090,7251,5,,,,
8091,7252,60,,,,
8092,7253,60,,,,
8093,7254,60,,,,
8094,7255,68,,,,
8095,7256,42,,,,
8096,7256,38,,,,
8097,7256,40,,,,
8098,7257,369,,,,
8099,7257,370,,,,
8100,7263,125,,,,
8101,7264,128,,,,
8102,7267,129,,,,
8103,7268,194,,,,
8104,7284,167,,,,
8105,7285,165,,,,
8106,7286,167,,,,
8107,7287,167,,,,
8108,7288,167,,,,
8109,7289,167,,,,
8110,7290,166,,,,
8111,7291,167,,,,
8112,7292,167,,,,
8113,7293,167,,,,
8114,7294,167,,,,
8115,7295,165,,,,
8116,7296,166,,,,
8117,7297,167,,,,
8118,7306,341,,,,
8119,7307,343,,,,
8120,7308,343,,,,
8121,7309,341,,,,
8122,7309,342,,,,
8123,7310,343,,,,
8124,7311,343,,,,
8125,7312,341,,,,
8126,7312,345,,,,
8127,7313,341,,,,
8128,7313,344,,,,
8129,7314,359,,,,
8130,7315,360,,,,
8131,7316,359,,,,
8132,7316,361,,,,
8133,7317,360,,,,
8134,7318,360,,,,
8135,7319,360,,,,
8136,7320,360,,,,
8137,7321,283,,,,
8138,7322,282,,,,
8139,7323,283,,,,
8140,7324,283,,,,
8141,7325,283,,,,
8142,7326,283,,,,
8143,7327,169,,,,
8144,7328,283,,,,
8145,7329,283,,,,
8146,7330,283,,,,
8147,7331,283,,,,
8148,7332,282,,,,
8149,7333,283,,,,
8150,7334,283,,,,
8151,7335,283,,,,
8152,7336,283,,,,
8153,7337,172,,,,
8154,7338,172,,,,
8155,7339,172,,,,
8156,7340,172,,,,
8157,7341,173,,,,
8158,7342,172,,,,
8159,7343,172,,,,
8160,7344,184,,,,
8161,7345,184,,,,
8162,7346,184,,,,
8163,7347,184,,,,
8164,7348,184,,,,
8165,7349,185,,,,
8166,7350,170,,,,
8167,7351,170,,,,
8168,7352,170,,,,
8169,7353,171,,,,
8170,7354,170,,,,
8171,7355,170,,,,
8172,7356,295,,,,
8173,7357,183,,,,
8174,7358,182,,,,
8175,7359,182,,,,
8176,7360,181,,,,
8177,7361,181,,,,
8178,7362,180,,,,
8179,7363,179,,,,
8180,7364,178,,,,
8181,7365,182,,,,
8182,7365,180,,,,
8183,7365,178,,,,
8184,7366,183,,,,
8185,7366,181,,,,
8186,7366,179,,,,
8187,7367,183,,,,
8188,7367,181,,,,
8189,7367,179,,,,
8190,7368,183,,,,
8191,7368,181,,,,
8192,7368,179,,,,
8193,7369,183,,,,
8194,7369,181,,,,
8195,7369,179,,,,
8196,7370,177,,,,
8197,7371,177,,,,
8198,7372,174,,,,
8199,7373,174,,,,
8200,7374,174,,,,
8201,7375,175,,,,
8202,7376,174,,,,
8203,7377,174,,,,
8204,7378,170,,,,
8205,7378,172,,,,
8206,7378,184,,,,
8207,7378,181,,,,
8208,7378,179,,,,
8209,7378,183,,,,
8210,7378,174,,,,
8211,7378,283,,,,
8212,7379,169,,,,
8213,7380,168,,,,
8214,7381,176,,,,
8215,7382,176,,,,
8216,7383,176,,,,
8217,7384,291,,,,
8218,7386,168,,,,
8219,7387,168,,,,
8220,7400,375,,,,
8221,7401,375,,,,
8222,7401,376,,,,
8223,7402,377,,,,
8224,7403,124,,,,
8225,7404,127,,,,
8226,7404,125,,,,
8227,7405,127,,,,
8228,7406,129,,,,
8229,7407,124,,,,
8230,7408,149,,,,
8231,7411,149,,,,
8232,7412,148,,,,
8233,7413,6,,,,
8234,7414,8,,,,
8235,7415,6,,,,
8236,7416,7,,,,
8237,7417,312,,,,
8238,7418,321,,,,
8239,7419,88,,,,
8240,7420,159,,,,
8241,7421,160,,,,
8242,7422,366,,,,
8243,7423,367,,,,
8244,7424,367,,,,
8245,7425,367,,,,
8246,7426,367,,,,
8247,7427,67,,,,
8248,7428,67,,,,
8249,7429,67,,,,
8250,7430,67,,,,
8251,7431,1,,,,
8252,7432,1,,,,
8253,7433,1,,,,
8254,7434,1,,,,
8255,7435,1,,,,
8256,7436,1,,,,
8257,7437,1,,,,
8258,7438,1,,,,
8259,7439,1,,,,
8260,7440,9,,,,
8261,7441,11,,,,
8262,7442,9,,,,
8263,7443,10,,,,
8264,7444,313,,,,
8265,7445,322,,,,
8266,7446,145,,,,
8267,7446,146,,,,
8268,7447,2,,,,
8269,7448,311,,,,
8270,7449,320,,,,
8271,7450,4,,,,
8272,7451,2,,,,
8273,7452,111,,,,
8274,7453,112,,,,
8275,7454,116,,,,
8276,7455,114,,,,
8277,7456,114,,,,
8278,7457,117,,,,
8279,7458,114,,,,
8280,7459,117,,,,
8281,7460,117,,,,
8282,7461,119,,,,
8283,7462,119,,,,
8284,7463,119,,,,
8285,7464,118,,,,
8286,7464,114,,,,
8287,7465,119,,,,
8288,7466,120,,,,
8289,7467,121,,,,
8290,7468,121,,,,
8291,7469,118,,,,
8292,7469,114,,,,
8293,7470,113,,,,
8294,7471,115,,,,
8295,7472,115,,,,
8296,7473,115,,,,
8297,7474,115,,,,
8298,7475,115,,,,
8299,7476,115,,,,
8300,7477,113,,,,
8301,7477,112,,,,
8302,7478,187,,,,
8303,7479,188,,,,
8304,7480,189,,,,
8305,7481,189,,,,
8306,7482,189,,,,
8307,7483,189,,,,
8308,7484,189,,,,
8309,7485,189,,,,
8310,7486,189,,,,
8311,7488,187,,,,
8312,7489,189,,,,
8313,7490,187,,,,
8314,7491,189,,,,
8315,7492,190,,,,
8316,7493,191,,,,
8317,7494,191,,,,
8318,7495,193,,,,
8319,7496,190,,,,
8320,7497,91,,,,
8321,7498,92,,,,
8322,7499,93,,,,
8323,7500,94,,,,
8324,7501,91,,,,
8325,7502,92,,,,
8326,7503,92,,,,
8327,7504,92,,,,
8328,7505,94,,,,
8329,7506,91,,,,
8330,7507,95,,,,
8331,7508,98,,,,
8332,7509,96,,,,
8333,7509,98,,,,
8334,7510,95,,,,
8335,7511,96,,,,
8336,7512,97,,,,
8337,7513,90,,,,
8338,7514,90,,,,
8339,7515,90,,,,
8340,7516,90,,,,
8341,7517,90,,,,
8342,7518,90,,,,
8343,7519,90,,,,
8344,7520,355,,,,
8345,7520,4,,,,
8346,7520,32,,,,
8347,7520,20,,,,
8348,7520,26,,,,
8349,7520,285,,,,
8350,7520,55,,,,
8351,7521,90,,,,
8352,7522,90,,,,
8353,7523,90,,,,
8354,7524,90,,,,
8355,7525,90,,,,
8356,7526,90,,,,
8357,7527,90,,,,
8358,7528,154,,,,
8359,7529,155,,,,
8360,7530,158,,,,
8361,7531,155,,,,
8362,7531,156,,,,
8363,7532,157,,,,
8364,7532,156,,,,
8365,7532,155,,,,
8366,7533,155,,,,
8367,7533,156,,,,
8368,7534,155,,,,
8369,7534,156,,,,
8370,7535,155,,,,
8371,7535,156,,,,
8372,7536,133,,,,
8373,7537,134,,,,
