id,created_by,created_date,last_modified_by,last_modified_date,amount,registered_on,year,area_id,platform_id,producer_certificate_platform_id
238,933,2023-09-16 18:13:18.76718,933,2023-09-16 18:13:18.76718,2987342,2022-09-16 00:00:06.82,2022,240,1,
242,933,2023-09-16 18:22:52.186581,933,2023-09-16 18:22:52.186581,1586661,2022-09-16 00:00:40.681,2022,252,1,
247,933,2023-09-16 18:31:20.093309,933,2023-09-16 18:31:20.093309,2343164,2022-09-16 00:00:08.62,2022,249,1,
251,933,2024-08-28 15:12:02.628988,933,2024-08-28 15:12:02.628988,236759,2022-08-28 00:00:13.138,2022,257,1,
253,933,2024-08-28 15:13:17.493122,933,2024-08-28 15:13:17.493122,73260,2022-08-28 00:00:47.972,2022,259,1,
255,933,2024-12-13 08:14:16.427258,933,2024-12-13 08:14:16.427258,76970,2023-12-13 00:00:33.352,2023,258,1,
19,1,2011-07-02 00:00:00,,,3040704,2011-07-02 00:00:00,2010,19,,
39,1,2011-07-02 00:00:00,,,3316086,2011-07-02 00:00:00,2010,39,,
239,933,2023-09-16 18:15:01.038378,933,2023-09-16 18:15:01.038378,1586325,2022-09-16 00:00:49.564,2022,251,1,
243,933,2023-09-16 18:24:33.78561,933,2023-09-16 18:24:33.78561,3632287,2022-09-16 00:00:22.348,2022,245,1,
248,933,2023-09-16 18:33:01.773593,933,2023-09-16 18:33:01.773593,1668986,2022-09-16 00:00:50.326,2022,244,1,
249,933,2023-09-16 18:34:43.195349,933,2023-09-16 18:34:43.195349,1273458,2022-09-16 00:00:31.795,2022,243,1,
252,933,2024-08-28 15:12:44.501117,933,2024-08-28 15:12:44.501117,101478,2022-08-28 00:00:12.108,2022,253,1,
254,933,2024-08-28 15:13:44.938039,933,2024-08-28 15:13:44.938039,76970,2022-08-28 00:00:19.816,2022,258,1,
256,933,2024-12-13 08:15:14.872971,933,2024-12-13 08:15:14.872971,73260,2023-12-13 00:00:39.382,2023,259,1,
240,933,2023-09-16 18:16:42.880049,933,2023-09-16 18:16:42.880049,685175,2022-09-16 00:00:31.443,2022,250,1,
244,933,2023-09-16 18:26:15.549805,933,2023-09-16 18:26:15.549805,1009777,2022-09-16 00:00:04.07,2022,246,1,
250,933,2023-09-16 18:36:24.614925,933,2023-09-16 18:36:24.614925,356769,2022-09-16 00:00:13.202,2022,242,1,
257,933,2024-12-13 08:16:10.339497,933,2024-12-13 08:16:10.339497,101478,2023-12-13 00:00:19.067,2023,253,1,
258,933,2024-12-13 08:16:50.821745,933,2024-12-13 08:16:50.821745,236759,2023-12-13 00:00:15.995,2023,257,1,
234,1,2020-08-25 00:00:00,,,59372998,2020-08-25 00:00:00,2020,235,,
1,1,2011-07-02 00:00:00,,,162851,2011-07-02 00:00:00,2010,1,,4
2,1,2011-07-02 00:00:00,,,1120539,2011-07-02 00:00:00,2010,2,,4
3,1,2011-07-02 00:00:00,,,666544,2011-07-02 00:00:00,2010,3,,4
4,1,2011-07-02 00:00:00,,,156691,2011-07-02 00:00:00,2010,4,,4
