id,harvest_id,role_user_id,amount,created_by,created_date,last_modified_by,last_modified_date
1,238,1585,896203,933,2023-09-16 18:13:18.807161,933,2023-09-16 18:13:18.807161
2,238,3,1194936,933,2023-09-16 18:13:18.809733,933,2023-09-16 18:13:18.809733
3,238,1566,896203,933,2023-09-16 18:13:18.81236,933,2023-09-16 18:13:18.81236
4,239,3,634529,933,2023-09-16 18:15:01.041178,933,2023-09-16 18:15:01.041178
5,239,1566,475898,933,2023-09-16 18:15:01.042876,933,2023-09-16 18:15:01.042876
6,239,1585,475898,933,2023-09-16 18:15:01.043649,933,2023-09-16 18:15:01.043649
7,240,1566,205553,933,2023-09-16 18:16:42.881369,933,2023-09-16 18:16:42.881369
8,240,1584,205553,933,2023-09-16 18:16:42.882326,933,2023-09-16 18:16:42.882326
9,240,3,274069,933,2023-09-16 18:16:42.883233,933,2023-09-16 18:16:42.883233
10,241,3,511901,933,2023-09-16 18:21:09.601852,933,2023-09-16 18:21:09.601852
11,241,1582,383926,933,2023-09-16 18:21:09.602488,933,2023-09-16 18:21:09.602488
12,241,1566,383926,933,2023-09-16 18:21:09.603185,933,2023-09-16 18:21:09.603185
13,242,1582,475998,933,2023-09-16 18:22:52.187858,933,2023-09-16 18:22:52.187858
14,242,1566,475998,933,2023-09-16 18:22:52.188959,933,2023-09-16 18:22:52.188959
15,242,3,634665,933,2023-09-16 18:22:52.189722,933,2023-09-16 18:22:52.189722
16,243,1582,1089686,933,2023-09-16 18:24:33.786524,933,2023-09-16 18:24:33.786524
17,243,1566,1089686,933,2023-09-16 18:24:33.787329,933,2023-09-16 18:24:33.787329
18,243,3,1452915,933,2023-09-16 18:24:33.790971,933,2023-09-16 18:24:33.790971
19,244,1582,302933,933,2023-09-16 18:26:15.550534,933,2023-09-16 18:26:15.550534
20,244,1566,302933,933,2023-09-16 18:26:15.551208,933,2023-09-16 18:26:15.551208
21,244,3,403911,933,2023-09-16 18:26:15.551942,933,2023-09-16 18:26:15.551942
22,245,3,2539352,933,2023-09-16 18:27:57.118079,933,2023-09-16 18:27:57.118079
23,245,1582,1904514,933,2023-09-16 18:27:57.118734,933,2023-09-16 18:27:57.118734
24,245,1566,1904514,933,2023-09-16 18:27:57.119253,933,2023-09-16 18:27:57.119253
25,246,1582,2024161,933,2023-09-16 18:29:38.783228,933,2023-09-16 18:29:38.783228
26,246,1566,2024161,933,2023-09-16 18:29:38.783962,933,2023-09-16 18:29:38.783962
27,246,3,2698880,933,2023-09-16 18:29:38.784561,933,2023-09-16 18:29:38.784561
28,247,1582,702949,933,2023-09-16 18:31:20.094162,933,2023-09-16 18:31:20.094162
29,247,1566,702949,933,2023-09-16 18:31:20.094875,933,2023-09-16 18:31:20.094875
30,247,3,937266,933,2023-09-16 18:31:20.096342,933,2023-09-16 18:31:20.096342
31,248,1566,500696,933,2023-09-16 18:33:01.774273,933,2023-09-16 18:33:01.774273
32,248,1583,500696,933,2023-09-16 18:33:01.774845,933,2023-09-16 18:33:01.774845
33,248,3,667594,933,2023-09-16 18:33:01.775346,933,2023-09-16 18:33:01.775346
34,249,1566,382037,933,2023-09-16 18:34:43.196059,933,2023-09-16 18:34:43.196059
35,249,1583,382037,933,2023-09-16 18:34:43.196599,933,2023-09-16 18:34:43.196599
36,249,3,509384,933,2023-09-16 18:34:43.197307,933,2023-09-16 18:34:43.197307
37,250,1583,107031,933,2023-09-16 18:36:24.616133,933,2023-09-16 18:36:24.616133
38,250,3,142707,933,2023-09-16 18:36:24.616842,933,2023-09-16 18:36:24.616842
39,250,1566,107031,933,2023-09-16 18:36:24.617538,933,2023-09-16 18:36:24.617538
40,251,1593,236759,933,2024-08-28 15:12:02.636922,933,2024-08-28 15:12:02.636922
41,252,1593,101478,933,2024-08-28 15:12:44.502173,933,2024-08-28 15:12:44.502173
42,253,1593,73260,933,2024-08-28 15:13:17.493611,933,2024-08-28 15:13:17.493611
43,254,1593,76970,933,2024-08-28 15:13:44.938575,933,2024-08-28 15:13:44.938575
44,255,1593,76970,933,2024-12-13 08:14:16.432666,933,2024-12-13 08:14:16.432666
45,256,1593,73260,933,2024-12-13 08:15:14.874178,933,2024-12-13 08:15:14.874178
46,257,1593,101478,933,2024-12-13 08:16:10.340096,933,2024-12-13 08:16:10.340096
47,258,1593,236759,933,2024-12-13 08:16:50.822319,933,2024-12-13 08:16:50.822319
