id,distribution_id,number,invoice_link,file_id,total,created_by,created_date,last_modified_by,last_modified_date,platform_id
353,36824,,,,76.64,0,2023-03-27 14:03:19.959421,0,2023-03-27 14:03:19.959421,3
364,36877,,,,726.66,0,2023-04-27 16:47:17.676215,0,2023-04-27 16:47:17.676215,4
379,36930,,,,322.96,0,2023-05-19 17:40:52.902026,0,2023-05-19 17:40:52.902026,4
386,36951,,,,76.10,0,2023-05-26 16:36:12.952988,0,2023-05-26 16:36:12.952988,3
395,36997,,,,532.70,0,2023-06-02 14:53:52.918985,0,2023-06-02 14:53:52.918985,3
403,37036,,,,1522.00,0,2023-06-16 14:50:22.962179,0,2023-06-16 14:50:22.962179,4
410,37069,,,,425.76,0,2023-07-05 17:39:15.465632,0,2023-07-05 17:39:15.465632,4
411,37067,,,,425.76,0,2023-07-05 17:39:20.429927,0,2023-07-05 17:39:20.429927,4
412,37070,,,,354.80,0,2023-07-05 17:39:25.391782,0,2023-07-05 17:39:25.391782,4
413,37068,,,,70.96,0,2023-07-05 17:39:30.353654,0,2023-07-05 17:39:30.353654,4
419,37112,,,,70.96,0,2023-07-26 17:50:10.448823,0,2023-07-26 17:50:10.448823,3
425,37152,,,,606.96,0,2023-08-24 14:30:18.28853,0,2023-08-24 14:30:18.28853,4
433,37168,,,,67.44,0,2023-09-01 10:49:53.115736,0,2023-09-01 10:49:53.115736,4
2,35289,382871,,2e79af64-1870-4b49-a47b-3ded25c270d6,970.00,1,2018-08-13 00:00:00,,,3
354,36827,,,,1992.64,0,2023-03-29 10:54:54.85934,0,2023-03-29 10:54:54.85934,3
365,36878,,,,161.48,0,2023-05-05 07:55:46.614606,0,2023-05-05 07:55:46.614606,4
380,36933,,,,152.20,0,2023-05-22 08:39:32.93631,0,2023-05-22 08:39:32.93631,3
387,36981,,,,456.60,0,2023-05-29 18:05:52.886145,0,2023-05-29 18:05:52.886145,4
388,36955,,,,380.50,0,2023-05-29 18:08:32.833912,0,2023-05-29 18:08:32.833912,4
396,37003,,,,7077.30,0,2023-06-05 16:17:33.154901,0,2023-06-05 16:17:33.154901,4
404,37045,,,,144.34,0,2023-06-22 11:26:02.920577,0,2023-06-22 11:26:02.920577,3
405,37046,,,,4041.52,0,2023-06-22 11:26:07.977123,0,2023-06-22 11:26:07.977123,3
414,37074,,,,141.92,0,2023-07-07 10:34:30.475992,0,2023-07-07 10:34:30.475992,3
420,37117,,,,2554.56,0,2023-08-03 12:23:00.430187,0,2023-08-03 12:23:00.430187,4
426,37156,,,,1348.80,0,2023-08-25 11:51:43.221584,0,2023-08-25 11:51:43.221584,4
427,37157,,,,1146.48,0,2023-08-25 11:51:53.155065,0,2023-08-25 11:51:53.155065,4
72,35712,24,,61b42683-641c-4626-8cc9-e17ffb476c44,182.49,1,2020-12-17 00:00:00,,,3
355,36830,,,,55218.81,0,2023-04-03 16:17:38.195186,0,2023-04-03 16:17:38.195186,3
366,36892,,,,1809.08,0,2023-05-05 15:46:41.412327,0,2023-05-05 15:46:41.412327,4
381,36936,,,,152.20,0,2023-05-22 15:52:32.954588,0,2023-05-22 15:52:32.954588,3
