id,child_account_id,master_account_id,created_by,created_date,last_modified_by,last_modified_date
1,1382,1379,1379,2022-11-22 14:44:02.475392,1379,2022-11-22 14:44:02.475392
2,1430,1379,1379,2023-02-02 10:09:41.057982,1379,2023-02-02 10:09:41.057982
3,1432,1379,1379,2023-02-02 10:20:41.345238,1379,2023-02-02 10:20:41.345238
4,1434,1379,1379,2023-02-02 10:22:38.97978,1379,2023-02-02 10:22:38.97978
5,1436,1379,1379,2023-02-02 10:24:34.691497,1379,2023-02-02 10:24:34.691497
6,1438,1379,1379,2023-02-02 10:42:05.177169,1379,2023-02-02 10:42:05.177169
7,1440,1379,1379,2023-02-02 10:46:10.900468,1379,2023-02-02 10:46:10.900468
8,1442,1379,1379,2023-02-02 10:47:53.57091,1379,2023-02-02 10:47:53.57091
9,1444,1379,1379,2023-02-02 10:49:29.747935,1379,2023-02-02 10:49:29.747935
10,1464,1404,1404,2023-02-15 08:30:07.034657,1404,2023-02-15 08:30:07.034657
11,1515,1512,1512,2023-03-24 14:56:47.752871,1512,2023-03-24 14:56:47.752871
12,1517,1512,1512,2023-03-24 19:06:13.513282,1512,2023-03-24 19:06:13.513282
13,1529,1527,1527,2023-03-31 11:17:26.3099,1527,2023-03-31 11:17:26.3099
15,1575,1404,1404,2023-05-04 10:02:18.637933,1404,2023-05-04 10:02:18.637933
16,1577,1404,1404,2023-05-04 10:26:21.610627,1404,2023-05-04 10:26:21.610627
17,1547,1513,933,2023-05-08 17:00:08.970085,933,2023-05-08 17:00:08.970085
18,1602,1512,1512,2023-05-15 16:49:32.908358,1512,2023-05-15 16:49:32.908358
19,1512,1606,1410,2023-05-17 17:06:09.077688,1410,2023-05-17 17:06:09.077688
20,1512,1607,1410,2023-05-17 17:06:54.024254,1410,2023-05-17 17:06:54.024254
21,1612,1512,1512,2023-05-22 13:36:54.307655,1512,2023-05-22 13:36:54.307655
22,1616,1512,1512,2023-05-25 14:01:13.072091,1512,2023-05-25 14:01:13.072091
23,1626,1513,1513,2023-05-30 10:52:40.667605,1513,2023-05-30 10:52:40.667605
24,1630,1513,1513,2023-05-30 15:55:19.537974,1513,2023-05-30 15:55:19.537974
