id,name,position,created_by,created_date,last_modified_by,last_modified_date,next,order_book_queue_id
11,Grupo Cliente,5,0,2021-12-03 12:01:37.177935,0,2021-12-03 12:01:37.177935,f,3
13,Grupo IMEI,1,0,2021-12-29 18:23:35.444257,0,2021-12-29 18:23:35.444257,f,4
34,Grupo IMEI,1,0,2022-04-11 13:37:21.455991,0,2022-04-11 13:37:21.455991,f,11
44,Grupo Cliente,5,0,2022-05-02 15:13:52.9154,0,2022-05-02 15:13:52.9154,f,13
7,Grupo Produtor,1,0,2021-12-03 12:01:33.805641,0,2021-12-03 12:01:33.805641,f,3
8,Grupo Associação,2,0,2021-12-03 12:01:36.252539,0,2021-12-03 12:01:36.252539,f,3
45,Grupo Produtor,1,0,2022-05-04 14:23:40.201079,0,2022-05-04 14:23:40.201079,f,14
46,Grupo Associação,2,0,2022-05-04 14:23:40.208074,0,2022-05-04 14:23:40.208074,f,14
47,Grupo IMEI,3,0,2022-05-04 14:23:40.228565,0,2022-05-04 14:23:40.228565,f,14
48,Grupo Parceiro,4,0,2022-05-04 14:23:40.236668,0,2022-05-04 14:23:40.236668,f,14
50,Grupo Produtor,1,0,2022-05-04 15:09:58.980912,0,2022-05-04 15:09:58.980912,f,15
9,Grupo IMEI,3,0,2021-12-03 12:01:36.309128,0,2021-12-03 12:01:36.309128,f,3
10,Grupo Parceiro,4,0,2021-12-03 12:01:36.331629,0,2021-12-03 12:01:36.331629,f,3
20,IMEI,1,1,2022-01-24 14:56:22.545833,1,2022-01-24 14:56:22.545833,f,5
15,Grupo Produtor,1,0,2022-01-24 14:33:34.734408,0,2022-01-24 14:33:34.734408,f,6
12,Edward,6,851,2021-12-03 15:24:09.062372,851,2021-12-03 15:24:09.062372,f,3
16,Grupo Associação,2,0,2022-01-24 14:33:36.202187,0,2022-01-24 14:33:36.202187,f,6
17,Grupo IMEI,3,0,2022-01-24 14:33:36.248998,0,2022-01-24 14:33:36.248998,f,6
18,Grupo Parceiro,4,0,2022-01-24 14:33:36.268133,0,2022-01-24 14:33:36.268133,f,6
19,Grupo Cliente,5,0,2022-01-24 14:33:36.897075,0,2022-01-24 14:33:36.897075,f,6
