id,profile_id,ucs_amount,position,order_book_group_id,created_by,created_date,last_modified_by,last_modified_date,next
4133,120,0,1,253,0,2023-04-27 16:46:07.270456,0,2023-04-27 16:46:07.270456,f
4134,404,0,1,254,0,2023-04-27 16:46:07.278224,0,2023-04-27 16:46:07.278224,f
4135,406,0,2,254,0,2023-04-27 16:46:07.282598,0,2023-04-27 16:46:07.282598,f
4136,3,0,1,255,0,2023-04-27 16:46:07.290379,0,2023-04-27 16:46:07.290379,f
4137,446,0,1,256,0,2023-04-27 16:46:07.297039,0,2023-04-27 16:46:07.297039,f
4138,1303,0,2,256,0,2023-04-27 16:46:07.301033,0,2023-04-27 16:46:07.301033,f
4139,6,0,1,257,0,2023-04-27 16:46:07.308687,0,2023-04-27 16:46:07.308687,f
4805,370,0,1,370,0,2023-08-31 12:02:24.078013,0,2023-08-31 12:02:24.078013,f
4806,402,0,1,371,0,2023-08-31 12:02:24.086031,0,2023-08-31 12:02:24.086031,f
4807,3,0,1,372,0,2023-08-31 12:02:24.091854,0,2023-08-31 12:02:24.091854,f
4808,1691,0,1,373,0,2023-08-31 12:02:24.09671,0,2023-08-31 12:02:24.09671,f
4809,6,0,1,374,0,2023-08-31 12:02:24.102769,0,2023-08-31 12:02:24.102769,f
393,64,0,24,7,0,2021-12-03 12:01:34.119762,0,2021-12-03 12:01:34.119762,f
4140,82,0,1,258,0,2023-04-28 11:37:44.21829,0,2023-04-28 11:37:44.21829,f
4142,400,0,1,259,0,2023-04-28 11:37:44.229216,0,2023-04-28 11:37:44.229216,f
4141,96,0,2,258,0,2023-04-28 11:37:44.222588,0,2023-04-28 11:37:44.222588,f
4143,3,0,1,260,0,2023-04-28 11:37:44.2356,0,2023-04-28 11:37:44.2356,f
4144,1397,0,1,261,0,2023-04-28 11:37:44.242406,0,2023-04-28 11:37:44.242406,f
4145,6,0,1,262,0,2023-04-28 11:37:44.249256,0,2023-04-28 11:37:44.249256,f
4810,80,0,1,375,0,2023-09-01 10:41:02.665442,0,2023-09-01 10:41:02.665442,f
4442,6,0,1,313,0,2023-06-12 16:53:04.692529,0,2023-06-12 16:53:04.692529,f
4443,271,0,2,313,0,2023-06-12 16:53:04.698863,0,2023-06-12 16:53:04.698863,f
4444,534,0,3,313,0,2023-06-12 16:53:04.704683,0,2023-06-12 16:53:04.704683,f
4445,548,0,4,313,0,2023-06-12 16:53:04.710587,0,2023-06-12 16:53:04.710587,f
4446,580,0,5,313,0,2023-06-12 16:53:04.716402,0,2023-06-12 16:53:04.716402,f
4435,1177,0,22,312,0,2023-06-12 16:53:04.63897,0,2023-06-12 16:53:04.63897,f
4436,1397,0,23,312,0,2023-06-12 16:53:04.645362,0,2023-06-12 16:53:04.645362,f
4437,1208,0,24,312,0,2023-06-12 16:53:04.651558,0,2023-06-12 16:53:04.651558,f
4438,1210,0,25,312,0,2023-06-12 16:53:04.659468,0,2023-06-12 16:53:04.659468,f
4447,582,0,6,313,0,2023-06-12 16:53:04.722493,0,2023-06-12 16:53:04.722493,f
4448,583,0,7,313,0,2023-06-12 16:53:04.728196,0,2023-06-12 16:53:04.728196,f
4449,589,0,8,313,0,2023-06-12 16:53:04.733999,0,2023-06-12 16:53:04.733999,f
