id,ucs_transfer_amount,issuer_id,recipient_id,distribution_id,ownership_transfer_type_id,status,retired,negotiated_total,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,nxt_id,year,origin_platform_id,recipient_platform_id
182,1030242,3,1525,,11,DENIED,f,,918,2023-03-31 09:09:53.282638,918,2023-03-31 14:11:21.017473,dados incorretos,INCORRECT_DATA,,2010,2,
194,16667,3,919,36835,2,PROCESSED,f,,918,2023-04-05 11:56:54.340327,905,2023-04-10 15:17:54.326154,,,,2010,2,
202,300,3,1501,36901,16,PROCESSED,f,,918,2023-05-05 15:19:01.198513,0,2023-05-09 15:36:14.063022,,,,2010,2,
215,1500,3,1181,37026,9,PROCESSED,f,,933,2023-06-12 09:53:50.222841,1410,2023-06-15 11:23:23.849442,,,,,4,
223,12334,3,937,37084,10,PROCESSED,f,,918,2023-07-06 09:09:36.066606,918,2023-07-10 14:19:20.424743,,,,2010,2,
224,320833,3,1109,37083,7,PROCESSED,f,,918,2023-07-06 09:10:15.80337,918,2023-07-10 14:19:20.424577,,,,2010,2,
228,10,3,1487,37082,14,PROCESSED,f,,918,2023-07-06 09:25:09.802537,918,2023-07-10 14:19:20.424435,,,,2010,2,
233,1500,3,1398,37085,12,PROCESSED,f,,918,2023-07-06 09:27:55.324025,918,2023-07-10 14:19:20.392298,,,,,4,
245,12334,3,937,37123,10,PROCESSED,f,,918,2023-08-09 10:07:26.038314,918,2023-08-10 13:33:53.049272,,,,2010,2,
243,16667,3,922,37125,1,PROCESSED,f,,918,2023-08-09 10:05:29.145598,918,2023-08-10 13:34:03.911925,,,,2010,2,
242,16667,3,919,37126,17,PROCESSED,f,,918,2023-08-09 10:04:58.05174,918,2023-08-10 13:34:09.304437,,,,2010,2,
241,300,3,1501,37127,16,PROCESSED,f,,918,2023-08-09 10:04:19.731975,918,2023-08-10 13:34:14.575303,,,,2010,2,
1,30000,3,834,35925,3,PROCESSED,f,0.00,1,2021-05-18 00:00:00,,,,,,2010,2,
2,250,3,835,35926,3,PROCESSED,f,0.00,1,2021-05-18 00:00:00,,,,,,2010,2,
3,100000,3,836,35927,3,PROCESSED,f,0.00,1,2021-05-18 00:00:00,,,,,,2010,2,
183,1026827,3,1525,36828,11,PROCESSED,f,,918,2023-03-31 14:11:56.887013,918,2023-04-03 09:31:22.904023,,,,2010,2,
195,12334,3,937,36840,10,PROCESSED,f,,918,2023-04-05 11:57:36.872066,905,2023-04-10 15:17:54.405226,,,,2010,2,
246,300,3,1691,37122,19,PROCESSED,f,,918,2023-08-09 10:08:08.597216,918,2023-08-10 13:33:46.882293,,,,2010,2,
234,100,3,1691,37134,19,PROCESSED,f,,918,2023-08-08 17:58:35.556462,918,2023-08-10 13:35:34.738557,,,,2010,2,
