id,name,description,category
1,adm:dashboard:list,"Permite acesso ao dashboard da página inicial, que apresenta os principais indices das plataformas",ADM - Dashboard
2,adm:akses-purchase-order:list,Permite acesso a listagem dos pedidos de compra da Plataforma Akses,ADM - Gestão de pedidos de compra
3,adm:akses-purchase-order:details,Permite visualizar os detalhes dos pedidos de compra da Plataforma Akses,ADM - Gestão de pedidos de compra
4,adm:akses-purchase-order:evaluate,"Permite avaliar os pedidos de compra da Plataforma Akses, podendo aprovar, recusar, aprovar pagamento, aprovar pré processamento, reprocessar, restaurar  e arquivar os mesmos.",ADM - Gestão de pedidos de compra
5,adm:akses-purchase-order:download-negotiation-invoices,Permite fazer download das notas de negociação de pedidos de compra na Plataforma Akses,ADM - Gestão de pedidos de compra
6,adm:akses-transfer-order:list,Permite acesso a listagem dos pedidos de transferência da Plataforma Akses,ADM - Gestão de pedidos de transferência
7,adm:akses-transfer-order:details,Permite visualizar os detalhes dos pedidos de transferência da Plataforma Akses,ADM - Gestão de pedidos de transferência
8,adm:akses-transfer-order:evaluate,"Permite avaliar os pedidos de transferência da Plataforma Akses, podendo aprovar, recusar, aprovar pagamento, aprovar pré processamento, reprocessar, restaurar  e arquivar os mesmos.",ADM - Gestão de pedidos de transferência
9,adm:akses-sale-order:list,Permite acesso a listagem dos pedidos de venda da Plataforma Akses,ADM - Gestão de pedidos de venda
10,adm:akses-sale-order:details,Permite visualizar os detalhes dos pedidos de venda da Plataforma Akses,ADM - Gestão de pedidos de venda
11,adm:akses-sale-order:evaluate,"Permite avaliar os pedidos de venda da Plataforma Akses, podendo aprovar, recusar, aprovar pagamento, aprovar pré processamento, reprocessar, restaurar  e arquivar os mesmos.",ADM - Gestão de pedidos de venda
12,adm:akses-client-certificate-order:list,Permite acesso a listagem dos pedidos de selos para clientes da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do cliente
13,adm:akses-client-certificate-order:details,Permite visualizar os detalhes dos pedidos de selos para clientes da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do cliente
14,adm:akses-client-certificate-order:evaluate,"Permite avaliar os pedidos de selo da Plataforma Akses, podendo aprovar, recusar, aprovar pagamento, aprovar pré processamento, reprocessar, restaurar  e arquivar os mesmos.",ADM Akses- Gestão de pedidos de selo do cliente
15,adm:akses-client-certificate-order:send-nxt,Permite enviar ao NXT os pedidos de selos aposentados do cliente da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do cliente
16,adm:akses-client-certificate-order:view-certificate,Permite visualizar os certificados gerados pelo cliente na Plataforma Akses,ADM Akses- Gestão de pedidos de selo do cliente
17,adm:akses-client-certificate-order:download-negotiation-invoices,Permite fazer download das notas de negociação de pedidos de selo do cliente na Plataforma Akses,ADM Akses- Gestão de pedidos de selo do cliente
18,adm:akses-financial-dist-order:list,Permite acesso a listagem dos pedidos de selos para distribuidoras financeiras da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Financeiro
19,adm:akses-financial-dist-order:details,Permite visualizar os detalhes dos pedidos de selos para distribuidoras financeiras da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Financeiro
20,adm:akses-financial-dist-order:evaluate,"Permite avaliar os pedidos de selo do Distribuidor Financeiro da Plataforma Akses, podendo aprovar, recusar, aprovar pagamento, aprovar pré processamento, reprocessar, restaurar  e arquivar os mesmos.",ADM Akses- Gestão de pedidos de selo do Distribuidor Financeiro
21,adm:akses-financial-dist-order:send-nxt,Permite enviar ao NXT os pedidos de selos aposentados do distribuidor financeiro da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Financeiro
22,adm:akses-financial-dist-order:view-certificate,Permite visualizar os certificados gerados pelo distribuidor financeiro na Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Financeiro
23,adm:akses-financial-dist-order:download-negotiation-invoices,Permite fazer download das notas de negociação de pedidos distribuidor financeiro na Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Financeiro
24,adm:akses-general-dist-order:list,Permite acesso a listagem dos pedidos de selos para distribuidor geral da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Geral
25,adm:akses-general-dist-order:details,Permite visualizar os detalhes dos pedidos de selos para distribuidor geral da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Geral
26,adm:akses-general-dist-order:evaluate,"Permite avaliar os pedidos de selo do Distribuidor Geral da Plataforma Akses, podendo aprovar, recusar, aprovar pagamento, aprovar pré processamento, reprocessar, restaurar  e arquivar os mesmos.",ADM Akses- Gestão de pedidos de selo do Distribuidor Geral
27,adm:akses-general-dist-order:send-nxt,Permite enviar ao NXT os pedidos de selos aposentados do distribuidor geral da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Geral
28,adm:akses-general-dist-order:view-certificate,Permite visualizar os certificados gerados pelo distribuidor geral na Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Geral
29,adm:akses-general-dist-order:download-negotiation-invoices,Permite fazer download das notas de negociação de pedidos distribuidor geral na Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Geral
30,adm:akses-credentialed-dist-order:list,Permite acesso a listagem dos pedidos de selos para distribuidor credenciado da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Credenciado
31,adm:akses-credentialed-dist-order:details,Permite visualizar os detalhes dos pedidos de selos para distribuidor credenciado da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Credenciado
32,adm:akses-credentialed-dist-order:evaluate,"Permite avaliar os pedidos de selo do Distribuidor Geral da Plataforma Akses, podendo aprovar, recusar, aprovar pagamento, aprovar pré processamento, reprocessar, restaurar  e arquivar os mesmos.",ADM Akses- Gestão de pedidos de selo do Distribuidor Credenciado
33,adm:akses-credentialed-dist-order:edit-queue,Permite alterar a fila de pre-processamento dos pedidos de selos do distribuidor credenciado da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Credenciado
220,adm:financial-cost-center:delete,Permite remover uma conta do centro de custo.,ADM - Gestão Financeira
34,adm:akses-credentialed-dist-order:send-nxt,Permite enviar ao NXT os pedidos de selos aposentados do distribuidor credenciado da Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Credenciado
35,adm:akses-credentialed-dist-order:view-certificate,Permite visualizar os certificados gerados pelo distribuidor credenciado na Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Credenciado
36,adm:akses-credentialed-dist-order:download-negotiation-invoices,Permite fazer download das notas de negociação de pedidos distribuidor credenciado na Plataforma Akses,ADM Akses- Gestão de pedidos de selo do Distribuidor Credenciado
