id,permission_id,dependency_id
1,3,2
2,4,2
3,5,2
4,7,6
5,8,6
6,10,9
7,11,9
8,13,12
9,14,12
10,15,12
11,16,12
12,17,12
13,19,18
14,20,18
15,21,18
16,22,18
17,23,18
18,25,24
19,26,24
20,27,24
21,28,24
22,29,24
23,31,30
24,32,30
25,33,30
26,34,30
27,35,30
28,36,30
29,38,37
30,39,37
31,40,37
32,40,39
33,41,37
34,42,37
35,44,43
36,45,43
37,46,43
38,46,45
39,47,43
40,49,48
41,50,48
42,51,48
43,51,50
44,52,48
45,54,53
46,55,53
47,56,53
48,57,53
49,58,53
50,59,53
51,60,53
52,61,53
53,63,62
54,64,62
55,65,62
56,65,64
57,66,62
58,69,68
59,70,68
60,71,68
61,72,68
62,73,68
63,75,74
64,77,76
65,79,78
66,81,80
67,83,82
68,84,82
69,85,82
70,86,82
71,87,82
72,89,88
73,90,88
74,92,91
75,93,91
76,94,91
77,96,95
78,97,95
79,98,95
80,100,99
81,101,99
82,102,99
83,102,100
84,103,99
85,104,99
86,106,105
87,108,107
88,110,109
89,112,111
90,113,111
91,114,111
92,115,111
93,117,116
94,119,118
95,120,118
96,121,118
97,123,122
98,125,124
99,126,124
100,127,124
101,128,124
102,128,125
103,129,124
104,131,130
105,132,130
106,134,133
107,135,133
108,137,136
109,138,136
110,140,139
111,141,139
112,142,139
113,143,139
114,144,139
115,149,148
116,151,150
117,153,152
118,155,154
119,156,154
120,157,154
121,158,154
122,160,159
123,162,161
124,163,161
125,164,161
126,179,178
127,181,180
128,183,182
129,188,187
130,189,187
131,189,188
132,191,190
133,192,190
134,193,190
135,195,124
136,197,196
137,198,196
138,199,196
139,200,196
140,201,196
141,202,201
142,203,201
143,204,201
144,205,201
145,206,201
146,208,207
147,209,207
148,210,207
149,212,211
150,213,211
151,214,211
152,214,212
153,215,211
154,217,216
155,218,216
156,219,216
157,219,217
158,220,216
159,222,221
160,223,221
161,224,221
162,224,222
163,225,221
164,227,226
165,228,226
166,229,226
167,229,227
168,230,226
169,231,226
170,233,232
171,234,232
172,235,232
173,235,233
174,236,232
175,237,232
176,239,238
177,240,238
178,241,238
179,241,239
180,242,238
181,244,243
182,245,243
183,247,246
184,248,246
185,249,246
186,249,248
187,250,246
188,252,251
189,253,251
190,254,251
191,254,253
192,255,251
193,256,251
194,256,253
195,257,256
196,258,256
197,259,256
198,261,260
199,263,262
200,264,262
201,265,262
202,265,264
203,266,262
204,267,262
205,268,267
206,269,262
207,271,270
208,272,270
209,274,273
210,275,273
211,276,273
212,278,277
213,279,277
214,280,277
215,280,278
216,281,277
217,283,282
218,285,284
219,286,284
220,287,284
221,288,284
222,289,284
223,290,284
224,292,196
225,293,196
226,297,296
227,298,296
228,299,296
229,300,251
230,302,301
231,303,301
232,304,301
233,305,301
234,306,301
235,308,307
236,309,307
237,310,307
238,311,2
239,312,6
240,313,9
241,314,12
242,315,18
243,316,24
244,317,30
245,318,284
246,319,53
247,320,2
248,321,6
249,322,9
250,323,12
251,324,18
252,325,24
253,326,30
254,327,284
255,328,53
256,330,329
257,331,329
258,332,329
259,334,333
260,335,333
261,336,333
262,337,333
263,338,333
264,339,333
265,340,333
266,342,341
267,343,341
268,344,341
269,345,341
270,346,284
271,348,347
272,349,347
273,350,347
274,351,347
275,353,352
276,354,352
277,355,352
278,356,352
279,357,352
280,358,352
281,360,359
282,361,359
283,363,362
284,364,362
285,365,53
286,367,366
287,368,284
288,369,359
289,370,362
290,371,196
291,373,372
292,374,372
293,376,375
294,377,375
295,379,378
296,381,380
297,383,382
298,384,382
299,385,382
300,386,382
301,388,387
302,389,387
303,390,387
304,391,387
305,393,392
306,394,392
307,396,395
308,397,395
309,398,395
310,399,395
311,401,400
312,403,402
