id,area_id,platform_id,harvest_year,ucs_amount,role_user_id,cpr_id,harvest_id,created_by,created_date,last_modified_by,last_modified_date
1,178,2,2010,8400000,3,1,177,918,2023-05-11 12:06:58.280284,918,2023-05-11 12:06:58.280284
2,219,2,2010,200000,3,1,218,918,2023-05-11 12:06:58.281404,918,2023-05-11 12:06:58.281404
5,235,2,2020,1000000,3,1,234,918,2023-05-11 12:06:58.284045,918,2023-05-11 12:06:58.284045
4,229,2,2010,200000,3,1,228,918,2023-05-11 12:06:58.283139,918,2023-05-11 12:06:58.283139
3,221,2,2010,200000,3,1,220,918,2023-05-11 12:06:58.282398,918,2023-05-11 12:06:58.282398
6,7,2,2010,375000,3,2,7,918,2023-05-15 10:10:58.052425,918,2023-05-15 10:10:58.052425
7,6,2,2010,20000,3,3,6,918,2023-05-22 08:53:54.579248,918,2023-05-22 08:53:54.579248
8,7,2,2010,18602,3,3,7,918,2023-05-22 08:53:54.579972,918,2023-05-22 08:53:54.579972
10,6,2,2010,250000,3,4,6,918,2023-05-22 15:52:26.422256,918,2023-05-22 15:52:26.422256
9,178,2,2010,250000,3,4,177,918,2023-05-22 15:52:26.42159,918,2023-05-22 15:52:26.42159
11,75,2,2010,250000,3,4,74,918,2023-05-22 15:52:26.427902,918,2023-05-22 15:52:26.427902
12,203,2,2010,150000,3,5,202,918,2023-05-22 16:06:01.517388,918,2023-05-22 16:06:01.517388
15,235,2,2020,300000,3,5,234,918,2023-05-22 16:06:01.519044,918,2023-05-22 16:06:01.519044
13,206,2,2010,150000,3,5,205,918,2023-05-22 16:06:01.518001,918,2023-05-22 16:06:01.518001
14,221,2,2010,150000,3,5,220,918,2023-05-22 16:06:01.518631,918,2023-05-22 16:06:01.518631
16,7,2,2010,125000,3,6,7,918,2023-05-22 16:21:20.533555,918,2023-05-22 16:22:16.410227
18,238,4,2022,1500,1623,7,235,918,2023-07-20 11:20:53.434334,918,2023-07-20 11:23:41.120834
17,237,4,2022,1500,1623,7,236,918,2023-07-20 11:20:53.431429,918,2023-07-20 11:23:41.12102
19,239,4,2022,1581,1623,7,237,918,2023-07-20 11:20:53.437837,918,2023-07-20 11:23:41.120594
20,7,2,2010,10000,3,8,,918,2024-01-24 15:21:23.574011,918,2024-01-24 15:21:23.574011
21,6,2,2010,16160,3,8,,918,2024-01-24 15:21:23.575482,918,2024-01-24 15:21:23.575482
22,7,2,2010,20000,3,9,,918,2024-01-24 15:24:52.469489,918,2024-01-24 15:24:52.469489
23,6,2,2010,20300,3,9,,918,2024-01-24 15:24:52.470068,918,2024-01-24 15:24:52.470068
27,22,2,2010,4000,3,10,22,918,2024-02-05 17:08:42.293682,918,2024-02-05 17:08:42.293682
26,23,2,2010,2360,3,10,23,918,2024-02-05 17:08:42.293098,918,2024-02-05 17:08:42.293098
24,1,2,2010,1000,3,10,1,918,2024-02-05 17:08:42.291466,918,2024-02-05 17:08:42.291466
25,7,2,2010,3000,3,10,7,918,2024-02-05 17:08:42.292322,918,2024-02-05 17:08:42.292322
28,8,2,2010,24661,3,11,8,918,2024-08-21 15:23:37.099742,918,2024-08-21 15:23:37.099742
29,5,2,2010,24661,3,12,5,918,2024-08-21 15:36:46.422206,918,2024-08-21 15:36:46.422206
30,19,2,2010,24661,3,13,19,918,2024-08-21 15:40:52.565608,918,2024-08-21 15:40:52.565608
31,39,2,2010,275643,3,14,39,918,2024-08-22 10:23:07.971161,918,2024-08-22 10:23:07.971161
36,237,1,2022,1000000,3,15,236,918,2024-08-22 11:46:02.063228,918,2024-08-22 11:46:02.063228
34,248,1,2022,1000000,3,15,246,918,2024-08-22 11:46:02.062022,918,2024-08-22 11:46:02.062022
39,203,2,2010,1000000,3,15,202,918,2024-08-22 11:46:02.06589,918,2024-08-22 11:46:02.06589
38,194,2,2010,829321,3,15,193,918,2024-08-22 11:46:02.065386,918,2024-08-22 11:46:02.065386
33,247,1,2022,1000000,3,15,245,918,2024-08-22 11:46:02.061481,918,2024-08-22 11:46:02.061481
35,192,2,2010,1000000,3,15,191,918,2024-08-22 11:46:02.062603,918,2024-08-22 11:46:02.062603
32,239,1,2022,1000000,3,15,237,918,2024-08-22 11:46:02.06037,918,2024-08-22 11:46:02.06037
37,195,2,2010,1000000,3,15,194,918,2024-08-22 11:46:02.064692,918,2024-08-22 11:46:02.064692
40,22,2,2010,488467,3,16,22,918,2024-08-23 09:43:31.71157,918,2024-08-23 09:43:31.71157
41,21,2,2010,73987,3,17,21,918,2024-08-23 09:50:32.512204,918,2024-08-23 09:50:32.512204
42,2,2,2010,197342,3,18,2,918,2024-09-17 16:48:23.917907,918,2024-09-17 16:48:23.917907
43,22,2,2010,36820,3,19,22,890,2025-03-20 11:16:14.7054,890,2025-03-20 11:16:14.7054
44,10,2,2010,16184,3,20,10,890,2025-05-20 15:52:31.86538,890,2025-05-20 15:52:31.86538
45,38,2,2010,9371,3,21,38,890,2025-05-20 16:05:27.254945,890,2025-05-20 16:05:27.254945
