id,platform_workflow_configuration_id,recipient_platform_id,status,created_by,created_date,last_modified_by,last_modified_date
2,2,4,ACTIVE,933,2023-09-04 10:43:06.38311,933,2023-09-04 10:43:06.38311
3,2,3,ACTIVE,933,2023-09-04 10:43:09.047106,933,2023-09-04 10:43:09.047106
4,2,7,ACTIVE,933,2023-09-04 10:43:19.594214,933,2023-09-04 10:43:19.594214
5,7,4,ACTIVE,933,2023-09-04 10:46:09.217496,933,2023-09-04 10:46:09.217496
6,8,4,ACTIVE,933,2023-09-04 10:46:38.596785,933,2023-09-04 10:46:38.596785
7,9,3,ACTIVE,933,2023-09-04 10:46:47.370724,933,2023-09-04 10:46:47.370724
8,10,3,DELETED,933,2023-09-04 10:46:53.171212,933,2023-09-04 10:46:53.171212
11,12,4,ACTIVE,933,2023-09-04 10:48:46.13472,933,2023-09-04 10:48:46.13472
12,13,3,ACTIVE,933,2023-09-04 10:49:35.499928,933,2023-09-04 10:49:35.499928
13,14,3,ACTIVE,933,2023-09-04 10:49:42.114685,933,2023-09-04 10:49:42.114685
14,15,4,ACTIVE,933,2023-09-04 10:49:54.1479,933,2023-09-04 10:49:54.1479
15,16,3,ACTIVE,933,2023-09-04 10:50:03.591849,933,2023-09-04 10:50:03.591849
16,17,4,ACTIVE,933,2023-09-04 10:50:17.491394,933,2023-09-04 10:50:17.491394
17,17,3,ACTIVE,933,2023-09-04 10:50:31.986549,933,2023-09-04 10:50:31.986549
18,17,2,ACTIVE,933,2023-09-04 10:58:29.423355,933,2023-09-04 10:58:29.423355
19,20,2,ACTIVE,933,2023-09-04 10:58:41.190544,933,2023-09-04 10:58:41.190544
20,20,4,ACTIVE,933,2023-09-04 10:58:45.533851,933,2023-09-04 10:58:45.533851
21,20,3,ACTIVE,933,2023-09-04 10:58:49.536556,933,2023-09-04 10:58:49.536556
22,21,2,ACTIVE,933,2023-09-04 10:58:53.331331,933,2023-09-04 10:58:53.331331
23,21,4,ACTIVE,933,2023-09-04 10:58:58.692746,933,2023-09-04 10:58:58.692746
24,21,3,ACTIVE,933,2023-09-04 10:59:01.178903,933,2023-09-04 10:59:01.178903
25,22,4,ACTIVE,933,2023-09-04 10:59:24.616593,933,2023-09-04 10:59:24.616593
26,29,5,ACTIVE,933,2023-09-04 10:59:57.643305,933,2023-09-04 10:59:57.643305
27,28,5,ACTIVE,933,2023-09-04 10:59:59.585462,933,2023-09-04 10:59:59.585462
28,27,5,ACTIVE,933,2023-09-04 11:00:01.42979,933,2023-09-04 11:00:01.42979
29,26,5,ACTIVE,933,2023-09-04 11:00:03.313882,933,2023-09-04 11:00:03.313882
32,23,3,DELETED,933,2023-09-04 11:00:27.161046,933,2023-09-04 11:00:27.161046
31,24,3,DELETED,933,2023-09-04 11:00:25.16131,933,2023-09-04 11:00:25.16131
30,25,3,DELETED,933,2023-09-04 11:00:20.951941,933,2023-09-04 11:00:20.951941
33,25,5,ACTIVE,933,2023-09-04 11:00:37.274925,933,2023-09-04 11:00:37.274925
34,24,5,ACTIVE,933,2023-09-04 11:00:39.235556,933,2023-09-04 11:00:39.235556
35,23,5,ACTIVE,933,2023-09-04 11:00:41.324073,933,2023-09-04 11:00:41.324073
36,30,3,ACTIVE,933,2023-09-06 15:28:40.719687,933,2023-09-06 15:28:40.719687
37,31,2,ACTIVE,933,2023-09-11 08:58:17.875021,933,2023-09-11 08:58:17.875021
38,31,4,ACTIVE,933,2023-09-11 08:58:22.020555,933,2023-09-11 08:58:22.020555
39,22,2,ACTIVE,933,2023-09-11 08:58:45.933797,933,2023-09-11 08:58:45.933797
41,32,8,DELETED,933,2023-09-16 17:59:25.694849,933,2023-09-16 17:59:25.694849
42,32,2,ACTIVE,933,2023-09-16 17:59:38.511443,933,2023-09-16 17:59:38.511443
43,33,1,ACTIVE,933,2023-09-16 18:00:07.105315,933,2023-09-16 18:00:07.105315
44,34,4,ACTIVE,933,2023-09-19 09:14:47.181556,933,2023-09-19 09:14:47.181556
40,1,8,DELETED,933,2023-09-16 17:59:10.445617,933,2023-09-16 17:59:10.445617
46,35,7,DELETED,933,2023-11-09 10:56:28.21528,933,2023-11-09 10:56:28.21528
47,21,7,ACTIVE,933,2023-11-09 10:57:33.384584,933,2023-11-09 10:57:33.384584
49,37,3,ACTIVE,933,2023-11-09 11:17:54.097247,933,2023-11-09 11:17:54.097247
9,10,7,DELETED,933,2023-09-04 10:47:07.450554,933,2023-09-04 10:47:07.450554
10,11,7,DELETED,933,2023-09-04 10:48:32.345378,933,2023-09-04 10:48:32.345378
48,37,7,DELETED,933,2023-11-09 11:17:51.445806,933,2023-11-09 11:17:51.445806
50,28,4,ACTIVE,918,2024-01-24 15:19:30.860827,918,2024-01-24 15:19:30.860827
51,23,8,ACTIVE,933,2024-02-05 17:04:18.361572,933,2024-02-05 17:04:18.361572
52,23,4,ACTIVE,933,2024-02-05 17:04:20.675964,933,2024-02-05 17:04:20.675964
53,28,8,ACTIVE,933,2024-02-05 17:04:28.907763,933,2024-02-05 17:04:28.907763
54,28,7,ACTIVE,933,2024-02-05 17:04:31.192364,933,2024-02-05 17:04:31.192364
55,28,3,ACTIVE,933,2024-02-05 17:04:33.323423,933,2024-02-05 17:04:33.323423
56,28,6,ACTIVE,933,2024-02-05 17:04:35.408146,933,2024-02-05 17:04:35.408146
57,28,1,ACTIVE,933,2024-02-05 17:04:38.349494,933,2024-02-05 17:04:38.349494
58,28,2,ACTIVE,933,2024-02-05 17:04:40.63109,933,2024-02-05 17:04:40.63109
59,38,3,ACTIVE,933,2024-02-05 17:04:50.292813,933,2024-02-05 17:04:50.292813
60,38,5,ACTIVE,933,2024-02-05 17:06:53.250069,933,2024-02-05 17:06:53.250069
61,39,4,ACTIVE,933,2024-02-27 09:11:06.3556,933,2024-02-27 09:11:06.3556
62,40,4,ACTIVE,933,2024-04-04 17:58:58.06802,933,2024-04-04 17:58:58.06802
63,34,8,ACTIVE,859,2024-05-15 11:30:59.53291,859,2024-05-15 11:30:59.53291
64,41,2,DELETED,933,2024-06-19 19:05:16.562758,933,2024-06-19 19:05:16.562758
65,41,3,ACTIVE,933,2024-06-19 19:05:24.198111,933,2024-06-19 19:05:24.198111
67,42,3,ACTIVE,933,2024-07-04 16:29:43.974841,933,2024-07-04 16:29:43.974841
66,12,3,DELETED,933,2024-07-04 16:29:31.708832,933,2024-07-04 16:29:31.708832
