id,code,name,uf
1,12,Acre,AC
2,27,Alagoas,AL
3,16,Amapá,AP
4,13,Amazonas,AM
5,29,Bahia,BA
6,23,Ceará,CE
7,53,Distrito Federal,DF
8,52,Goiás,GO
9,32,Espírito Santo,ES
10,21,Maranhão,MA
11,51,Mato Grosso,MT
12,50,Mato Grosso do Sul,MS
13,31,Minas Gerais,MG
14,15,Pará,PA
15,25,Paraíba,PB
16,41,Paraná,PR
17,26,Pernambuco,PE
18,22,Piauí,PI
19,33,Rio de Janeiro,RJ
20,24,Rio Grande do Norte,RN
21,43,Rio Grande do Sul,RS
22,11,Rondônia,RO
23,14,Roraima,RR
24,35,São Paulo,SP
25,42,Santa Catarina,SC
26,28,Sergipe,SE
27,17,Tocantins,TO
