id,initial_amount,available_balance,updated_on,harvest_year,user_id,harvest_id,distribution_id,transaction_id,origin_id,retired,blocked_ucs_id,platform_id
60604,4,0,2023-05-29 17:47:39.177479,2022,1623,235,36957,51301,60601,f,,2
60606,1,0,2023-05-29 17:47:39.192246,2022,1623,235,36959,51303,60605,t,,4
60605,4,0,2023-05-29 17:47:39.205932,2022,1623,235,36958,51302,60604,f,,4
60611,4,0,2023-05-29 17:48:14.624372,2022,1623,235,36962,51308,60601,f,,2
60613,1,0,2023-05-29 17:48:14.639031,2022,1623,235,36964,51310,60612,t,,4
60612,4,0,2023-05-29 17:48:14.653177,2022,1623,235,36963,51309,60611,f,,4
60618,4,0,2023-05-29 17:48:43.340882,2022,1623,235,36967,51315,60601,f,,2
60620,1,0,2023-05-29 17:48:43.35354,2022,1623,235,36969,51317,60619,t,,4
60619,4,0,2023-05-29 17:48:43.368299,2022,1623,235,36968,51316,60618,f,,4
60624,3790700,0,2023-05-29 17:52:28.444375,2022,1623,235,36973,51321,60601,f,,2
60625,3790697,0,2023-05-29 17:52:46.187062,2022,1495,235,36974,51322,60602,f,,2
60626,3790700,0,2023-05-29 17:54:42.811763,2022,1623,235,36975,51323,60624,f,,4
60627,3790697,0,2023-05-29 17:54:47.807308,2022,1495,235,36976,51324,60625,f,,4
60603,10008568,0,2023-05-29 17:55:41.94384,2022,3,235,36956,51300,,f,,1
64403,702949,702949,2024-04-04 18:25:00.588012,2022,1087,247,37579,54093,64396,f,,4
62501,8839403,0,2023-09-16 18:38:56.835731,2022,3,236,37247,52970,60610,f,,8
60602,10008568,0,2023-06-22 10:51:24.345453,2022,1495,235,36956,51299,,f,,1
61410,1,1,2023-07-07 11:55:10.357348,2022,1283,236,37076,51998,61403,f,,4
60609,13993635,0,2023-06-22 10:51:24.345457,2022,1495,236,36961,51306,,f,,1
60616,13904791,0,2023-06-22 10:51:24.345459,2022,1495,237,36966,51313,,f,,1
60630,10008568,0,2023-06-22 10:57:34.546671,2022,1276,235,36979,51327,60603,f,,2
60601,10008569,0,2023-05-30 11:12:27.140044,2022,1623,235,36956,51298,,f,,1
60608,13993636,0,2023-05-30 11:12:27.140048,2022,1623,236,36961,51305,,f,,1
60615,13904792,0,2023-05-30 11:12:27.14005,2022,1623,237,36966,51312,,f,,1
60662,4099988,0,2023-05-30 11:36:52.826756,2022,1623,235,36985,51356,60659,f,,4
60664,4099988,4099988,2023-05-30 11:36:52.828257,2022,1375,235,36986,51357,60662,f,,4
61445,7047,7047,2023-07-12 11:17:35.352496,2022,1659,236,37088,52010,61403,f,,4
64404,587834,587834,2024-04-04 18:25:00.588027,2022,1087,245,37579,54093,64394,f,,4
64411,514539,514539,2024-04-04 18:50:50.589192,2022,1086,238,37585,54099,64409,f,,4
60631,5154233,0,2023-06-22 10:57:34.546675,2022,1276,236,36979,51327,60610,f,,2
60660,13993636,0,2023-06-22 10:57:34.556067,2022,1623,236,36984,51355,60608,f,,2
60661,13904792,0,2023-06-22 10:57:34.55607,2022,1623,237,36984,51355,60615,f,,2
60659,6217857,0,2023-06-22 10:57:34.556072,2022,1623,235,36984,51355,60601,f,,2
61450,7047,7047,2023-07-13 15:17:15.363908,2022,1658,236,37091,52013,61403,f,,4
61506,1,1,2023-07-19 08:44:40.359286,2022,1273,236,37097,52067,61409,f,,4
60607,3,0,2024-10-07 15:20:51.429191,2022,5,235,36960,51304,60605,f,,4
61268,2117869,2116369,2023-07-20 11:24:45.400856,2022,1623,235,37044,51895,60659,f,,4
61267,13904792,13903211,2023-07-20 11:24:45.41057,2022,1623,237,37044,51895,60661,f,,4
61409,281869,281867,2023-07-20 13:07:20.356505,2022,1065,236,37075,51997,61403,f,,4
