id,total_area,total_vegetation_area,year,area_id
1,201.49,47.50,2005,1
2,201.49,47.50,2006,1
3,201.49,47.50,2007,1
4,201.49,47.50,2008,1
5,201.49,47.50,2009,1
6,201.49,47.50,2010,1
7,201.49,47.50,2011,1
8,201.49,47.50,2012,1
9,201.49,47.50,2013,1
10,201.49,47.50,2014,1
11,201.49,47.50,2015,1
12,201.49,47.50,2016,1
13,201.49,47.50,2017,1
14,201.49,47.50,2018,1
15,201.49,47.50,2019,1
16,201.49,47.50,2020,1
17,1901.15,1615.19,2005,2
18,1901.15,1615.19,2006,2
19,1901.15,1615.19,2007,2
20,1901.15,1615.19,2008,2
21,1901.15,1615.19,2009,2
22,1901.15,1615.19,2010,2
23,1901.15,1615.19,2011,2
24,1901.15,1615.19,2012,2
25,1901.15,1615.19,2013,2
26,1901.15,1615.19,2014,2
27,1901.15,1615.19,2015,2
28,1901.15,1615.19,2016,2
29,1901.15,1615.19,2017,2
30,1901.15,1615.19,2018,2
31,1901.15,1615.19,2019,2
32,1901.15,1615.19,2020,2
33,2661.91,251.21,2005,3
34,2661.91,251.21,2006,3
35,2661.91,251.21,2007,3
36,2661.91,251.21,2008,3
37,2661.91,251.21,2009,3
38,2661.91,251.21,2010,3
39,2661.91,251.21,2011,3
40,2661.91,251.21,2012,3
41,2661.91,251.21,2013,3
42,2661.91,251.21,2014,3
43,2661.91,251.21,2015,3
44,2661.91,251.21,2016,3
45,2661.91,251.21,2017,3
46,2661.91,251.21,2018,3
47,2661.91,251.21,2019,3
48,2661.91,251.21,2020,3
49,11168.92,2098.50,2005,4
50,11168.92,2098.50,2006,4
51,11168.92,2098.50,2007,4
52,11168.92,2098.50,2008,4
53,11168.92,2098.50,2009,4
54,11168.92,2098.50,2010,4
55,11168.92,2098.50,2011,4
56,11168.92,2098.50,2012,4
57,11168.92,2098.50,2013,4
58,11168.92,2098.50,2014,4
59,11168.92,2098.50,2015,4
60,11168.92,2098.50,2016,4
61,11168.92,2098.50,2017,4
62,11168.92,2098.50,2018,4
63,11168.92,2098.50,2019,4
64,11168.92,2098.50,2020,4
65,3660.37,389.22,2005,5
66,3660.37,389.22,2006,5
67,3660.37,389.22,2007,5
68,3660.37,389.22,2008,5
69,3660.37,389.22,2009,5
70,3660.37,389.22,2010,5
71,3660.37,389.22,2011,5
72,3660.37,389.22,2012,5
73,3660.37,389.22,2013,5
74,3660.37,389.22,2014,5
75,3660.37,389.22,2015,5
76,3660.37,389.22,2016,5
77,3660.37,389.22,2017,5
78,3660.37,389.22,2018,5
79,3660.37,389.22,2019,5
80,3660.37,389.22,2020,5
81,21236.37,14483.31,2005,6
82,21236.37,14483.31,2006,6
83,21236.37,14483.31,2007,6
84,21236.37,14483.31,2008,6
85,21236.37,14483.31,2009,6
86,21236.37,14483.31,2010,6
87,21236.37,14483.31,2011,6
88,21236.37,14483.31,2012,6
89,21236.37,14483.31,2013,6
90,21236.37,14483.31,2014,6
91,21236.37,14483.31,2015,6
92,21236.37,14483.31,2016,6
93,21236.37,14483.31,2017,6
94,21236.37,14483.31,2018,6
95,21236.37,14483.31,2019,6
96,21236.37,14483.31,2020,6
97,,,2005,7
98,,,2006,7
99,,,2007,7
100,,,2008,7
101,,,2009,7
103,,,2011,7
104,,,2012,7
105,,,2013,7
106,,,2014,7
107,,,2015,7
108,,,2016,7
109,,,2017,7
110,,,2018,7
111,,,2019,7
112,,,2020,7
113,399.22,177.23,2005,8
114,399.22,177.23,2006,8
115,399.22,177.23,2007,8
116,399.22,177.23,2008,8
117,399.22,177.23,2009,8
118,399.22,177.23,2010,8
119,399.22,177.23,2011,8
120,399.22,177.23,2012,8
121,399.22,177.23,2013,8
122,399.22,177.23,2014,8
123,399.22,177.23,2015,8
124,399.22,177.23,2016,8
125,399.22,177.23,2017,8
126,399.22,177.23,2018,8
127,399.22,177.23,2019,8
128,399.22,177.23,2020,8
129,406.19,92.68,2005,9
130,406.19,92.68,2006,9
131,406.19,92.68,2007,9
132,406.19,92.68,2008,9
133,406.19,92.68,2009,9
134,406.19,92.68,2010,9
135,406.19,92.68,2011,9
136,406.19,92.68,2012,9
137,406.19,92.68,2013,9
138,406.19,92.68,2014,9
139,406.19,92.68,2015,9
140,406.19,92.68,2016,9
141,406.19,92.68,2017,9
142,406.19,92.68,2018,9
143,406.19,92.68,2019,9
144,406.19,92.68,2020,9
145,399.78,330.08,2005,10
146,399.78,330.08,2006,10
147,399.78,330.08,2007,10
148,399.78,330.08,2008,10
149,399.78,330.08,2009,10
150,399.78,330.08,2010,10
151,399.78,330.08,2011,10
152,399.78,330.08,2012,10
153,399.78,330.08,2013,10
154,399.78,330.08,2014,10
155,399.78,330.08,2015,10
156,399.78,330.08,2016,10
157,399.78,330.08,2017,10
158,399.78,330.08,2018,10
159,399.78,330.08,2019,10
160,399.78,330.08,2020,10
161,401.83,256.52,2005,11
162,401.83,256.52,2006,11
163,401.83,256.52,2007,11
164,401.83,256.52,2008,11
165,401.83,256.52,2009,11
166,401.83,256.52,2010,11
167,401.83,256.52,2011,11
168,401.83,256.52,2012,11
169,401.83,256.52,2013,11
170,401.83,256.52,2014,11
171,401.83,256.52,2015,11
172,401.83,256.52,2016,11
173,401.83,256.52,2017,11
174,401.83,256.52,2018,11
175,401.83,256.52,2019,11
176,401.83,256.52,2020,11
177,193.71,77.03,2005,12
178,193.71,77.03,2006,12
179,193.71,77.03,2007,12
180,193.71,77.03,2008,12
181,193.71,77.03,2009,12
182,193.71,77.03,2010,12
183,193.71,77.03,2011,12
184,193.71,77.03,2012,12
185,193.71,77.03,2013,12
186,193.71,77.03,2014,12
187,193.71,77.03,2015,12
188,193.71,77.03,2016,12
189,193.71,77.03,2017,12
190,193.71,77.03,2018,12
191,193.71,77.03,2019,12
192,193.71,77.03,2020,12
193,201.06,19.08,2005,13
194,201.06,19.08,2006,13
195,201.06,19.08,2007,13
196,201.06,19.08,2008,13
197,201.06,19.08,2009,13
198,201.06,19.08,2010,13
199,201.06,19.08,2011,13
200,201.06,19.08,2012,13
201,201.06,19.08,2013,13
202,201.06,19.08,2014,13
203,201.06,19.08,2015,13
204,201.06,19.08,2016,13
205,201.06,19.08,2017,13
206,201.06,19.08,2018,13
207,201.06,19.08,2019,13
208,201.06,19.08,2020,13
209,209.85,60.23,2005,14
210,209.85,60.23,2006,14
211,209.85,60.23,2007,14
212,209.85,60.23,2008,14
213,209.85,60.23,2009,14
214,209.85,60.23,2010,14
215,209.85,60.23,2011,14
216,209.85,60.23,2012,14
217,209.85,60.23,2013,14
218,209.85,60.23,2014,14
219,209.85,60.23,2015,14
220,209.85,60.23,2016,14
221,209.85,60.23,2017,14
222,209.85,60.23,2018,14
223,209.85,60.23,2019,14
224,209.85,60.23,2020,14
225,200.72,45.07,2005,15
226,200.72,45.07,2006,15
227,200.72,45.07,2007,15
228,200.72,45.07,2008,15
229,200.72,45.07,2009,15
230,200.72,45.07,2010,15
231,200.72,45.07,2011,15
232,200.72,45.07,2012,15
233,200.72,45.07,2013,15
234,200.72,45.07,2014,15
235,200.72,45.07,2015,15
236,200.72,45.07,2016,15
237,200.72,45.07,2017,15
238,200.72,45.07,2018,15
239,200.72,45.07,2019,15
240,200.72,45.07,2020,15
241,193.86,59.04,2005,16
242,193.86,59.04,2006,16
243,193.86,59.04,2007,16
244,193.86,59.04,2008,16
245,193.86,59.04,2009,16
246,193.86,59.04,2010,16
247,193.86,59.04,2011,16
248,193.86,59.04,2012,16
249,193.86,59.04,2013,16
250,193.86,59.04,2014,16
251,193.86,59.04,2015,16
252,193.86,59.04,2016,16
253,193.86,59.04,2017,16
254,193.86,59.04,2018,16
255,193.86,59.04,2019,16
256,193.86,59.04,2020,16
257,1931.11,1637.20,2005,17
258,1931.11,1637.20,2006,17
259,1931.11,1637.20,2007,17
260,1931.11,1637.20,2008,17
261,1931.11,1637.20,2009,17
262,1931.11,1637.20,2010,17
263,1931.11,1637.20,2011,17
264,1931.11,1637.20,2012,17
265,1931.11,1637.20,2013,17
266,1931.11,1637.20,2014,17
267,1931.11,1637.20,2015,17
268,1931.11,1637.20,2016,17
269,1931.11,1637.20,2017,17
270,1931.11,1637.20,2018,17
271,1931.11,1637.20,2019,17
