id,branch_company_id,barcode,participant_id,composition_id,cash_flow_id,title,type,complement,origin_document,due_date,emission_date,entry_date,paid,remittance_generated,supply_type,discount,other_entities_amount,value,increase,cost_center_id,transaction_id,tribute_id,receipt_code,fgts_id,darf_reference_number,inclusion_type,period,contributor_id,lacre_c_social,created_by,created_date,last_modified_by,last_modified_date
421,1,,274,,19,PROC(36571.48565) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Compra com ID (17), originado por Bmtca, através da transação 48565 com a quantidade de 87 ucs. Pagamento  a vista.",DOC.36571.48565,2022-11-10,2022-10-26,2022-10-26,t,f,ASSETS,0.00,0.00,8787.00,0.00,1,48565,,,,,AUTOMATIC,,,,0,2022-10-26 16:23:26.712489,0,2022-10-26 16:23:26.712489
2909,1,,48,,165,05.23,ACTUAL,PRESTAÇÃO DE SERVIÇOS - COMPRA UCS\n,05.23,2023-04-28,2023-04-28,2023-04-28,t,f,OTHER,0.0,0.0,9100.0,0.0,3,,,,,,MANUAL,,,,1406,2023-04-28 09:49:30.719586,1406,2023-04-28 09:49:30.719586
13,1,,30,,19,PROC(36507.47991) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (560), originado por instituto conquistense de mastologia, através da transação 47991 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36507.47991,2022-10-10,2022-09-27,2022-09-27,f,f,ASSETS,0.00,0.00,72.00,0.00,1,47991,,,,,AUTOMATIC,,,,0,2022-09-27 17:01:03.313756,0,2022-09-27 17:01:03.313756
16,1,,32,9,53,0002478115,ACTUAL,Colaboradora - Josefa,0002478115,2022-09-28,2022-09-20,2022-10-01,t,f,,0.00,0.00,416.72,0.00,2,,,,,,MANUAL,,,,890,2022-09-28 09:22:07.183598,890,2022-09-28 09:22:07.183598
652,1,,408,,46,2081,ACTUAL,Reembolso para Arthur Otoni Ferreira - exame admissional,2081,2022-11-11,2022-11-08,2022-11-08,t,f,,0.00,0.00,80.00,0.00,2,,,,,,MANUAL,,,,890,2022-11-11 10:54:13.939868,890,2022-11-11 10:54:13.939868
17,1,,32,10,53,0002478119,ACTUAL,Colaboradora: Leticia,0002478119,2022-09-28,2022-09-20,2022-10-01,t,f,,0.00,0.00,416.72,0.00,2,,,,,,MANUAL,,,,890,2022-09-28 09:24:03.524208,890,2022-09-28 09:24:03.524208
15,1,,31,,187,27092022,ACTUAL,,27092022,2022-09-27,2022-09-27,2022-09-28,t,f,,0.00,0.00,1250.00,0.00,2,,,,,,MANUAL,,,,890,2022-09-27 18:04:52.100623,890,2022-09-27 18:05:13.421455
7,1,,4,,128,BR03BZ001,ACTUAL,,09001100136111,2022-09-25,2022-06-06,2022-06-06,t,f,,0.00,0.00,29550.44,0.00,1,,,,,,MANUAL,,,,890,2022-09-22 15:36:00.387844,890,2022-09-22 15:36:00.387844
5,1,,3,,185,0902982682326,ACTUAL,,0902982682326,2022-09-25,2022-09-14,2022-09-14,t,f,,0.00,0.00,63773.88,0.00,1,,,,,,MANUAL,,,,890,2022-09-22 15:28:39.816063,890,2022-09-22 15:28:39.816063
9,1,,7,,19,PROC(36506.47987) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (558), originado por GRUPO CRISTAL SOLAR EIRELI, através da transação 47987 com a quantidade de 2 ucs. Pagamento  a vista.",DOC.36506.47987,2022-10-10,2022-09-27,2022-09-27,t,f,ASSETS,0.00,0.00,288.00,0.00,1,47987,,,,,AUTOMATIC,,,,0,2022-09-27 11:16:34.166283,0,2022-09-27 11:16:34.166283
27,1,,48,,165,031022Alex,ACTUAL,,031022Alex,2022-10-03,2022-09-30,2022-09-30,t,f,SERVICES,0.00,0.00,9100.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 11:32:32.663666,890,2022-09-30 13:13:19.228896
