id,bill_to_pay_id,payment_date,payment_type,paid_amount,interest,fine,discount,created_by,last_modified_by,created_date,last_modified_date,automatic
1,8,2022-09-27,PAYMENT_Q,221.44,0.00,0.00,0.00,,,,,
2,15,2022-09-27,PAYMENT_Q,1250.00,0.00,0.00,0.00,,,,,
3,7,2022-09-26,PAYMENT_Q,29550.44,0.00,0.00,0.00,,,,,
4,5,2022-09-26,PAYMENT_Q,63773.88,0.00,0.00,0.00,,,,,
5,16,2022-09-28,PAYMENT_Q,416.72,0.00,0.00,0.00,,,,,
6,17,2022-09-28,PAYMENT_Q,416.72,0.00,0.00,0.00,,,,,
7,6,2022-09-26,PAYMENT_Q,3600.00,0.00,0.00,0.00,,,,,
8,4,2022-09-26,PAYMENT_Q,173.47,0.00,0.00,0.00,,,,,
9,19,2022-09-29,PAYMENT_Q,20000.00,0.00,0.00,0.00,,,,,
10,18,2022-09-29,PAYMENT_Q,231.67,0.00,0.00,0.00,,,,,
11,25,2022-09-30,PAYMENT_Q,2357.38,0.00,0.00,0.00,,,,,
12,20,2022-09-30,PAYMENT_Q,833.45,0.00,0.00,0.00,,,,,
34,39,2022-10-03,PAYMENT_Q,41900.00,0.00,0.00,0.00,,,,,
35,38,2022-10-03,PAYMENT_Q,1777.00,0.00,0.00,0.00,,,,,
36,37,2022-10-03,PAYMENT_Q,1777.00,0.00,0.00,0.00,,,,,
37,36,2022-10-03,PAYMENT_Q,44425.00,0.00,0.00,0.00,,,,,
38,35,2022-10-03,PAYMENT_Q,5000.00,0.00,0.00,0.00,,,,,
39,34,2022-10-03,PAYMENT_Q,15000.00,0.00,0.00,0.00,,,,,
40,33,2022-10-03,PAYMENT_Q,10000.00,0.00,0.00,0.00,,,,,
41,32,2022-10-03,PAYMENT_Q,15000.00,0.00,0.00,0.00,,,,,
42,31,2022-10-03,PAYMENT_Q,10000.00,0.00,0.00,0.00,,,,,
43,30,2022-10-03,PAYMENT_Q,40850.00,0.00,0.00,0.00,,,,,
44,29,2022-10-03,PAYMENT_Q,15000.00,0.00,0.00,0.00,,,,,
45,28,2022-10-03,PAYMENT_Q,9000.00,0.00,0.00,0.00,,,,,
46,27,2022-10-03,PAYMENT_Q,9100.00,0.00,0.00,0.00,,,,,
47,26,2022-10-03,PAYMENT_Q,1685.62,0.00,0.00,0.00,,,,,
48,24,2022-10-03,PAYMENT_Q,3600.00,0.00,0.00,0.00,,,,,
49,23,2022-10-03,PAYMENT_Q,2301.96,0.00,0.00,0.00,,,,,
50,22,2022-10-03,PAYMENT_Q,2424.00,0.00,0.00,0.00,,,,,
51,21,2022-10-03,PAYMENT_Q,9276.33,0.00,0.00,0.00,,,,,
52,75,2022-10-04,PAYMENT_Q,660.00,0.00,0.00,0.00,,,,,
54,78,2022-10-05,PAYMENT_Q,10000.00,0.00,0.00,0.00,,,,,
55,79,2022-10-05,PAYMENT_Q,9000.00,0.00,0.00,0.00,,,,,
56,77,2022-10-05,PAYMENT_Q,1373.45,0.00,0.00,0.00,,,,,
57,12,2022-10-05,PAYMENT_Q,72.00,0.00,0.00,0.00,,,,,
58,80,2022-10-05,PAYMENT_Q,8294.50,0.00,0.00,0.00,,,,,
59,76,2022-10-05,PAYMENT_Q,8396.77,0.00,0.00,0.00,,,,,
60,88,2022-10-06,PAYMENT_Q,1078.68,0.00,0.00,0.00,,,,,
61,89,2022-10-06,PAYMENT_Q,1500.00,0.00,0.00,0.00,,,,,
62,90,2022-10-06,PAYMENT_Q,7000.00,0.00,0.00,0.00,,,,,
63,87,2022-10-06,PAYMENT_Q,3915.01,0.00,0.00,0.00,,,,,
64,84,2022-10-06,PAYMENT_Q,4095.60,0.00,0.00,0.00,,,,,
65,85,2022-10-06,PAYMENT_Q,2668.98,0.00,0.00,0.00,,,,,
66,82,2022-10-06,PAYMENT_Q,3282.35,0.00,0.00,0.00,,,,,
67,86,2022-10-06,PAYMENT_Q,1838.18,0.00,0.00,0.00,,,,,
68,83,2022-10-06,PAYMENT_Q,1831.35,0.00,0.00,0.00,,,,,
69,81,2022-10-06,PAYMENT_Q,378.67,0.00,0.00,0.00,,,,,
70,94,2022-10-06,PAYMENT_Q,2222.22,0.00,0.00,0.00,,,,,
71,95,2022-10-06,PAYMENT_Q,2442.00,0.00,0.00,0.00,,,,,
72,93,2022-10-06,PAYMENT_Q,68.75,0.00,0.00,0.00,,,,,
73,92,2022-10-06,PAYMENT_Q,267.11,0.00,0.00,0.00,,,,,
74,91,2022-10-06,PAYMENT_Q,100.00,0.00,0.00,0.00,,,,,
75,97,2022-10-07,PAYMENT_Q,2072.67,0.00,0.00,0.00,,,,,
76,96,2022-10-07,PAYMENT_Q,5555.55,0.00,0.00,0.00,,,,,
77,99,2022-10-07,PAYMENT_Q,270.00,0.00,0.00,0.00,,,,,
78,98,2022-10-10,PAYMENT_Q,3000.00,0.00,0.00,0.00,,,,,
79,100,2022-10-10,PAYMENT_Q,131.76,0.00,0.00,0.00,,,,,
80,103,2022-10-10,PAYMENT_Q,4438.67,0.00,0.00,0.00,,,,,
81,104,2022-10-10,PAYMENT_Q,2256.42,0.00,0.00,0.00,,,,,
82,111,2022-10-10,PAYMENT_Q,163.32,0.00,0.00,0.00,,,,,
83,107,2022-10-10,PAYMENT_Q,2000.00,0.00,0.00,0.00,,,,,
84,101,2022-10-10,PAYMENT_Q,7500.00,0.00,0.00,0.00,,,,,
85,105,2022-10-10,PAYMENT_Q,2500.00,0.00,0.00,0.00,,,,,
86,106,2022-10-10,PAYMENT_Q,3000.00,0.00,0.00,0.00,,,,,
87,110,2022-10-10,PAYMENT_Q,229.00,0.00,0.00,0.00,,,,,
88,109,2022-10-10,PAYMENT_Q,82000.00,0.00,0.00,0.00,,,,,
89,102,2022-10-10,PAYMENT_Q,33674.00,0.00,0.00,0.00,,,,,
90,113,2022-10-11,PAYMENT_Q,1025.38,0.00,0.00,0.00,,,,,
91,112,2022-10-11,PAYMENT_Q,2000.00,0.00,0.00,0.00,,,,,
93,115,2022-10-13,PAYMENT_Q,651.24,0.00,0.00,0.00,,,,,
94,120,2022-10-13,PAYMENT_Q,75000.00,0.00,0.00,0.00,,,,,
95,121,2022-10-13,PAYMENT_Q,229.00,0.00,0.00,0.00,,,,,
96,119,2022-10-13,PAYMENT_Q,1612.65,0.00,0.00,0.00,,,,,
97,116,2022-10-13,PAYMENT_Q,1720.97,0.00,0.00,0.00,,,,,
98,117,2022-10-13,PAYMENT_Q,5631.00,0.00,0.00,0.00,,,,,
99,127,2022-10-14,PAYMENT_Q,204.80,0.00,0.00,0.00,,,,,
100,122,2022-10-14,PAYMENT_Q,122.60,0.00,0.00,0.00,,,,,
