id,account_code,parent_account,description,report_shows_number,reducing_account,created_by,created_date,last_modified_by,last_modified_date
1,1,,RECEITA OPERACIONAL,t,f,890,2022-09-15 16:39:25.05125,890,2022-09-15 16:39:25.05125
4,2,,(-) CUSTOS VARIAVEIS DE VENDAS (CVV),t,t,890,2022-09-15 16:48:14.051712,890,2022-09-15 16:48:14.051712
5,2.1,4,(-) COMISSÕES - VENDAS / GERAL,t,t,890,2022-09-15 16:49:05.343208,890,2022-09-15 16:49:05.343208
31,1.5.4,27,OUTRAS,t,f,1339,2022-09-15 17:20:35.140361,933,2022-09-30 11:32:07.200822
32,4,,(-) CUSTOS FIXOS ADMINISTRATIVOS E OPERACIONAIS,t,t,1339,2022-09-15 17:22:22.056169,1339,2022-09-15 17:22:22.056169
33,4.1,32,(-) PESSOAL,t,t,1339,2022-09-15 17:27:45.159056,1339,2022-09-15 17:27:45.159056
36,4.1.3,33,(-) ADIANT° SALÁRIO,t,t,1339,2022-09-15 17:44:10.308655,1339,2022-09-28 16:16:42.717372
57,4.2,32,(-) LOCAÇÃO,t,t,1339,2022-09-15 18:26:48.489906,1339,2022-09-15 18:26:48.489906
64,4.3,32,(-) COMUNICAÇÃO E MARKETING,t,t,1339,2022-09-15 18:42:44.065841,1339,2022-09-15 18:42:44.065841
72,4.4,32,(-) ADMINISTRATIVO,t,t,1339,2022-09-16 14:42:28.772345,1339,2022-09-16 14:42:28.772345
2,1.1,1,VENDAS,t,f,890,2022-09-15 16:41:09.377004,1339,2022-09-28 15:50:37.185748
9,1.1.2,2,CPR V,t,f,1339,2022-09-15 17:03:27.648623,1339,2022-09-28 15:53:03.472646
20,1.1.4,2,CERTIFICAÇÃO / SELO,t,f,1339,2022-09-15 17:11:09.351347,1339,2022-09-28 15:54:37.501332
23,1.3,1,SERVIÇOS ,t,f,1339,2022-09-15 17:14:39.847364,933,2022-09-30 11:30:43.6264
24,1.3.1,23,LICENCIAMENTO / ROYALTIES,t,f,1339,2022-09-15 17:15:20.943375,933,2022-09-30 11:30:55.381785
25,1.3.2,23,TAXAS / TRANSFERÊNCIAS,t,f,1339,2022-09-15 17:16:26.700998,933,2022-09-30 11:31:06.24546
26,1.4,1,BMV PORTUGAL,t,f,1339,2022-09-15 17:16:52.10303,933,2022-09-30 11:31:15.75706
27,1.5,1,OUTRAS ENTRADAS,t,f,1339,2022-09-15 17:17:28.304583,933,2022-09-30 11:31:24.472844
28,1.5.1,27,ACERTO VIAGEM,t,f,1339,2022-09-15 17:18:00.740273,933,2022-09-30 11:31:36.441163
29,1.5.2,27,DEVOLUÇÕES,t,f,1339,2022-09-15 17:18:26.19102,933,2022-09-30 11:31:46.579317
30,1.5.3,27,REEMBOLSO PARCEIROS,t,f,1339,2022-09-15 17:19:52.340674,933,2022-09-30 11:31:56.674029
6,2.1.1,5,(-) AGENCIAMENTO / INTERMEDIAÇÃO ,t,t,890,2022-09-15 17:00:57.043183,1339,2022-09-28 16:04:26.360568
7,2.1.2,5,(-) CREDENCIADOS,t,t,890,2022-09-15 17:02:07.807286,1339,2022-09-28 16:05:00.741014
8,2.1.3,5,(-) PARCEIROS,t,t,890,2022-09-15 17:02:38.683054,1339,2022-09-28 16:05:24.077276
