id,composition_register_type,barcode,supplier_id,our_number,branch_company_id,titles_amount,discount_amount,increase_amount,payment_total_amount,fee_amount,due_date,extension_date,liquidation_date,remittance_generated,paid,contributing_supplier_id,beneficiary_id,title_issuer_id,created_by,created_date,last_modified_by,last_modified_date
399,COMPOSITION,,361,,1,76.54,,,76.54,,,,,t,t,,,,1406,2023-03-10 14:50:42.839443,1406,2023-03-10 14:50:42.839443
86,COMPOSITION,,104,,1,284.82,,,284.82,,,,,f,t,,,,890,2022-11-10 12:08:54.522711,890,2022-11-10 12:08:54.522711
403,COMPOSITION,,185,,1,76.54,,,76.54,,,,,t,t,,,,1406,2023-03-10 14:50:42.968944,1406,2023-03-10 14:50:42.968944
6,BILLET,34191092894287428293480145580009391460000360000,5,109284287428,1,3600.00,0.00,0.00,3600.00,0.00,2022-10-22,,,t,t,,,,890,2022-09-23 08:54:53.859246,890,2022-09-23 09:05:03.982067
12,BILLET,34191090080672037783420039950009291230000023167,33,109000672037,1,231.67,0.00,0.00,231.67,0.00,2022-09-29,,,t,t,,,,933,2022-09-28 10:48:20.330425,890,2022-09-28 11:31:35.488137
402,COMPOSITION,,375,,1,76.54,,,76.54,,,,,t,t,,,,1406,2023-03-10 14:50:42.937927,1406,2023-03-10 14:50:42.937927
26,BILLET,00190000090319936300700066059171791400000018700,297,31993630000066059,1,187.00,0.00,0.00,187.00,0.00,2022-10-16,,,t,t,,,,890,2022-10-17 09:32:28.498315,890,2022-10-17 09:32:28.498315
23,BILLET,00190000090315311200200004542171591370000172097,109,00031531120000004542,1,1720.97,0.00,0.00,1720.97,0.00,2022-10-13,,,t,t,,,,890,2022-10-13 08:54:29.537285,890,2022-10-13 08:54:29.537285
8,BILLET,34191091070058456076791008760000291220000022144,6,10910005845,1,221.44,0.00,0.00,221.44,0.00,2022-09-28,,,t,t,,,,890,2022-09-27 09:49:51.39043,890,2022-09-27 09:49:51.39043
27,BILLET,75691335100100316150006001030011891390000032016,292,600103,1,320.16,0.00,0.00,320.16,0.00,2022-10-15,,,t,t,,,,890,2022-10-17 09:35:54.966224,890,2022-10-17 09:35:54.966224
25,BILLET,23790001083300093923216026080305191410001001000,113,03300093923167,1,10010.00,0.00,0.00,10010.00,0.00,2022-10-17,,,t,t,,,,890,2022-10-14 09:03:09.279442,890,2022-10-14 09:03:09.279442
19,BILLET,34191570070001751933152201000008591290000900000,88,9335220100,1,9000.00,0.00,0.00,9000.00,0.00,2022-10-05,,,t,t,,,,890,2022-10-05 08:51:10.819009,890,2022-10-05 08:51:10.819009
18,BILLET,34191090579271208663301998800005691290000137345,80,109059271208,1,1373.45,0.00,0.00,1373.45,0.00,2022-10-05,,,t,t,,,,890,2022-10-05 08:49:19.700226,890,2022-10-05 08:49:19.700226
20,BILLET,23790504009226800000405061964705391290000829450,81,09226800000050,1,8294.50,0.00,0.00,8294.50,0.00,2022-10-05,,,t,t,,,,890,2022-10-05 09:24:54.336862,890,2022-10-05 09:24:54.336862
17,BILLET,23792981089005000007549000399904891290000839677,79,09005000007492,1,8396.77,0.00,0.00,8396.77,0.00,2022-10-05,,,t,t,,,,890,2022-10-05 08:47:06.207095,890,2022-10-05 08:47:06.207095
9,BILLET,00190000090319409800402478115179991220000041672,32,0002478115,1,416.72,0.00,0.00,416.72,0.00,2022-09-28,,,t,t,,,,890,2022-09-28 09:32:24.571529,890,2022-09-28 09:32:24.571529
10,BILLET,00190000090319409800402478119171491220000041672,32,0002478119,1,416.72,0.00,0.00,416.72,0.00,2022-09-28,,,t,t,,,,890,2022-09-28 09:36:30.552064,933,2022-09-28 10:41:42.51659
13,BILLET,34191090166290988044558198570002691250000927633,40,109016290988,1,9276.33,0.00,0.00,9276.33,0.00,2022-10-01,,,f,f,,,,890,2022-09-30 09:28:25.086293,890,2022-09-30 09:28:25.086293
14,BILLET,00190000090322497600500001351170191270000242400,36,32249760000001351,1,2424.00,0.00,0.00,2424.00,0.00,2022-10-03,,,f,t,,,,890,2022-09-30 09:31:19.309835,890,2022-09-30 09:31:19.309835
15,BILLET,34191090993873390849552104710000791250000168562,39,109093873390,1,1685.62,0.00,0.00,1685.62,0.00,2022-10-01,,,f,f,,,,890,2022-09-30 10:48:24.960925,890,2022-09-30 10:48:24.960925
21,BILLET,75691500430112413200000163290067491300000010000,92,16329,1,100.00,0.00,0.00,100.00,0.00,2022-10-06,,,t,t,,,,890,2022-10-05 15:37:13.593999,890,2022-10-05 15:37:13.593999
22,BILLET,34191090242264772633401724010002591340000225642,99,109022264772,1,2256.42,0.00,0.00,2256.42,0.00,2022-10-10,,,t,t,,,,890,2022-10-10 08:54:36.51023,890,2022-10-10 08:54:36.51023
16,BILLET,07797777395166479824989127280850891280000066000,78,7777351664798248912728085,1,660.00,0.00,0.00,660.00,0.00,2022-10-04,,,t,t,,,,890,2022-10-04 10:49:05.681453,890,2022-10-04 10:49:05.681453
92,BILLET,03399079250390000000500227801016791680000057000,411,2278,1,570.00,0.00,0.00,570.00,0.00,2022-11-13,,,f,t,,,,890,2022-11-14 10:01:05.962288,890,2022-11-14 10:01:05.962288
38,BILLET,70790001182112697040508214010756891440002359564,309,000112100821401075,1,23595.64,0.00,0.00,23595.64,0.00,2022-10-20,,,f,t,,,,890,2022-10-20 10:56:04.444086,890,2022-10-20 10:56:04.444086
35,BILLET,10498296567000010004300195451984491440000014990,308,140000000019545199,1,149.90,0.00,0.00,149.90,0.00,2022-10-20,,,f,t,,,,890,2022-10-20 10:39:01.651499,890,2022-10-20 10:39:01.651499
36,BILLET,03399948320120000011373073001015691440000311748,307,0000011730730,1,3117.48,0.00,0.00,3117.48,0.00,2022-10-20,,,f,t,,,,890,2022-10-20 10:44:27.035201,890,2022-10-20 10:44:27.035201
28,BILLET,23793380032000370058896000342103591390000010734,293,0200037005896P,1,107.34,0.00,0.00,107.34,0.00,2022-10-15,,,t,t,,,,890,2022-10-17 09:39:44.365747,890,2022-10-17 09:39:44.365747
30,BILLET,23792374039000008994706000870003891410000723564,294,09000008994067,1,7235.64,0.00,0.00,7235.64,0.00,2022-10-17,,,t,t,,,,890,2022-10-17 10:00:53.74634,890,2022-10-17 10:00:53.74634
31,BILLET,00190000090348828300700010390177191410000061225,295,34789790000000704,1,612.25,0.00,0.00,612.25,0.00,2022-10-17,,,t,t,,,,890,2022-10-17 10:24:09.310423,890,2022-10-17 10:24:09.310423
32,BILLET,00190000090348828300700010195170891410000015887,295,34882830000010195,1,158.87,0.00,0.00,158.87,0.00,2022-10-17,,,t,t,,,,890,2022-10-17 10:27:36.167529,890,2022-10-17 10:27:36.167529
29,BILLET,00190000090347897900200000704171191410000037187,111,34789790000000704,1,371.87,0.00,0.00,371.87,0.00,2022-10-17,,,t,t,,,,890,2022-10-17 09:56:23.335193,890,2022-10-17 09:56:23.335193
37,BILLET,23793380032000370249366000342106591440000004815,293,002000370249668,1,48.15,0.00,0.00,48.15,0.00,2022-10-20,,,f,t,,,,890,2022-10-20 10:46:55.716617,890,2022-10-20 10:46:55.716617
34,BILLET,34191090080522479311672571170009691440000008985,306,109000522479,1,89.85,0.00,0.00,89.85,0.00,2022-10-20,,,f,t,,,,890,2022-10-20 09:07:03.67533,890,2022-10-20 09:07:03.67533
39,BILLET,23792372059001100158483002646608590820002955044,4,09001100158832,1,29550.44,0.00,0.00,29550.44,0.00,2022-10-25,,,f,t,,,,890,2022-10-25 10:30:38.676801,890,2022-10-25 10:30:38.676801
41,BILLET,34191092895935769293480145580009291790000303000,5,109285935769,1,3030.00,0.00,0.00,3030.00,0.00,2022-11-24,,,f,t,,,,890,2022-10-25 11:00:43.022336,890,2022-10-25 11:00:43.022336
