id,supply_type,payment_date,start_date,end_date,register_bank_id,file_generated,response_read,created_by,created_date,last_modified_by,last_modified_date
40,ASSETS,2022-10-27 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-27 12:53:24.598386,890,2022-10-27 12:54:44.175455
39,ASSETS,2022-10-27 00:00:00,2022-11-07 21:00:00,2022-11-10 21:00:00,1,t,t,890,2022-10-27 12:22:49.091669,890,2022-10-27 12:32:44.060864
25,OTHER,2022-10-14 00:00:00,2022-10-12 21:00:00,2022-10-17 21:00:00,1,t,t,890,2022-10-14 09:03:57.720005,890,2022-10-14 09:04:33.26279
24,OTHER,2022-10-13 00:00:00,2022-10-11 21:00:00,2022-10-13 21:00:00,1,t,t,890,2022-10-13 12:35:19.369734,890,2022-10-13 12:37:41.304171
7,OTHER,2022-09-30 00:00:00,2022-09-28 21:00:00,2022-09-30 21:00:00,1,t,t,890,2022-09-30 08:36:44.40557,890,2022-09-30 08:37:19.280145
43,ASSETS,2022-10-27 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-27 16:01:26.332374,890,2022-10-27 16:02:08.859395
42,OTHER,2022-10-27 00:00:00,2022-10-25 21:00:00,2022-10-27 21:00:00,2,t,t,890,2022-10-27 15:11:33.351875,890,2022-10-27 15:12:19.151369
2,OTHER,2022-09-26 00:00:00,2022-09-22 21:00:00,2022-10-22 21:00:00,1,t,t,890,2022-09-26 10:00:35.279687,890,2022-09-26 10:00:58.325567
16,OTHER,2022-10-06 00:00:00,2022-10-03 21:00:00,2022-10-06 21:00:00,1,t,t,890,2022-10-05 16:02:04.756374,933,2022-10-06 11:08:19.806141
3,OTHER,2022-09-27 00:00:00,2022-09-26 21:00:00,2022-09-28 21:00:00,1,t,t,890,2022-09-27 09:52:39.541667,890,2022-09-27 09:52:48.987604
15,ASSETS,2022-10-05 00:00:00,2022-10-08 21:00:00,2022-10-10 21:00:00,2,t,t,890,2022-10-05 10:08:29.478147,890,2022-10-05 10:09:13.537857
36,ASSETS,2022-10-27 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-26 17:37:08.513419,890,2022-10-26 17:41:27.051251
34,OTHER,2022-10-25 00:00:00,2022-10-23 21:00:00,2022-11-24 21:00:00,1,t,t,890,2022-10-25 11:11:53.376493,890,2022-10-25 11:12:24.128444
1,OTHER,2022-09-23 00:00:00,2022-09-21 21:00:00,2022-10-22 21:00:00,1,t,t,890,2022-09-23 16:31:44.113375,890,2022-09-23 16:32:09.037283
27,OTHER,2022-10-17 00:00:00,2022-10-13 21:00:00,2022-10-17 21:00:00,1,t,t,890,2022-10-17 10:43:39.366092,890,2022-10-17 11:12:10.969026
4,OTHER,2022-09-28 00:00:00,2022-09-26 21:00:00,2022-09-28 21:00:00,1,t,t,890,2022-09-28 11:24:33.253877,890,2022-09-28 11:26:07.360139
17,OTHER,2022-10-06 00:00:00,2022-10-04 21:00:00,2022-10-06 21:00:00,1,t,t,890,2022-10-06 08:42:11.347291,890,2022-10-06 11:13:03.980078
26,OTHER,2022-10-14 00:00:00,2022-10-12 21:00:00,2022-10-14 21:00:00,1,t,t,890,2022-10-14 09:38:37.377198,890,2022-10-14 09:39:10.484056
48,OTHER,2022-10-28 00:00:00,2022-10-26 21:00:00,2022-11-26 21:00:00,1,t,t,890,2022-10-28 11:21:43.588282,890,2022-10-28 11:23:56.133039
41,ASSETS,2022-10-27 00:00:00,2022-11-08 21:00:00,2022-11-10 21:00:00,2,t,t,890,2022-10-27 14:45:35.18154,890,2022-10-27 14:47:30.844966
28,OTHER,2022-10-17 00:00:00,2022-10-15 21:00:00,2022-10-17 21:00:00,1,t,t,890,2022-10-17 11:16:28.20171,890,2022-10-17 11:16:46.871024
38,OTHER,2022-10-27 00:00:00,2022-10-25 21:00:00,2022-12-26 21:00:00,2,t,t,890,2022-10-27 08:47:05.963417,890,2022-10-27 08:48:21.293299
19,OTHER,2022-10-10 00:00:00,2022-10-05 21:00:00,2022-10-10 21:00:00,1,t,t,890,2022-10-10 09:14:11.822863,890,2022-10-10 10:33:13.979339
9,OTHER,2022-10-03 00:00:00,2022-09-30 21:00:00,2022-10-03 21:00:00,2,t,t,890,2022-09-30 13:45:26.212215,890,2022-09-30 14:08:05.685189
8,OTHER,2022-09-30 00:00:00,2022-09-28 21:00:00,2022-09-30 21:00:00,1,t,t,890,2022-09-30 10:32:08.900939,890,2022-09-30 10:32:21.229518
10,OTHER,2022-10-03 00:00:00,2022-09-27 21:00:00,2022-10-03 21:00:00,1,t,t,890,2022-09-30 13:49:00.059495,890,2022-09-30 14:10:11.985624
18,OTHER,2022-10-07 00:00:00,2022-10-05 21:00:00,2022-10-07 21:00:00,1,t,t,890,2022-10-07 09:28:14.8547,890,2022-10-07 09:33:57.015595
6,OTHER,2022-09-29 00:00:00,2022-09-27 21:00:00,2022-09-29 21:00:00,1,t,t,890,2022-09-28 14:56:44.987813,890,2022-09-28 14:57:13.403298
