id,favored_id,creditor_id,active,rl_favored_creditor_authorization_file_id,valid_until,created_by,created_date,last_modified_by,last_modified_date
17,266,291,t,72b0adc2-c1c6-40a6-9839-03bf92e8c638,2030-12-31,890,2022-10-26 13:36:46.291615,890,2022-10-26 13:36:46.291615
14,266,237,t,240793e7-8fce-447f-bc7e-1e23441f7d55,2030-12-31,890,2022-10-25 14:36:35.772956,890,2022-10-25 14:36:35.772956
45,327,143,t,ce117332-093a-4e1f-bc9b-bb50095d9f26,2022-12-08,890,2022-12-07 14:26:14.366152,890,2022-12-07 14:26:14.366152
2,41,47,f,837a0dc6-cb1c-40e9-a936-fd7f7d058036,2023-04-04,890,2022-09-30 13:27:03.762027,1406,2023-04-04 08:32:40.17575
3,41,52,t,971e7446-102f-4819-9480-b76e11a25fd2,2030-01-01,890,2022-09-30 13:27:40.294218,890,2022-09-30 13:27:40.294218
1,43,42,t,b64fb215-bf53-4e98-ad3b-90f118ede665,2030-01-01,890,2022-09-29 16:09:10.289299,933,2022-10-03 11:25:40.404192
5,14,208,t,dc432464-b62f-4ebf-a217-a0f863d8ec58,2030-12-31,890,2022-10-17 14:49:18.203004,890,2022-10-17 14:49:18.203004
6,24,191,t,df3c69c9-5f5d-4808-a7c1-e180c2db91b2,2030-12-31,890,2022-10-17 14:52:29.244795,890,2022-10-17 14:52:29.244795
46,485,377,t,d4a628fb-0e50-439a-b96a-bda3a3888c24,2030-12-31,890,2022-12-15 13:47:16.423971,890,2022-12-15 13:47:16.423971
8,298,152,t,6b59e606-2903-4672-8c38-d921f1298230,2030-12-31,890,2022-10-17 17:43:09.359709,890,2022-10-17 17:43:09.359709
9,300,68,t,26ed5179-566e-49d1-ae2a-a192f5632eb3,2030-12-31,890,2022-10-18 10:51:42.240213,890,2022-10-18 10:51:42.240213
33,240,272,t,2876a976-642a-43d4-ab3b-8ee0dcd0a234,2030-12-31,890,2022-10-27 13:50:10.329356,890,2022-10-27 13:50:10.329356
10,298,152,f,0da654ba-62e1-4712-80f1-927cd1de36af,2030-12-31,890,2022-10-18 11:09:21.183913,890,2022-10-18 11:09:21.183913
11,302,239,t,8285b35d-e360-48e3-8517-007a746d880e,2030-12-31,890,2022-10-18 12:32:34.137626,890,2022-10-18 12:32:34.137626
12,303,250,t,9044fb1b-5e0d-430c-862b-497c1406106d,2030-12-31,890,2022-10-18 12:46:25.3702,890,2022-10-18 12:46:25.3702
13,313,145,t,8989ecd6-147c-4b91-abfa-d7d5cb421c0c,2030-12-31,890,2022-10-20 13:47:11.585817,890,2022-10-20 13:47:11.585817
15,367,127,t,076c593e-2ad1-45f8-908e-3c0ce45df67e,2030-12-31,890,2022-10-25 17:43:24.70064,890,2022-10-25 17:43:24.70064
16,370,142,t,ba3b484d-2731-4dfe-af09-79f92d4e3cb8,2030-12-31,890,2022-10-26 13:33:53.521225,890,2022-10-26 13:33:53.521225
47,486,472,t,36158495-d5f4-4784-bee5-261e9592b168,2030-12-31,890,2022-12-15 13:49:29.682712,890,2022-12-15 13:49:29.682712
