payout_configuration_id,system_type
1,AKSES
2,AKSES
3,AKSES
4,AKSES
5,AKSES
6,AKSES
7,AKSES
8,AKSES
9,AKSES
10,AKSES
11,AKSES
12,AKSES
13,AKSES
14,AKSES
15,AKSES
16,AKSES
17,AKSES
18,AKSES
19,AKSES
20,AKSES
21,AKSES
22,AKSES
23,AKSES
24,AKSES
25,AKSES
26,AKSES
27,AKSES
28,AKSES
29,AKSES
30,AKSES
31,AKSES
32,AKSES
33,AKSES
34,AKSES
35,AKSES
36,AKSES
37,AKSES
38,AKSES
39,AKSES
40,AKSES
41,AKSES
42,AKSES
43,AKSES
44,AKSES
45,AKSES
46,AKSES
47,AKSES
48,AKSES
49,AKSES
50,AKSES
51,AKSES
52,AKSES
53,AKSES
54,AKSES
55,AKSES
56,AKSES
57,AKSES
58,AKSES
59,AKSES
60,AKSES
61,AKSES
62,AKSES
63,AKSES
64,AKSES
65,AKSES
66,AKSES
67,AKSES
68,AKSES
69,AKSES
70,AKSES
71,AKSES
72,AKSES
73,AKSES
74,AKSES
75,AKSES
76,AKSES
77,AKSES
78,AKSES
79,AKSES
80,AKSES
81,AKSES
82,AKSES
83,AKSES
84,AKSES
85,TESOURO_VERDE
86,TESOURO_VERDE
87,TESOURO_VERDE
88,TESOURO_VERDE
89,TESOURO_VERDE
90,TESOURO_VERDE
91,TESOURO_VERDE
92,TESOURO_VERDE
93,TESOURO_VERDE
94,TESOURO_VERDE
95,TESOURO_VERDE
96,TESOURO_VERDE
97,TESOURO_VERDE
98,TESOURO_VERDE
99,TESOURO_VERDE
100,TESOURO_VERDE
101,TESOURO_VERDE
102,TESOURO_VERDE
103,TESOURO_VERDE
104,TESOURO_VERDE
105,TESOURO_VERDE
106,TESOURO_VERDE
107,AKSES
108,AKSES
109,AKSES
110,AKSES
111,AKSES
112,AKSES
113,AKSES
114,AKSES
115,AKSES
116,AKSES
117,AKSES
118,AKSES
119,AKSES
120,AKSES
121,AKSES
122,AKSES
123,AKSES
124,AKSES
125,AKSES
126,AKSES
127,AKSES
128,AKSES
129,AKSES
130,TESOURO_VERDE
131,TESOURO_VERDE
132,TESOURO_VERDE
133,TESOURO_VERDE
134,TESOURO_VERDE
135,TESOURO_VERDE
136,TESOURO_VERDE
137,TESOURO_VERDE
138,TESOURO_VERDE
139,TESOURO_VERDE
140,TESOURO_VERDE
141,TESOURO_VERDE
142,TESOURO_VERDE
143,TESOURO_VERDE
144,TESOURO_VERDE
145,TESOURO_VERDE
146,TESOURO_VERDE
147,TESOURO_VERDE
148,TESOURO_VERDE
149,TESOURO_VERDE
150,TESOURO_VERDE
151,TESOURO_VERDE
154,TESOURO_VERDE
155,TESOURO_VERDE
156,TESOURO_VERDE
157,TESOURO_VERDE
158,TESOURO_VERDE
159,TESOURO_VERDE
160,TESOURO_VERDE
161,TESOURO_VERDE
162,TESOURO_VERDE
163,TESOURO_VERDE
164,TESOURO_VERDE
165,TESOURO_VERDE
166,TESOURO_VERDE
167,TESOURO_VERDE
168,TESOURO_VERDE
169,TESOURO_VERDE
170,TESOURO_VERDE
171,TESOURO_VERDE
172,TESOURO_VERDE
173,TESOURO_VERDE
174,TESOURO_VERDE
175,TESOURO_VERDE
176,AKSES
177,AKSES
178,AKSES
179,AKSES
180,AKSES
181,AKSES
182,AKSES
183,AKSES
184,AKSES
185,AKSES
186,AKSES
187,AKSES
188,AKSES
189,AKSES
190,AKSES
191,AKSES
192,AKSES
193,AKSES
194,AKSES
195,AKSES
196,AKSES
197,AKSES
198,AKSES
199,AKSES
200,AKSES
201,AKSES
202,AKSES
203,AKSES
204,AKSES
205,AKSES
206,AKSES
207,AKSES
208,AKSES
209,AKSES
210,AKSES
211,AKSES
212,AKSES
213,AKSES
214,AKSES
215,AKSES
216,AKSES
217,AKSES
218,AKSES
219,AKSES
220,AKSES
221,AKSES
222,AKSES
223,AKSES
224,AKSES
225,AKSES
226,AKSES
227,AKSES
228,AKSES
229,AKSES
230,AKSES
231,AKSES
232,AKSES
233,AKSES
234,AKSES
235,AKSES
236,AKSES
237,AKSES
238,TESOURO_VERDE
