id,remittance_id,bill_to_pay_id,transfer_to_id,variation,created_by,created_date,last_modified_by,last_modified_date
751,86,443,211,0.00,890,2022-11-10 11:19:29.913261,890,2022-11-10 11:19:29.913261
418,47,328,138,0.00,890,2022-10-28 10:34:13.905307,890,2022-10-28 10:34:13.905307
179,25,122,93,0.00,890,2022-10-14 09:04:33.279249,890,2022-10-14 09:04:33.279249
4,2,4,1,0.00,890,2022-09-26 10:00:58.403662,890,2022-09-26 10:00:58.403662
88,14,78,82,0.00,890,2022-10-05 09:43:43.223158,890,2022-10-05 09:43:43.223158
180,25,123,95,0.00,890,2022-10-14 09:04:33.280082,890,2022-10-14 09:04:33.280082
7,6,19,34,0.00,890,2022-09-28 14:57:13.43978,890,2022-09-28 14:57:13.43978
90,15,12,29,0.00,890,2022-10-05 10:09:13.54496,890,2022-10-05 10:09:13.54496
9,7,20,35,0.00,890,2022-09-30 08:37:19.289302,890,2022-09-30 08:37:19.289302
1222,147,1041,332,0.00,890,2022-12-14 15:53:08.825737,890,2022-12-14 15:53:08.825737
11,8,25,46,0.00,890,2022-09-30 10:32:21.236057,890,2022-09-30 10:32:21.236057
581,72,575,95,0.00,890,2022-11-07 09:17:48.132517,890,2022-11-07 09:17:48.132517
183,26,126,49,0.00,890,2022-10-14 09:39:10.496995,890,2022-10-14 09:39:10.496995
184,26,108,101,0.00,890,2022-10-14 09:39:10.497615,890,2022-10-14 09:39:10.497615
582,72,579,93,0.00,890,2022-11-07 09:17:48.13444,890,2022-11-07 09:17:48.13444
600,75,582,392,0.00,890,2022-11-07 12:26:20.313454,890,2022-11-07 12:26:20.313454
188,27,131,1,0.00,890,2022-10-17 11:12:11.067601,890,2022-10-17 11:12:11.067601
189,27,137,89,0.00,890,2022-10-17 11:12:11.07106,890,2022-10-17 11:12:11.07106
190,27,136,296,0.00,890,2022-10-17 11:12:11.071673,890,2022-10-17 11:12:11.071673
426,49,413,385,0.00,890,2022-10-28 13:56:50.687247,890,2022-10-28 13:56:50.687247
192,28,138,98,0.00,890,2022-10-17 11:16:46.879601,890,2022-10-17 11:16:46.879601
427,49,387,228,0.00,890,2022-10-28 13:56:50.688309,890,2022-10-28 13:56:50.688309
610,77,590,97,0.00,890,2022-11-08 08:48:32.23891,890,2022-11-08 08:48:32.23891
195,29,140,299,0.00,890,2022-10-18 10:17:03.064309,890,2022-10-18 10:17:03.064309
196,29,139,105,0.00,890,2022-10-18 10:17:03.065029,890,2022-10-18 10:17:03.065029
335,37,412,25,0.00,890,2022-10-26 17:48:51.324721,890,2022-10-26 17:48:51.324721
336,37,325,133,0.00,890,2022-10-26 17:48:51.325324,890,2022-10-26 17:48:51.325324
429,49,370,202,0.00,890,2022-10-28 13:56:50.690374,890,2022-10-28 13:56:50.690374
203,30,148,35,0.00,890,2022-10-20 11:00:38.729432,890,2022-10-20 11:00:38.729432
114,16,88,41,0.00,933,2022-10-06 11:08:20.414897,933,2022-10-06 11:08:20.414897
115,16,87,83,0.00,933,2022-10-06 11:08:20.42678,933,2022-10-06 11:08:20.42678
116,16,85,85,0.00,933,2022-10-06 11:08:20.427865,933,2022-10-06 11:08:20.427865
117,16,92,93,0.00,933,2022-10-06 11:08:20.42867,933,2022-10-06 11:08:20.42867
118,16,86,87,0.00,933,2022-10-06 11:08:20.429849,933,2022-10-06 11:08:20.429849
119,16,89,90,0.00,933,2022-10-06 11:08:20.430641,933,2022-10-06 11:08:20.430641
120,16,82,86,0.00,933,2022-10-06 11:08:20.431279,933,2022-10-06 11:08:20.431279
121,16,84,84,0.00,933,2022-10-06 11:08:20.432208,933,2022-10-06 11:08:20.432208
122,16,83,28,0.00,933,2022-10-06 11:08:20.432883,933,2022-10-06 11:08:20.432883
123,16,93,93,0.00,933,2022-10-06 11:08:20.433476,933,2022-10-06 11:08:20.433476
124,16,90,91,0.00,933,2022-10-06 11:08:20.434219,933,2022-10-06 11:08:20.434219
125,17,95,94,0.00,890,2022-10-06 11:13:04.0326,890,2022-10-06 11:13:04.0326
