id,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,ucs_amount,payment_type,price,status,total,billet_id,issuer_id,fee,distribution_id,basket_fee_id,additional_info,discount,promo_code_id,commission_sum,commission_id,order_book_queue_id,origin_platform_id,recipient_platform_id
15,836,2023-04-17 11:41:35.850153,1410,2023-04-19 08:25:02.866728,,,8,ELECTRONIC_TRANSFER,161.47,PROCESSED,0.00,,836,1.00,36863,13,"{""paymentDate"": ""2023-04-19T08:24:50.939839823-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
1,928,2022-03-10 15:09:24.891881,918,2022-03-10 16:02:47.925976,,,34,ELECTRONIC_TRANSFER,176.92,PROCESSED,6015.28,,928,0.00,36178,5,,,,,,,4,4
9,6,2022-09-19 10:18:37.767844,918,2022-09-19 12:02:07.792903,,,15,ELECTRONIC_TRANSFER,144.00,PROCESSED,2160.00,,6,1.00,36490,13,"{""paymentDate"": ""2022-09-19T12:01:54.457448422-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
11,34,2023-01-03 11:07:17.362047,1411,2023-01-10 10:26:14.268018,,,5,ELECTRONIC_TRANSFER,143.01,PROCESSED,715.05,,34,1.00,36702,13,"{""paymentDate"": ""2023-01-10T08:55:57.161952716-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
21,631,2023-06-09 14:43:45.387751,1410,2023-06-12 09:42:55.431778,,,5,ELECTRONIC_TRANSFER,144.34,PROCESSED,0.00,,631,1.00,37008,13,"{""paymentDate"": ""2023-06-12T09:42:47.541612278-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
16,272,2023-04-20 14:31:23.518469,1410,2023-04-24 08:53:12.916607,,,1,ELECTRONIC_TRANSFER,161.47,PROCESSED,0.00,,272,1.00,36868,13,"{""paymentDate"": ""2023-04-24T08:53:03.670086914-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
8,1338,2022-09-14 15:23:38.35257,918,2022-09-21 17:26:31.063071,,,2,ELECTRONIC_TRANSFER,144.00,PROCESSED,288.00,,1338,1.00,36497,13,"{""paymentDate"": ""2022-09-21T17:26:20.853333593-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
18,728,2023-05-17 09:24:18.594263,1410,2023-05-19 10:56:39.607478,,,5,ELECTRONIC_TRANSFER,152.19,PROCESSING_FAILURE,0.00,,728,1.00,36929,13,"{""paymentDate"": ""2023-05-17T12:07:09.173721881-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
7,625,2022-09-14 01:50:42.191466,918,2022-09-21 17:26:36.447206,,,1,ELECTRONIC_TRANSFER,144.00,PROCESSED,144.00,,625,1.00,36499,13,"{""paymentDate"": ""2022-09-21T17:26:13.368451842-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
12,88,2023-01-07 09:15:15.751515,1411,2023-01-10 10:32:09.934808,,,5,ELECTRONIC_TRANSFER,143.82,PROCESSED,719.10,,88,1.00,36700,13,"{""paymentDate"": ""2023-01-10T08:55:49.427000996-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
2,272,2022-04-13 19:54:11.855235,918,2022-09-21 17:26:41.264386,,,1,ELECTRONIC_TRANSFER,177.03,PROCESSING_FAILURE,177.03,,272,1.00,36501,11,"{""paymentDate"": ""2022-09-21T17:26:05.708192078-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
10,688,2022-09-20 11:00:05.304004,918,2022-09-22 10:43:45.743881,Liberação com UCS do contrato SEBRAE MT,OTHER,111,,144.00,DENIED,15984.00,,688,1.00,,13,,,,,,,4,4
4,631,2022-06-07 09:48:07.456817,918,2022-06-09 11:12:42.980794,,,5,ELECTRONIC_TRANSFER,145.59,PROCESSED,727.95,,631,0.00,36303,12,,,,,,,4,4
14,46,2023-03-14 10:58:09.355811,1411,2023-03-22 14:38:24.514887,,,5,ELECTRONIC_TRANSFER,153.27,PROCESSED,0.00,,46,1.00,36811,13,"{""paymentDate"": ""2023-03-22T09:49:11.671641951-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
3,1172,2022-05-14 12:17:28.892139,918,2022-06-09 11:12:48.574708,,,1,ELECTRONIC_TRANSFER,159.66,PROCESSED,159.66,,1172,0.00,36305,12,,,,,,,4,4
