id,user_id,ucs_amount,distributor_certificate_order_id
1,3,1,339
2,1089,1,339
4,1235,111,347
5,1235,8,356
6,1235,14,355
7,1235,8,365
8,1235,66,363
9,1235,4,362
10,1235,8,361
11,1235,33,360
12,1235,29,357
13,1235,547,371
14,1235,7,370
15,1235,21,369
16,1235,2,368
17,1235,2,367
18,1235,1,366
19,1235,29,364
20,1235,16,383
21,1235,2,382
22,1235,3,381
23,1235,9,380
24,1235,10,379
25,1235,149,378
26,1235,8,377
27,1235,9,376
28,1235,5,375
29,1235,33,385
30,1235,3,386
31,1235,8,387
32,1235,5,388
33,1235,1,389
34,1235,78,390
35,1235,5,391
36,1235,2,392
37,1235,4,393
38,1235,1,394
39,1235,3,395
40,1235,52,397
41,1235,44,396
42,1235,1,398
43,1235,10,401
44,1235,9,406
45,3,4528,417
46,1235,2,420
47,1128,16,432
48,1128,5,431
49,1235,6,448
50,3,8,444
51,6,41,443
52,1235,14,451
53,1235,4,454
54,1235,9,453
55,1235,16,463
56,1137,81,478
57,1631,2,485
58,1235,25,499
59,1678,97,503
