id,issuer_id,payer_id,unit_id,ucs_amount,price,fee,total,status,payer_type,order_processing_type,billet_id,payment_type,distribution_id,basket_fee_id,start_date,end_date,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,all_documentation_viewed,is_custom_certificate,additional_info,discount,promo_code_id,commission_sum,commission_id,order_book_queue_id,origin_platform_id,recipient_platform_id
15,1616,1616,1616,25,152.19,0.00,3804.75,DENIED,MONEY_UNIT,,,,,14,2023-05-31,2023-06-05,1616,2023-05-26 07:40:27.611327,1410,2023-05-26 14:55:29.778549,são 26 ucs,INCORRECT_DATA,t,f,,0.00,,0.00,,,4,4
1,1379,1430,1430,8,143.82,0.00,1150.56,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,267,BILLET,36803,14,2023-02-02,2024-02-02,1379,2023-02-02 10:13:49.67867,1411,2023-03-16 12:03:01.031148,,,t,f,"{""paymentDate"": ""2023-03-14T04:29:19.744207333-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
7,1379,1440,1440,6,143.82,0.00,862.92,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,271,BILLET,36799,14,2023-02-02,2024-02-02,1379,2023-02-02 10:46:55.299934,1411,2023-03-16 12:02:29.318556,,,t,f,"{""paymentDate"": ""2023-03-14T04:29:20.091330616-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
31,2070,2070,2070,19,135.16,0.00,2568.04,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37785,14,2024-06-20,2025-06-20,2070,2024-06-18 13:49:52.95746,890,2024-06-20 09:02:43.441063,,,t,t,"{""paymentDate"": ""2024-06-20T09:00:51.45022244-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,2,3,3
20,1513,1513,1676,36,141.91,0.00,5108.76,DENIED,MONEY_MASTER,,,,,14,2023-07-26,2024-07-26,1513,2023-07-25 14:35:45.770297,1410,2023-07-25 14:39:19.214726,forma de pgto incorreta,INCORRECT_DATA,t,f,,0.00,,0.00,,,4,4
23,1513,1697,1697,20,134.88,0.00,2697.60,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,348,ELECTRONIC_TRANSFER,37156,14,2023-08-11,2024-08-11,1513,2023-08-10 12:08:51.944329,1680,2023-08-25 11:51:42.239455,,,t,f,"{""paymentDate"": ""2023-08-25T11:51:23.306589596-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
5,1379,1438,1438,7,143.82,0.00,1006.74,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,270,BILLET,36800,14,2023-02-02,2024-02-02,1379,2023-02-02 10:42:52.223421,1411,2023-03-16 12:02:37.148859,,,t,f,"{""paymentDate"": ""2023-03-14T04:29:19.897059052-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
25,1706,1706,1705,34,134.88,0.00,0.00,PROCESSED,UCS_MASTER,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,37142,14,2023-08-08,2024-08-08,1706,2023-08-16 11:24:24.588377,1680,2023-08-16 15:56:12.452484,,,t,f,"{""paymentDate"": ""2023-08-16T15:55:58.207636186-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
17,1616,1616,1616,26,152.19,0.00,0.00,PROCESSED,UCS_UNIT,DEFAULT_QUEUE,,ELECTRONIC_TRANSFER,36954,14,2023-05-30,2023-06-01,1616,2023-05-26 17:08:11.884688,1410,2023-05-26 17:09:38.26545,,,t,f,"{""paymentDate"": ""2023-05-26T17:09:27.774959026-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
22,1513,1695,1695,17,134.88,0.00,2292.96,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,349,ELECTRONIC_TRANSFER,37157,14,2023-08-11,2024-08-11,1513,2023-08-10 12:03:39.029071,1680,2023-08-25 11:51:49.550151,,,t,f,"{""paymentDate"": ""2023-08-25T11:51:29.376046983-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
4,1379,1436,1436,6,143.82,0.00,862.92,PROCESSED,MONEY_UNIT,DEFAULT_QUEUE,269,BILLET,36801,14,2023-02-02,2024-02-02,1379,2023-02-02 10:25:18.821981,1411,2023-03-16 12:02:46.688706,,,t,f,"{""paymentDate"": ""2023-03-14T04:29:20.127005859-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
