id,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,ucs_amount,payment_type,price,status,total,billet_id,buyer_id,fee,distribution_id,basket_fee_id,additional_info,discount,promo_code_id,commission_sum,commission_id,order_book_queue_id,origin_platform_id,recipient_platform_id
2,710,2021-12-15 05:21:10.765299,918,2021-12-17 10:16:28.17337,,,1,,184.28,ARCHIVED,184.28,,710,0.00,,4,,,,,,,,
1,935,2021-12-09 15:44:30.251162,935,2021-12-09 15:44:30.251162,,,1,,184.28,ARCHIVED,184.28,,935,0.00,,4,,,,,,,,
3,1071,2021-12-16 12:04:37.301066,1071,2021-12-16 12:04:37.301066,,,1,,184.28,ARCHIVED,184.28,,1071,0.00,,4,,,,,,,,
6,1159,2022-02-19 13:41:49.386042,918,2022-03-23 17:07:06.856707,,,10000,,185.55,ARCHIVED,1855500.00,,1159,0.00,,4,,,,,,,,
5,1135,2022-01-31 14:39:09.957043,918,2022-03-23 17:07:25.037599,,,2,,186.52,ARCHIVED,373.04,,1135,0.00,,4,,,,,,,,
11,1148,2022-04-07 20:22:11.24004,918,2022-05-04 11:47:27.325213,,,1,,177.03,ARCHIVED,177.03,,1148,0.00,,4,,,,,,,,
8,1183,2022-03-14 09:01:14.539901,918,2022-05-04 11:47:35.040965,,,1,,176.92,ARCHIVED,176.92,,1183,0.00,,4,,,,,,,,
9,1192,2022-03-23 16:06:50.939481,918,2022-05-04 11:47:41.133644,,,1,,176.92,ARCHIVED,176.92,,1192,0.00,,4,,,,,,,,
7,1161,2022-02-21 13:37:28.235146,918,2022-05-04 11:47:47.5822,,,2,,185.55,ARCHIVED,371.10,,1161,0.00,,4,,,,,,,,
17,6,2022-10-26 15:27:55.346701,933,2022-10-26 16:23:20.107017,,,13311,ELECTRONIC_TRANSFER,101.00,PROCESSED,1344411.00,,6,0.00,36571,4,"{""paymentDate"": ""2022-10-26T16:23:06.689731691-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
14,688,2022-09-02 16:59:56.696571,918,2022-12-01 09:52:48.67645,,,1,,144.37,ARCHIVED,144.37,,688,0.00,,4,,,,,,,,
12,688,2022-05-04 11:22:12.654034,918,2022-05-04 14:33:02.708691,,,520,ELECTRONIC_TRANSFER,159.48,PROCESSED,82930.00,,688,0.00,36263,4,,,,,,,,
10,1194,2022-03-23 20:41:05.354573,918,2022-06-21 08:40:52.150105,liguei e so fez curiosidade,LACK_OF_PAYMENT,1,,176.92,DENIED,176.92,,1194,0.00,,4,,,,,,,,
4,1136,2022-01-29 19:44:45.144475,918,2022-06-21 08:41:06.152456,nao tem interesse,LACK_OF_PAYMENT,2,,186.52,DENIED,373.04,,1136,0.00,,4,,,,,,,,
19,6,2022-12-14 14:51:17.121737,933,2022-12-14 15:08:14.649311,,,2803,ELECTRONIC_TRANSFER,101.00,PROCESSED,283103.00,,6,0.00,36670,4,"{""paymentDate"": ""2022-12-14T15:06:02.02883069-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
13,688,2022-06-21 14:52:14.230778,918,2022-07-15 15:25:58.108336,,,3000,ELECTRONIC_TRANSFER,159.34,PROCESSED,478020.00,,688,0.00,36398,4,,,,,,,,
15,6,2022-10-25 17:17:03.259275,933,2022-10-26 15:23:06.782424,Alteração na fila de abastecimento,INCORRECT_DATA,13224,,144.89,DENIED,1916025.36,,6,0.00,,4,,,,,,,,
16,6,2022-10-26 15:24:39.424339,933,2022-10-26 15:25:49.994978,Alteração no valor da compra das UCS,OTHER,1,,144.89,DENIED,144.89,,6,0.00,,4,,,,,,,,
20,1235,2023-01-03 12:13:42.266634,918,2023-01-03 13:06:59.025965,,,1,,143.01,ARCHIVED,143.01,,1235,0.00,,4,,,,,,,,
18,1235,2022-12-01 15:47:48.369274,1411,2023-01-06 16:03:21.703238,,,1480,ELECTRONIC_TRANSFER,177.06,PROCESSED,262048.80,,1235,0.00,36699,4,"{""paymentDate"": ""2023-01-06T16:03:13.949191851-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
33,1757,2024-11-18 11:09:25.598062,890,2024-11-21 15:08:42.665196,,,65,ELECTRONIC_TRANSFER,184.71,PROCESSED,12006.15,,1757,0.00,39228,4,"{""paymentDate"": ""2024-11-21T15:06:27.85670401-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,140,3,4
22,889,2024-06-25 15:49:46.428346,889,2024-06-25 15:49:46.428346,,,30,,135.16,ARCHIVED,4054.80,,889,0.00,,4,,0.00,,0.00,,,,
