id,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,ucs_amount,fee,payment_type,price,status,total,billet_id,issuer_id,recipient_id,distribution_id,basket_fee_id,additional_info,discount,promo_code_id,commission_sum,commission_id,order_book_queue_id,origin_platform_id,recipient_platform_id
2,104,2022-02-01 15:19:39.126312,1,2022-02-01 15:20:25.751332,,,150000,0.00,ELECTRONIC_TRANSFER,186.52,PROCESSED,0.00,,104,535,36141,2,,,,,,,,
18,272,2022-04-13 19:48:43.241328,933,2022-04-14 08:30:31.743266,,,15000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,803,36222,10,,,,,,,,
31,356,2022-06-06 23:30:32.932803,918,2022-06-21 09:02:57.483203,,,50000,1300.00,BILLET,145.59,PROCESSED,1300.00,186,356,1266,36329,10,,,,,,,,
9,272,2022-04-13 19:04:32.898059,933,2022-04-14 08:31:09.499175,,,800000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,625,36231,10,,,,,,,,
17,272,2022-04-13 19:48:11.898132,933,2022-04-14 08:30:35.810895,,,10000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,1229,36223,10,,,,,,,,
4,834,2022-02-17 15:31:13.694786,851,2022-02-19 07:55:40.185804,,,1167,0.00,ELECTRONIC_TRANSFER,185.55,PROCESSED,0.00,,834,1115,36165,2,,,,,,,,
26,469,2022-04-27 08:56:46.217406,933,2022-04-27 08:57:33.012464,,,44,54.53,ELECTRONIC_TRANSFER,177.03,PROCESSED,54.53,,469,1241,36253,10,,,,,,,,
15,272,2022-04-13 19:46:28.970798,933,2022-04-14 08:30:43.808349,,,100000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,1224,36225,10,,,,,,,,
3,850,2022-02-08 19:49:01.398145,851,2022-02-19 07:55:47.434626,,,1000,0.00,ELECTRONIC_TRANSFER,185.55,PROCESSED,0.00,,850,1144,36166,2,,,,,,,,
16,272,2022-04-13 19:47:01.417528,933,2022-04-14 08:30:39.870219,,,50000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,1228,36224,10,,,,,,,,
29,356,2022-06-06 17:38:27.833681,918,2022-06-08 14:30:57.571412,,,50000,1300.00,BILLET,145.59,PROCESSED,1300.00,184,356,1264,36302,10,,,,,,,,
1,861,2022-01-31 19:35:40.461404,851,2022-02-19 07:56:18.060502,,,9557,0.00,ELECTRONIC_TRANSFER,186.52,PROCESSED,0.00,,861,1134,36167,2,,,,,,,,
14,272,2022-04-13 19:45:21.982863,933,2022-04-14 08:30:47.974274,,,40000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,1225,36226,10,,,,,,,,
5,834,2022-04-04 16:33:06.116677,918,2022-04-06 13:44:16.547489,,,417,516.75,ELECTRONIC_TRANSFER,177.03,PROCESSED,516.75,,834,1173,36201,10,,,,,,,,
23,584,2022-04-14 11:25:44.373586,933,2022-04-14 11:26:53.057922,,,2608963,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,584,271,36237,10,,,,,,,,
28,723,2022-05-06 15:38:50.107221,933,2022-05-13 08:51:22.176954,,,279968,1300.00,ELECTRONIC_TRANSFER,159.66,PROCESSED,1300.00,,723,1241,36286,10,,,,,,,,
7,1181,2022-04-08 00:03:21.633661,918,2022-04-12 15:07:59.599626,,,350,433.72,ELECTRONIC_TRANSFER,177.03,PROCESSED,433.72,,1181,6,36219,10,,,,,,,,
27,724,2022-05-06 15:36:04.639961,933,2022-05-13 08:51:26.581107,,,279971,1300.00,ELECTRONIC_TRANSFER,159.66,PROCESSED,1300.00,,724,1241,36287,10,,,,,,,,
24,3,2022-04-27 08:46:21.331403,933,2022-04-27 08:47:21.354499,,,44,54.53,ELECTRONIC_TRANSFER,177.03,PROCESSED,54.53,,3,469,36250,10,,,,,,,,
8,1151,2022-04-12 15:00:51.905615,918,2022-04-12 15:08:13.195703,,,700,867.45,ELECTRONIC_TRANSFER,177.03,PROCESSED,867.45,,1151,6,36220,10,,,,,,,,
22,3,2022-04-14 10:55:24.033544,933,2022-04-14 11:03:55.075237,,,5,25.90,ELECTRONIC_TRANSFER,177.03,PROCESSED,25.90,,3,585,36233,10,,,,,,,,
13,272,2022-04-13 19:44:54.145445,933,2022-04-14 08:30:52.195943,,,110000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,1226,36227,10,,,,,,,,
19,272,2022-04-13 19:49:17.293688,933,2022-04-14 08:30:27.575532,,,10000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,1227,36221,10,,,,,,,,
21,3,2022-04-14 10:55:01.41806,933,2022-04-14 11:03:58.98833,,,5,25.90,ELECTRONIC_TRANSFER,177.03,PROCESSED,25.90,,3,587,36234,10,,,,,,,,
12,272,2022-04-13 19:43:14.266685,933,2022-04-14 08:30:56.81204,,,60000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,1225,36228,10,,,,,,,,
6,1173,2022-04-07 19:56:32.908647,933,2022-05-02 17:20:31.72618,,,208,257.76,BILLET,177.03,PROCESSED,257.76,177,1173,1221,36261,10,,,,,,,,
20,3,2022-04-14 10:54:01.353543,933,2022-04-14 11:04:03.543121,,,5,25.90,ELECTRONIC_TRANSFER,177.03,PROCESSED,25.90,,3,586,36235,10,,,,,,,,
11,272,2022-04-13 19:40:37.986969,933,2022-04-14 08:31:00.605193,,,400000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,1224,36229,10,,,,,,,,
10,272,2022-04-13 19:07:40.999366,933,2022-04-14 08:31:05.488235,,,400000,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,272,625,36230,10,,,,,,,,
25,470,2022-04-27 08:49:21.947423,933,2022-04-27 08:50:03.272686,,,167743,1300.00,ELECTRONIC_TRANSFER,177.03,PROCESSED,1300.00,,470,1241,36252,10,,,,,,,,
40,1151,2022-07-21 10:33:42.978152,918,2022-07-21 16:35:43.262636,,,350,369.31,ELECTRONIC_TRANSFER,150.74,PROCESSED,369.31,,1151,6,36404,10,,,,,,,,
34,1181,2022-06-15 22:03:41.431633,918,2022-06-21 08:41:43.017532,,,350,356.70,ELECTRONIC_TRANSFER,145.59,PROCESSED,356.70,,1181,6,36325,10,,,,,,,,
32,1181,2022-06-09 10:12:33.013373,918,2022-06-15 17:08:11.124602,,,350,356.70,ELECTRONIC_TRANSFER,145.59,PROCESSED,356.70,,1181,6,36321,10,,,,,,,,
33,820,2022-06-14 15:55:00.233919,918,2022-06-23 16:58:53.007401,,,199973,1300.00,BILLET,145.59,PROCESSED,1300.00,191,820,1241,36330,10,,,,,,,,
36,1088,2022-06-20 21:03:36.247999,905,2022-07-01 15:28:10.882786,,,2604,1300.00,ELECTRONIC_TRANSFER,145.59,PROCESSED,1300.00,,1088,846,36339,10,,,,,,,,
30,356,2022-06-06 17:44:03.005844,918,2022-06-08 14:30:51.984383,,,50000,1300.00,BILLET,145.59,PROCESSED,1300.00,183,356,1263,36301,10,,,,,,,,
38,1151,2022-06-22 14:09:09.183998,933,2022-07-01 15:25:22.992517,,,350,356.70,ELECTRONIC_TRANSFER,145.59,PROCESSED,356.70,,1151,6,36338,10,,,,,,,,
35,6,2022-06-20 15:55:33.571026,905,2022-06-20 16:40:53.443578,,,6896,1300.00,ELECTRONIC_TRANSFER,145.59,PROCESSED,1300.00,,6,1274,36323,10,,,,,,,,
39,1181,2022-07-15 15:04:25.375379,918,2022-07-15 15:10:00.782462,,,350,369.31,ELECTRONIC_TRANSFER,150.74,PROCESSED,369.31,,1181,6,36397,10,,,,,,,,
37,1088,2022-06-21 22:08:14.409039,918,2022-07-05 08:36:15.849715,,,2604,1300.00,BILLET,145.59,PROCESSED,1300.00,193,1088,1278,36345,10,,,,,,,,
44,937,2022-08-01 17:29:16.365413,918,2022-08-01 17:54:01.799415,,,30000,1300.00,ELECTRONIC_TRANSFER,150.74,PROCESSED,1300.00,,937,6,36411,10,,,,,,,,
41,631,2022-07-23 12:38:27.825508,918,2022-08-04 10:38:06.786712,,,115,121.35,BILLET,150.74,PROCESSED,121.35,201,631,1295,36413,10,,,,,,,,
45,631,2022-08-09 14:42:25.818799,933,2022-08-09 15:34:09.321834,,,10000,1300.00,ELECTRONIC_TRANSFER,144.37,PROCESSED,1300.00,,631,1269,36428,10,,,,,,,,
46,919,2022-08-10 09:16:14.714602,918,2022-08-18 08:52:02.492086,,,26,26.28,ELECTRONIC_TRANSFER,144.37,PROCESSED,26.28,,919,938,36453,10,,,,,,,,
43,834,2022-07-25 11:57:46.969372,918,2022-08-11 15:10:11.949163,alteração qtde de UCS,INCORRECT_DATA,5000,1300.00,,150.74,DENIED,1300.00,,834,1292,,10,,,,,,,,
56,625,2022-09-09 04:19:07.672373,918,2022-09-13 09:27:11.472443,,,10,25.90,BILLET,144.00,PROCESSED,25.90,212,625,1338,36487,10,"{""paymentDate"": ""2022-09-13T04:35:06.174323947-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
51,535,2022-08-22 16:16:43.988227,918,2022-09-01 14:21:43.790428,,,149998,1300.00,ELECTRONIC_TRANSFER,144.37,PROCESSED,1300.00,,535,283,36470,10,,,,,,,,
61,1181,2022-10-17 20:19:37.990175,918,2022-10-18 17:29:06.072572,,,350,354.98,ELECTRONIC_TRANSFER,144.89,PROCESSED,354.98,,1181,6,36533,10,"{""paymentDate"": ""2022-10-18T17:28:51.287684575-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
63,1151,2022-10-25 16:08:16.873263,918,2022-10-25 18:03:02.253339,,,350,354.98,ELECTRONIC_TRANSFER,144.89,PROCESSED,354.98,,1151,6,36556,10,"{""paymentDate"": ""2022-10-25T18:02:54.648742816-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,,
48,834,2022-08-11 15:11:17.990196,918,2022-08-12 16:26:44.720195,,,10000,1300.00,BILLET,144.37,PROCESSED,1300.00,207,834,1292,36436,10,,,,,,,,
