id,created_by,created_date,last_modified_by,last_modified_date,tesouro_verde_certificate_order_id,compensation_index_id,value
1,1,2018-08-10 00:00:00,,,6,1,20.00
2,1,2018-08-10 00:00:00,,,6,2,2600.00
3,1,2018-08-10 00:00:00,,,6,3,240000.00
4,1,2018-08-10 00:00:00,,,6,5,500.00
5,1,2018-08-10 00:00:00,,,6,6,500.00
6,1,2018-08-10 00:00:00,,,6,10,600.00
7,1,2018-08-13 00:00:00,,,7,1,96.00
8,1,2018-08-13 00:00:00,,,7,2,72000.00
9,1,2018-08-13 00:00:00,,,7,3,240000.00
10,1,2018-08-13 00:00:00,,,7,5,3000.00
11,1,2018-08-13 00:00:00,,,7,6,5400.00
12,1,2018-08-13 00:00:00,,,7,10,1644.00
13,1,2018-08-21 00:00:00,,,10,1,22.00
14,1,2018-08-21 00:00:00,,,10,2,7824.00
15,1,2018-08-21 00:00:00,,,10,9,400.00
16,1,2018-08-21 00:00:00,,,10,10,120.00
17,1,2018-08-23 00:00:00,,,11,1,4.00
18,1,2018-08-23 00:00:00,,,11,2,756.00
19,1,2018-08-23 00:00:00,,,11,3,20000.00
20,1,2018-08-23 00:00:00,,,11,6,67590.00
21,1,2018-08-23 00:00:00,,,11,10,38010.00
22,1,2018-09-17 00:00:00,,,14,1,3.00
23,1,2018-09-17 00:00:00,,,14,2,1131.00
24,1,2018-09-17 00:00:00,,,14,3,2400.00
25,1,2018-09-17 00:00:00,,,14,5,1200.00
26,1,2018-09-17 00:00:00,,,14,10,24.00
27,1,2018-11-01 00:00:00,,,15,1,3.00
28,1,2018-11-01 00:00:00,,,15,3,8000.00
29,1,2018-11-01 00:00:00,,,15,5,80.00
30,1,2018-11-01 00:00:00,,,15,10,100.00
31,1,2018-12-04 00:00:00,,,18,10,2780.00
32,1,2019-01-08 00:00:00,,,20,1,11.00
33,1,2019-01-08 00:00:00,,,20,2,200.00
34,1,2019-01-08 00:00:00,,,20,3,1.00
35,1,2019-01-08 00:00:00,,,20,10,33.00
36,1,2019-01-24 00:00:00,,,23,1,3.00
37,1,2019-01-24 00:00:00,,,23,2,4152.00
38,1,2019-01-24 00:00:00,,,23,3,29.00
39,1,2019-01-24 00:00:00,,,23,10,29.00
40,1,2019-02-14 00:00:00,,,24,10,20.00
41,1,2019-06-28 00:00:00,,,26,1,25.00
42,1,2019-06-28 00:00:00,,,26,2,24903.00
43,1,2019-06-28 00:00:00,,,26,10,200.00
44,1,2019-06-26 00:00:00,,,30,1,1.00
45,1,2019-06-26 00:00:00,,,30,2,2918.00
46,1,2019-06-26 00:00:00,,,30,10,52.00
47,1,2019-06-26 00:00:00,,,31,1,20.00
48,1,2019-06-26 00:00:00,,,31,2,38718.00
49,1,2019-06-26 00:00:00,,,31,10,1221.00
50,1,2019-08-19 00:00:00,,,42,10,100.00
51,1,2019-08-17 00:00:00,,,44,1,1.00
52,1,2019-08-17 00:00:00,,,44,2,4572.00
53,1,2019-08-17 00:00:00,,,44,10,58.00
54,1,2019-09-16 00:00:00,,,47,6,45.00
55,1,2019-09-15 00:00:00,,,49,1,23.00
56,1,2019-09-15 00:00:00,,,49,2,181958.00
57,1,2019-09-15 00:00:00,,,49,3,120.00
58,1,2019-09-15 00:00:00,,,49,10,1663.00
59,1,2019-10-31 00:00:00,,,50,1,4.00
60,1,2019-10-31 00:00:00,,,50,2,2906.00
61,1,2019-10-31 00:00:00,,,50,3,123.00
62,1,2019-10-31 00:00:00,,,50,5,50.00
63,1,2019-10-31 00:00:00,,,50,10,63.00
64,1,2019-09-30 00:00:00,,,51,1,6.00
65,1,2019-09-30 00:00:00,,,51,2,8567.00
66,1,2019-09-30 00:00:00,,,51,5,10853.00
67,1,2019-09-30 00:00:00,,,51,9,1.00
68,1,2019-09-30 00:00:00,,,51,10,500.00
69,1,2019-10-19 00:00:00,,,57,1,93.00
70,1,2019-10-19 00:00:00,,,57,2,3000.00
71,1,2019-10-19 00:00:00,,,57,3,150000.00
72,1,2019-10-19 00:00:00,,,57,4,500.00
73,1,2019-10-19 00:00:00,,,57,5,500.00
74,1,2019-10-19 00:00:00,,,57,6,500.00
75,1,2019-10-19 00:00:00,,,57,10,1800.00
76,1,2019-10-22 00:00:00,,,59,1,3.00
77,1,2019-10-22 00:00:00,,,59,2,4980.00
78,1,2019-10-22 00:00:00,,,59,10,93.00
79,1,2019-10-31 00:00:00,,,65,1,1.00
80,1,2019-10-31 00:00:00,,,65,2,4068.00
81,1,2019-10-31 00:00:00,,,65,10,93.00
82,1,2019-10-31 00:00:00,,,68,1,5.00
83,1,2019-11-11 00:00:00,,,69,1,1.00
84,1,2019-11-11 00:00:00,,,69,2,1428.00
85,1,2019-11-11 00:00:00,,,69,10,40.00
86,1,2019-11-11 00:00:00,,,70,1,78.00
87,1,2019-11-11 00:00:00,,,70,2,189140.00
88,1,2019-11-11 00:00:00,,,70,5,20234.00
89,1,2019-11-11 00:00:00,,,70,6,17126.00
90,1,2019-12-04 00:00:00,,,77,1,37.00
91,1,2019-12-04 00:00:00,,,77,2,64042.00
92,1,2019-12-04 00:00:00,,,77,3,20000.00
93,1,2019-12-04 00:00:00,,,77,5,103.00
94,1,2019-12-04 00:00:00,,,77,6,250.00
95,1,2019-12-04 00:00:00,,,77,9,300.00
96,1,2019-12-04 00:00:00,,,77,10,5000.00
97,1,2019-12-10 00:00:00,,,78,1,1.00
98,1,2019-12-10 00:00:00,,,78,2,1200.00
99,1,2019-12-10 00:00:00,,,78,10,53.00
100,1,2020-04-09 00:00:00,,,84,1,13.00
101,1,2020-04-09 00:00:00,,,84,2,118076.00
102,1,2020-04-09 00:00:00,,,84,3,240.00
103,1,2020-04-09 00:00:00,,,84,9,7.00
104,1,2020-04-09 00:00:00,,,84,10,380.00
105,1,2020-02-04 00:00:00,,,86,1,56.00
106,1,2020-02-04 00:00:00,,,86,2,15119.00
107,1,2020-02-04 00:00:00,,,86,5,16822.00
108,1,2020-02-04 00:00:00,,,86,6,8892.00
109,1,2020-02-04 00:00:00,,,86,10,300.00
110,1,2020-02-04 00:00:00,,,87,1,40.00
111,1,2020-02-04 00:00:00,,,87,10,250.00
112,1,2020-04-09 00:00:00,,,88,1,7.00
113,1,2020-04-09 00:00:00,,,88,2,117597.00
114,1,2020-04-09 00:00:00,,,88,3,240.00
115,1,2020-04-09 00:00:00,,,88,9,6.00
116,1,2020-04-09 00:00:00,,,88,10,418.00
117,1,2020-04-09 00:00:00,,,89,1,11.00
118,1,2020-04-09 00:00:00,,,89,2,137408.00
119,1,2020-04-09 00:00:00,,,89,3,400.00
120,1,2020-04-09 00:00:00,,,89,9,8.00
121,1,2020-04-09 00:00:00,,,89,10,740.00
122,1,2020-04-09 00:00:00,,,90,1,10.00
123,1,2020-04-09 00:00:00,,,90,2,58770.00
124,1,2020-04-09 00:00:00,,,90,3,200.00
125,1,2020-04-09 00:00:00,,,90,9,6.00
126,1,2020-04-09 00:00:00,,,90,10,305.00
127,1,2020-02-20 00:00:00,,,93,1,4.00
128,1,2020-02-20 00:00:00,,,93,2,38488.00
129,1,2020-02-20 00:00:00,,,93,10,661.00
130,1,2020-02-19 00:00:00,,,94,1,3.00
131,1,2020-02-19 00:00:00,,,94,2,5604.00
132,1,2020-02-19 00:00:00,,,94,10,180.00
133,1,2020-03-05 00:00:00,,,100,2,11461.00
134,1,2020-03-05 00:00:00,,,102,2,11461.00
135,1,2020-03-17 00:00:00,,,110,1,51.00
136,1,2020-03-17 00:00:00,,,110,2,108281.00
137,1,2020-03-17 00:00:00,,,110,10,1086.00
