id,distribution_id,dare_code,royalties_code,royalties_total,dare_total,created_by,created_date,last_modified_by,last_modified_date,royalties_file_id,dare_file_id
1,35287,3002600671,3002599471,0.81,1707.20,1,2018-08-10 00:00:00,,,28daaeca-9e5c-11eb-a8b3-0242ac130003,28daae0c-9e5c-11eb-a8b3-0242ac130003
3,35291,,3002599471,0.04,0.00,1,2018-08-14 00:00:00,,,28dab32a-9e5c-11eb-a8b3-0242ac130003,
4,35295,3002600671,3002599471,0.54,1086.40,1,2018-08-21 00:00:00,,,28dab4d8-9e5c-11eb-a8b3-0242ac130003,28dab41a-9e5c-11eb-a8b3-0242ac130003
5,35297,3002615041,3002617411,0.08,155.20,1,2018-08-23 00:00:00,,,28dab654-9e5c-11eb-a8b3-0242ac130003,28dab596-9e5c-11eb-a8b3-0242ac130003
6,35301,3002654324,3002658756,0.08,155.20,1,2018-09-17 00:00:00,,,28dab7da-9e5c-11eb-a8b3-0242ac130003,28dab712-9e5c-11eb-a8b3-0242ac130003
7,35305,3002654311,,0.00,77.60,1,2018-10-08 00:00:00,,,,28dab8a2-9e5c-11eb-a8b3-0242ac130003
8,35318,3002676311,3002676313,0.08,77.60,1,2019-01-24 00:00:00,,,28dabbe0-9e5c-11eb-a8b3-0242ac130003,28dabb0e-9e5c-11eb-a8b3-0242ac130003
9,35374,3002763184,,0.00,77.60,1,2019-06-26 00:00:00,,,,28dabca8-9e5c-11eb-a8b3-0242ac130003
10,35376,3002763189,3002763347,0.23,465.60,1,2019-06-26 00:00:00,,,28dabe2e-9e5c-11eb-a8b3-0242ac130003,28dabd70-9e5c-11eb-a8b3-0242ac130003
11,35378,3002986492,3002763736,0.31,543.20,1,2019-06-28 00:00:00,,,28dabfb4-9e5c-11eb-a8b3-0242ac130003,28dabeec-9e5c-11eb-a8b3-0242ac130003
12,35380,3002763714,,0.00,77.60,1,2019-06-28 00:00:00,,,,28dac07c-9e5c-11eb-a8b3-0242ac130003
13,35426,3002803235,3002803235,0.04,0.00,1,2019-08-17 00:00:00,,,28dac388-9e5c-11eb-a8b3-0242ac130003,28dac2ca-9e5c-11eb-a8b3-0242ac130003
14,35428,3002803227,,0.00,77.60,1,2019-08-19 00:00:00,,,,28dac446-9e5c-11eb-a8b3-0242ac130003
15,35446,3002812102,3002812107,0.35,620.80,1,2019-09-15 00:00:00,,,28dac5b8-9e5c-11eb-a8b3-0242ac130003,28dac4fa-9e5c-11eb-a8b3-0242ac130003
16,35448,3002812100,,0.00,77.60,1,2019-09-16 00:00:00,,,,28dac680-9e5c-11eb-a8b3-0242ac130003
17,35450,3002812105,3002812107,0.43,853.60,1,2019-09-30 00:00:00,,,28dac90a-9e5c-11eb-a8b3-0242ac130003,28dac73e-9e5c-11eb-a8b3-0242ac130003
18,35452,3002827799,3002828338,0.50,1008.80,1,2019-10-19 00:00:00,,,28dacc98-9e5c-11eb-a8b3-0242ac130003,28dacbd0-9e5c-11eb-a8b3-0242ac130003
19,35466,3002827803,3002828338,0.04,77.60,1,2019-10-22 00:00:00,,,28dace0a-9e5c-11eb-a8b3-0242ac130003,28dacd56-9e5c-11eb-a8b3-0242ac130003
20,35468,3002828306,3002828338,0.04,77.60,1,2019-10-31 00:00:00,,,28dacf90-9e5c-11eb-a8b3-0242ac130003,28daced2-9e5c-11eb-a8b3-0242ac130003
21,35470,,3002828338,0.04,0.00,1,2019-10-31 00:00:00,,,28dad04e-9e5c-11eb-a8b3-0242ac130003,
22,35478,3002844026,3002844038,3.38,6828.80,1,2019-11-11 00:00:00,,,28dad35a-9e5c-11eb-a8b3-0242ac130003,28dad116-9e5c-11eb-a8b3-0242ac130003
23,35480,,3002844038,0.04,0.00,1,2019-11-11 00:00:00,,,28dad422-9e5c-11eb-a8b3-0242ac130003,
24,35492,3002855107,3002855113,0.43,853.60,1,2019-12-04 00:00:00,,,28dad5b2-9e5c-11eb-a8b3-0242ac130003,28dad4ea-9e5c-11eb-a8b3-0242ac130003
25,35494,3002855111,,0.00,77.60,1,2019-12-10 00:00:00,,,,28dad670-9e5c-11eb-a8b3-0242ac130003
26,35519,3002895299,3002895621,0.66,1319.20,1,2020-02-04 00:00:00,,,28dad7ec-9e5c-11eb-a8b3-0242ac130003,28dad72e-9e5c-11eb-a8b3-0242ac130003
27,35521,3002895307,3002895621,0.47,931.20,1,2020-02-04 00:00:00,,,28dadac6-9e5c-11eb-a8b3-0242ac130003,28dad9f4-9e5c-11eb-a8b3-0242ac130003
28,35525,3002895462,3002895621,0.04,77.60,1,2020-02-19 00:00:00,,,28dadc42-9e5c-11eb-a8b3-0242ac130003,28dadb84-9e5c-11eb-a8b3-0242ac130003
29,35527,3002895348,3002895621,0.08,155.20,1,2020-02-20 00:00:00,,,28daddbe-9e5c-11eb-a8b3-0242ac130003,28dadd00-9e5c-11eb-a8b3-0242ac130003
30,35529,,3002895621,0.04,0.00,1,2020-02-27 00:00:00,,,28dadea4-9e5c-11eb-a8b3-0242ac130003,
31,35537,3002912756,,0.00,77.60,1,2020-03-05 00:00:00,,,,28dae020-9e5c-11eb-a8b3-0242ac130003
32,35539,,3002912781,0.04,0.00,1,2020-03-05 00:00:00,,,28dae142-9e5c-11eb-a8b3-0242ac130003,
33,35541,3002912751,,0.00,77.60,1,2020-03-13 00:00:00,,,,28dae2aa-9e5c-11eb-a8b3-0242ac130003
34,35543,,3002912781,0.04,0.00,1,2020-03-13 00:00:00,,,28dae368-9e5c-11eb-a8b3-0242ac130003,
35,35545,3002912753,,0.00,77.60,1,2020-03-13 00:00:00,,,,28dae516-9e5c-11eb-a8b3-0242ac130003
36,35547,,3002912781,0.04,0.00,1,2020-03-13 00:00:00,,,28d8dc8a-9e5c-11eb-a8b3-0242ac130003,
37,35549,3002912767,3002912781,0.58,1164.00,1,2020-03-17 00:00:00,,,28d8e27a-9e5c-11eb-a8b3-0242ac130003,28d8e158-9e5c-11eb-a8b3-0242ac130003
38,35559,3002919511,3002919531,0.19,465.60,1,2020-04-09 00:00:00,,,28d8e46e-9e5c-11eb-a8b3-0242ac130003,28d8e39c-9e5c-11eb-a8b3-0242ac130003
39,35561,3002986494,3002919531,0.23,388.00,1,2020-04-09 00:00:00,,,28d8e64e-9e5c-11eb-a8b3-0242ac130003,28d8e586-9e5c-11eb-a8b3-0242ac130003
40,35563,3002919525,3002919531,0.23,543.20,1,2020-04-09 00:00:00,,,28d8eb08-9e5c-11eb-a8b3-0242ac130003,28d8e716-9e5c-11eb-a8b3-0242ac130003
41,35565,3002919526,3002919531,0.12,232.80,1,2020-04-09 00:00:00,,,28d8ecca-9e5c-11eb-a8b3-0242ac130003,28d8ec02-9e5c-11eb-a8b3-0242ac130003
42,35575,,3002919531,0.04,0.00,1,2020-04-16 00:00:00,,,28d8ed88-9e5c-11eb-a8b3-0242ac130003,
43,35577,3002919528,3002919531,0.50,1086.40,1,2020-04-23 00:00:00,,,28d8ef0e-9e5c-11eb-a8b3-0242ac130003,28d8ee46-9e5c-11eb-a8b3-0242ac130003
44,35579,3002926920,3002926925,55.56,111123.20,1,2020-05-26 00:00:00,,,28d8fe22-9e5c-11eb-a8b3-0242ac130003,28d8f1fc-9e5c-11eb-a8b3-0242ac130003
45,35581,,3002926925,0.04,0.00,1,2020-05-27 00:00:00,,,28d905c0-9e5c-11eb-a8b3-0242ac130003,
46,35583,3002926922,3002926925,0.19,465.60,1,2020-05-27 00:00:00,,,28d9096c-9e5c-11eb-a8b3-0242ac130003,28d9084a-9e5c-11eb-a8b3-0242ac130003
