rl_partners_campaigns_id,compensation_index_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
3,1
3,2
3,10
4,1
4,2
4,10
5,1
5,2
5,10
6,1
6,2
6,10
7,1
7,2
7,3
7,4
7,5
7,6
7,7
7,8
7,9
7,10
7,11
9,1
9,2
9,10
10,7
10,4
10,2
10,9
10,1
10,11
10,5
10,3
10,6
10,10
10,8
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,11
12,1
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
12,10
12,11
4,3
4,6
4,11
4,4
4,7
4,8
4,5
4,9
13,1
13,2
13,3
13,4
13,5
13,6
13,7
13,8
13,9
13,10
13,11
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,11
14,30
14,14
14,35
14,34
14,26
14,28
14,19
14,15
14,36
14,13
14,22
14,33
14,38
14,16
14,24
14,20
14,31
14,18
14,25
14,29
14,17
14,23
14,21
7,30
7,14
7,35
7,34
7,26
7,28
7,19
7,15
7,36
7,13
7,22
7,33
7,38
7,16
7,24
7,20
7,31
7,18
7,25
7,29
7,17
7,23
7,21
3,24
3,14
3,31
3,34
3,28
3,25
3,29
3,36
3,13
3,22
3,33
3,38
16,1
16,2
16,3
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,14
16,15
16,16
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,25
16,26
16,28
16,29
16,30
16,31
16,34
16,35
16,36
16,38
16,33
16,24
16,13
